,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,2,1,3:59.399,0,34.2,3:59.399,2020-11-10 12:03:59.399,Sam BIRD,0:02:44.011,,1,DS Virgin Racing,VIRGIN,20.3333,40.0,1.60934,346.0
1,2,2,1:18.092,0,105.0,5:17.491,2020-11-10 12:05:17.491,Sam BIRD,,,1,DS Virgin Racing,VIRGIN,,,,
2,2,3,1:08.321,4,120.0,6:25.812,2020-11-10 12:06:25.812,Sam BIRD,,,1,DS Virgin Racing,VIRGIN,20.3611,39.44445,8.04672,311.5
3,27,1,3:37.330,0,37.7,3:37.330,2020-11-10 12:03:37.330,Robin FRIJNS,0:02:15.524,,1,Andretti Formula E,ANDRETTI,20.3333,40.0,1.60934,346.0
4,27,2,1:12.579,0,112.9,4:49.909,2020-11-10 12:04:49.909,Robin FRIJNS,,,1,Andretti Formula E,ANDRETTI,,,,
5,27,3,1:09.630,2,117.7,5:59.539,2020-11-10 12:05:59.539,Robin FRIJNS,,,1,Andretti Formula E,ANDRETTI,20.3889,38.8889,14.4841,277.0
6,28,1,3:56.731,0,34.6,3:56.731,2020-11-10 12:03:56.731,Antonio Felix DA COSTA,0:02:40.418,,1,Andretti Formula E,ANDRETTI,20.3333,40.0,1.60934,346.0
7,28,2,1:15.545,0,108.5,5:12.276,2020-11-10 12:05:12.276,Antonio Felix DA COSTA,,,1,Andretti Formula E,ANDRETTI,,,,
8,28,3,1:11.147,2,115.2,6:23.423,2020-11-10 12:06:23.423,Antonio Felix DA COSTA,,,1,Andretti Formula E,ANDRETTI,20.3611,39.44445,8.04672,311.5
9,47,1,3:43.313,0,36.7,3:43.313,2020-11-10 12:03:43.313,Adam CARROLL,0:02:23.416,,1,Panasonic Jaguar Racing,JAGUAR,20.3333,40.0,1.60934,346.0
10,47,2,1:13.441,0,111.6,4:56.754,2020-11-10 12:04:56.754,Adam CARROLL,,,1,Panasonic Jaguar Racing,JAGUAR,,,,
11,47,3,1:09.898,2,117.3,6:06.652,2020-11-10 12:06:06.652,Adam CARROLL,,,1,Panasonic Jaguar Racing,JAGUAR,20.3889,38.8889,14.4841,277.0
12,66,1,3:54.061,0,35.0,3:54.061,2020-11-10 12:03:54.061,Daniel ABT,0:02:32.771,,1,ABT Schaeffler Audi Sport,ABT,20.3333,40.0,1.60934,346.0
13,66,2,1:14.928,0,109.4,5:08.989,2020-11-10 12:05:08.989,Daniel ABT,,,1,ABT Schaeffler Audi Sport,ABT,,,,
14,66,3,1:08.620,2,119.5,6:17.609,2020-11-10 12:06:17.609,Daniel ABT,,,1,ABT Schaeffler Audi Sport,ABT,20.3889,38.8889,14.4841,277.0
15,25,1,4:04.651,0,33.5,4:04.651,2020-11-10 12:14:04.651,Jean-Eric VERGNE,0:02:38.017,,2,TECHEETAH,TECHEETAH,20.6667,48.3333,4.82803,230.0
16,25,2,1:18.604,0,104.3,5:23.255,2020-11-10 12:15:23.255,Jean-Eric VERGNE,,,2,TECHEETAH,TECHEETAH,,,,
17,25,3,1:08.457,3,119.7,6:31.712,2020-11-10 12:16:31.712,Jean-Eric VERGNE,,,2,TECHEETAH,TECHEETAH,20.6389,48.05555,5.632705,225.5
18,5,1,2:41.121,0,50.9,2:41.121,2020-11-10 12:12:41.121,Maro ENGEL,0:01:23.850,,2,Venturi Formula E Team,VENTURI,20.7222,48.8889,3.21869,208.0
19,5,2,1:17.829,0,105.3,3:58.950,2020-11-10 12:13:58.950,Maro ENGEL,,,2,Venturi Formula E Team,VENTURI,,,,
20,5,3,1:08.846,2,119.1,5:07.796,2020-11-10 12:15:07.796,Maro ENGEL,,,2,Venturi Formula E Team,VENTURI,,,,
21,6,1,4:09.691,0,32.8,4:09.691,2020-11-10 12:14:09.691,Loïc DUVAL,0:02:44.061,,2,Faraday Future Dragon Racing,FARADAY,20.6667,48.3333,4.82803,230.0
22,6,2,1:20.483,0,101.9,5:30.174,2020-11-10 12:15:30.174,Loïc DUVAL,,,2,Faraday Future Dragon Racing,FARADAY,,,,
23,6,3,1:09.923,2,117.2,6:40.097,2020-11-10 12:16:40.097,Loïc DUVAL,,,2,Faraday Future Dragon Racing,FARADAY,20.6389,48.05555,5.632705,225.5
24,7,1,3:48.117,0,35.9,3:48.117,2020-11-10 12:13:48.117,Jérôme D'AMBROSIO,0:02:30.974,,2,Faraday Future Dragon Racing,FARADAY,20.6667,48.3333,4.82803,230.0
25,7,2,1:13.554,0,111.4,5:01.671,2020-11-10 12:15:01.671,Jérôme D'AMBROSIO,,,2,Faraday Future Dragon Racing,FARADAY,,,,
26,7,3,1:08.825,2,119.1,6:10.496,2020-11-10 12:16:10.496,Jérôme D'AMBROSIO,,,2,Faraday Future Dragon Racing,FARADAY,20.6111,47.7778,6.43738,221.0
27,8,1,3:37.060,0,37.8,3:37.060,2020-11-10 12:13:37.060,Nicolas PROST,0:02:12.978,,2,Renault e.dams,RENAULT,20.6667,48.3333,4.82803,230.0
28,8,2,1:15.555,0,108.5,4:52.615,2020-11-10 12:14:52.615,Nicolas PROST,,,2,Renault e.dams,RENAULT,,,,
29,8,3,1:08.692,2,119.3,6:01.307,2020-11-10 12:16:01.307,Nicolas PROST,,,2,Renault e.dams,RENAULT,20.6111,47.7778,6.43738,221.0
30,11,1,1:48.124,0,75.8,1:48.124,2020-11-10 12:21:48.124,Lucas DI GRASSI,0:00:28.452,,3,ABT Schaeffler Audi Sport,ABT,20.8333,47.7778,8.04672,251.0
31,11,2,1:14.654,0,109.8,3:02.778,2020-11-10 12:23:02.778,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,ABT,,,,
32,11,3,1:08.387,2,119.9,4:11.165,2020-11-10 12:24:11.165,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,ABT,20.8333,47.7778,8.04672,282.5
33,19,1,1:52.977,0,72.6,1:52.977,2020-11-10 12:21:52.977,Felix ROSENQVIST,0:00:20.127,,3,Mahindra Racing,MAHINDRA,20.8333,47.7778,8.04672,251.0
