,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,1,1:19.719,0,107.3,1:19.719,2020-11-10 18:05:03.941,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9444,21.1111,4.24374,51.0
1,1,2,1:14.541,0,114.8,2:34.260,2020-11-10 18:06:18.482,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,,,,
2,1,3,1:13.010,0,117.2,3:47.270,2020-11-10 18:07:31.492,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.91665,21.1111,5.83514,68.5
3,1,4,1:13.067,0,117.1,5:00.337,2020-11-10 18:08:44.559,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9444,21.1111,4.774205,51.0
4,1,5,1:13.538,0,116.4,6:13.875,2020-11-10 18:09:58.097,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9444,21.1111,4.243735,50.0
5,1,6,1:13.760,0,116.0,7:27.635,2020-11-10 18:11:11.857,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9444,21.1111,3.7132699999999996,50.0
6,1,7,1:13.675,0,116.1,8:41.310,2020-11-10 18:12:25.532,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9722,21.1111,4.24374,52.5
7,1,8,1:13.860,0,115.9,9:55.170,2020-11-10 18:13:39.392,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,22.037066666666664,21.1111,4.9510266666666665,60.333333333333336
8,1,9,1:13.999,0,115.6,11:09.169,2020-11-10 18:14:53.391,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,22.0556,21.1111,3.182805,82.0
9,1,10,1:13.910,0,115.8,12:23.079,2020-11-10 18:16:07.301,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,22.0556,21.1111,2.652335,72.0
10,1,11,1:13.221,0,116.9,13:36.300,2020-11-10 18:17:20.522,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,22.0278,21.1111,5.30467,91.5
11,1,12,1:13.152,0,117.0,14:49.452,2020-11-10 18:18:33.674,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,22.0,21.1111,5.30467,112.0
12,1,13,1:13.674,0,116.1,16:03.126,2020-11-10 18:19:47.348,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9722,21.1111,3.7132699999999996,95.5
13,1,14,1:13.618,0,116.2,17:16.744,2020-11-10 18:21:00.966,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.925900000000002,21.1111,4.9510266666666665,91.33333333333333
14,1,15,1:13.487,0,116.4,18:30.231,2020-11-10 18:22:14.453,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8889,21.1111,5.30467,74.0
15,1,16,1:13.332,0,116.7,19:43.563,2020-11-10 18:23:27.785,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8889,21.1111,2.652335,60.0
16,1,17,1:13.199,0,116.9,20:56.762,2020-11-10 18:24:40.984,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8889,21.1111,2.12187,66.0
17,1,18,1:13.490,0,116.4,22:10.252,2020-11-10 18:25:54.474,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8889,21.1111,2.12187,44.0
18,1,19,1:13.174,0,116.9,23:23.426,2020-11-10 18:27:07.648,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.91665,21.1111,2.652335,48.5
19,1,20,1:13.213,0,116.9,24:36.639,2020-11-10 18:28:20.861,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9444,21.1111,2.8291566666666665,62.0
20,1,21,1:13.135,0,117.0,25:49.774,2020-11-10 18:29:33.996,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.9444,21.1111,2.652335,69.0
21,1,22,1:13.487,0,116.4,27:03.261,2020-11-10 18:30:47.483,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.91665,21.1111,4.243735,77.5
22,1,23,1:37.804,0,87.5,28:41.065,2020-11-10 18:32:25.287,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.85183333333333,21.1111,3.8900933333333327,75.33333333333333
23,1,24,1:15.989,0,112.6,29:57.054,2020-11-10 18:33:41.276,Lucas DI GRASSI,0:00:29.850,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,4.24374,69.0
24,1,25,1:12.823,0,117.5,31:09.877,2020-11-10 18:34:54.099,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,3.182805,47.5
25,1,26,1:12.675,2,117.7,32:22.552,2020-11-10 18:36:06.774,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,2.652335,66.0
26,1,27,1:12.885,0,117.4,33:35.437,2020-11-10 18:37:19.659,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,3.7132699999999996,81.0
27,1,28,1:13.550,0,116.3,34:48.987,2020-11-10 18:38:33.209,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,3.7132699999999996,69.0
28,1,29,1:13.845,0,115.9,36:02.832,2020-11-10 18:39:47.054,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.833299999999998,21.1111,4.243736666666666,52.333333333333336
29,1,30,1:13.703,0,116.1,37:16.535,2020-11-10 18:41:00.757,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,4.243735,38.5
30,1,31,1:13.430,0,116.5,38:29.965,2020-11-10 18:42:14.187,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,5.835135,54.0
31,1,32,1:13.611,0,116.2,39:43.576,2020-11-10 18:43:27.798,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,6.365605,67.0
32,1,33,1:13.849,0,115.9,40:57.425,2020-11-10 18:44:41.647,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.8333,21.1111,5.83514,80.5
33,1,34,1:13.321,0,116.7,42:10.746,2020-11-10 18:45:54.968,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.77776666666667,21.1111,5.304670000000001,82.0
34,1,35,1:13.964,0,115.7,43:24.710,2020-11-10 18:47:08.932,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.69445,21.1111,3.1828,75.5
35,1,36,1:13.770,0,116.0,44:38.480,2020-11-10 18:48:22.702,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.6389,21.1111,3.1828,78.5
36,1,37,1:13.690,0,116.1,45:52.170,2020-11-10 18:49:36.392,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.58335,20.83335,2.652335,73.5
37,1,38,1:13.903,0,115.8,47:06.073,2020-11-10 18:50:50.295,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.5556,2.652335,56.5
38,1,39,1:13.958,0,115.7,48:20.031,2020-11-10 18:52:04.253,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.5556,2.8291566666666665,61.0
39,1,40,1:13.810,0,115.9,49:33.841,2020-11-10 18:53:18.063,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.83335,3.1828,85.5
40,1,41,1:13.835,0,115.9,50:47.676,2020-11-10 18:54:31.898,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.83335,3.7132699999999996,68.0
41,1,42,1:13.743,0,116.0,52:01.419,2020-11-10 18:55:45.641,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.5556,4.24374,52.5
42,1,43,1:13.279,0,116.8,53:14.698,2020-11-10 18:56:58.920,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.5556,3.182805,63.0
43,1,44,1:13.594,0,116.3,54:28.292,2020-11-10 18:58:12.514,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,21.5556,20.83335,3.7132699999999996,70.0
