,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,1,11:08.962,0,12.8,11:08.962,2020-11-10 14:56:08.962,Lucas DI GRASSI,0:09:32.835,,4,Audi Sport ABT Schaeffler,,20.4444,20.5556,2.12187,122.0
1,1,2,1:10.498,2,121.4,12:19.460,2020-11-10 14:57:19.460,Lucas DI GRASSI,,,4,Audi Sport ABT Schaeffler,,,,,
2,16,1,1:33.307,0,91.7,1:33.307,2020-11-10 14:46:33.307,Oliver TURVEY,0:00:05.215,,1,NIO Formula E Team,,20.7222,20.5556,7.42654,78.0
3,16,2,1:09.735,2,122.7,2:43.042,2020-11-10 14:47:43.042,Oliver TURVEY,,,1,NIO Formula E Team,,,,,
4,25,1,8:37.220,0,16.5,8:37.220,2020-11-10 14:53:37.220,Jean-Eric VERGNE,0:06:01.579,,4,TECHEETAH,,20.4444,20.5556,2.12187,62.0
5,25,2,1:09.991,2,122.3,9:47.211,2020-11-10 14:54:47.211,Jean-Eric VERGNE,,,4,TECHEETAH,,,,,
6,66,1,6:16.649,0,22.7,6:16.649,2020-11-10 14:51:16.649,Daniel ABT,0:03:10.070,,1,Audi Sport ABT Schaeffler,,20.4444,20.5556,3.1828,167.0
7,66,2,1:09.472,3,123.2,7:26.121,2020-11-10 14:52:26.121,Daniel ABT,,,1,Audi Sport ABT Schaeffler,,,,,
8,7,1,3:56.109,0,36.2,3:56.109,2020-11-10 14:48:56.109,Jérôme D'AMBROSIO,0:02:27.402,,3,DRAGON,,20.5556,21.1111,4.24374,87.0
9,7,2,1:10.054,2,122.2,5:06.163,2020-11-10 14:50:06.163,Jérôme D'AMBROSIO,,,3,DRAGON,,,,,
