,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,11,1,11:15.541,0,9.9,11:15.541,2020-11-10 12:16:15.541,Lucas DI GRASSI,0:10:05.541,,2,ABT Schaeffler Audi Sport,,30.6667,42.2222,1.60934,77.0
1,11,2,1:08.094,2,98.3,12:23.635,2020-11-10 12:17:23.635,Lucas DI GRASSI,,,2,ABT Schaeffler Audi Sport,,,,,
2,19,1,29:19.283,0,3.8,29:19.282,2020-11-10 12:34:19.283,Felix ROSENQVIST,0:28:07.571,,3,Mahindra Racing,,30.0,41.1111,3.21869,83.0
3,19,2,1:04.699,0,103.5,30:23.981,2020-11-10 12:35:23.982,Felix ROSENQVIST,,,3,Mahindra Racing,,29.962933333333336,40.92593333333333,2.68224,67.33333333333333
4,19,3,1:03.332,2,105.7,31:27.313,2020-11-10 12:36:27.314,Felix ROSENQVIST,,,3,Mahindra Racing,,29.9444,40.5556,1.60934,185.0
5,2,1,11:21.349,0,9.8,11:21.349,2020-11-10 12:16:21.349,Sam BIRD,0:10:07.285,,2,DS Virgin Racing,,30.6667,42.2222,1.60934,77.0
6,2,2,1:08.812,0,97.3,12:30.161,2020-11-10 12:17:30.161,Sam BIRD,,,2,DS Virgin Racing,,,,,
7,2,3,7:34.777,0,14.7,20:04.937,2020-11-10 12:25:04.938,Sam BIRD,,,2,DS Virgin Racing,,30.5833375,41.944449999999996,3.8221912499999995,159.25
8,2,4,1:14.712,0,89.6,21:19.649,2020-11-10 12:26:19.650,Sam BIRD,0:06:21.753,,2,DS Virgin Racing,,30.33335,41.6667,5.632705,323.5
9,2,5,1:03.258,2,105.9,22:22.907,2020-11-10 12:27:22.908,Sam BIRD,,,2,DS Virgin Racing,,30.22225,41.6667,5.632705,308.0
10,20,1,29:40.105,0,3.8,29:40.104,2020-11-10 12:34:40.105,Mitch EVANS,0:28:17.911,,3,Panasonic Jaguar Racing,,29.9444,41.1111,3.21869,97.0
11,20,2,1:09.610,0,96.2,30:49.714,2020-11-10 12:35:49.715,Mitch EVANS,,,3,Panasonic Jaguar Racing,,29.9444,40.833349999999996,2.414015,59.5
12,20,3,27:21.513,0,4.1,58:11.226,2020-11-10 13:03:11.228,Mitch EVANS,,,3,Panasonic Jaguar Racing,,29.88063333333333,40.16462222222222,3.099476296296297,170.25925925925927
13,20,4,1:20.651,0,83.0,59:31.877,2020-11-10 13:04:31.879,Mitch EVANS,0:25:44.704,,3,Panasonic Jaguar Racing,,29.64816666666667,40.0,5.36448,315.6666666666667
14,20,5,1:04.588,2,103.7,1:00:36.465,2020-11-10 13:05:36.467,Mitch EVANS,,,3,Panasonic Jaguar Racing,,29.6111,40.0,5.632705,312.5
15,23,1,1:29.684,0,74.7,1:29.684,2020-11-10 12:06:29.684,Nick HEIDFELD,0:00:07.592,,1,Mahindra Racing,,30.1111,41.6667,3.21869,22.0
16,23,2,1:11.023,0,94.3,2:40.707,2020-11-10 12:07:40.707,Nick HEIDFELD,,,1,Mahindra Racing,,,,,
17,23,3,1:03.848,2,104.9,3:44.555,2020-11-10 12:08:44.555,Nick HEIDFELD,,,1,Mahindra Racing,,,,,
18,25,1,29:36.156,0,3.8,29:36.155,2020-11-10 12:34:36.156,Jean-Eric VERGNE,0:28:10.662,,3,TECHEETAH,,29.9444,41.1111,3.21869,97.0
19,25,2,1:09.003,0,97.0,30:45.158,2020-11-10 12:35:45.159,Jean-Eric VERGNE,,,3,TECHEETAH,,29.9444,40.833349999999996,2.414015,59.5
20,25,3,27:24.154,0,4.1,58:09.311,2020-11-10 13:03:09.313,Jean-Eric VERGNE,,,3,TECHEETAH,,29.88063333333333,40.16462222222222,3.099476296296297,170.25925925925927
21,25,4,1:19.051,0,84.7,59:28.362,2020-11-10 13:04:28.364,Jean-Eric VERGNE,0:25:46.476,,3,TECHEETAH,,29.64816666666667,40.0,5.36448,315.6666666666667
22,25,5,1:03.750,2,105.0,1:00:32.112,2020-11-10 13:05:32.114,Jean-Eric VERGNE,,,3,TECHEETAH,,29.6111,40.0,5.632705,312.5
23,27,1,29:28.445,0,3.8,29:28.444,2020-11-10 12:34:28.445,Robin FRIJNS,0:28:08.800,,3,Andretti Formula E,,29.9444,41.1111,3.21869,97.0
24,27,2,1:10.407,2,95.1,30:38.851,2020-11-10 12:35:38.852,Robin FRIJNS,,,3,Andretti Formula E,,29.9444,40.833349999999996,2.414015,59.5
25,28,1,11:23.632,0,9.8,11:23.632,2020-11-10 12:16:23.632,Antonio Felix DA COSTA,0:10:10.245,,2,Andretti Formula E,,30.6667,42.2222,1.60934,77.0
26,28,2,1:09.085,0,96.9,12:32.717,2020-11-10 12:17:32.717,Antonio Felix DA COSTA,,,2,Andretti Formula E,,,,,
27,28,3,7:35.805,0,14.7,20:08.521,2020-11-10 12:25:08.522,Antonio Felix DA COSTA,,,2,Andretti Formula E,,30.5833375,41.944449999999996,3.8221912499999995,159.25
28,28,4,1:17.185,0,86.8,21:25.706,2020-11-10 12:26:25.707,Antonio Felix DA COSTA,0:06:19.685,,2,Andretti Formula E,,30.2778,41.6667,5.36448,319.3333333333333
29,28,5,1:04.057,2,104.5,22:29.763,2020-11-10 12:27:29.764,Antonio Felix DA COSTA,,,2,Andretti Formula E,,30.1389,41.6667,4.02336,166.5
30,3,1,29:23.371,0,3.8,29:23.370,2020-11-10 12:34:23.371,Nelson PIQUET JR,0:28:09.800,,3,NEXTEV NIO,,30.0,41.1111,3.21869,83.0
31,3,2,1:05.352,0,102.5,30:28.722,2020-11-10 12:35:28.723,Nelson PIQUET JR,,,3,NEXTEV NIO,,29.962933333333336,40.92593333333333,2.68224,67.33333333333333
32,3,3,1:03.099,4,106.1,31:31.821,2020-11-10 12:36:31.822,Nelson PIQUET JR,,,3,NEXTEV NIO,,29.9444,40.5556,1.60934,185.0
33,33,1,11:37.613,0,9.6,11:37.613,2020-11-10 12:16:37.613, MA Qing Hua,0:10:13.809,,2,TECHEETAH,,30.7222,42.2222,4.82803,59.0
34,33,2,1:13.011,0,91.7,12:50.624,2020-11-10 12:17:50.624, MA Qing Hua,,,2,TECHEETAH,,30.7222,42.2222,4.82803,59.0
35,33,3,7:21.119,0,15.2,20:11.742,2020-11-10 12:25:11.743, MA Qing Hua,,,2,TECHEETAH,,30.5833375,41.944449999999996,3.8221912499999995,159.25
36,33,4,1:19.965,0,83.7,21:31.707,2020-11-10 12:26:31.708, MA Qing Hua,0:05:53.362,,2,TECHEETAH,,30.2778,41.6667,5.36448,319.3333333333333
37,33,5,1:04.740,2,103.4,22:36.447,2020-11-10 12:27:36.448, MA Qing Hua,,,2,TECHEETAH,,30.1389,41.6667,4.02336,166.5
38,37,1,1:04:25.677,0,1.7,1:04:25.675,2020-11-10 13:09:25.677,José Maria LOPEZ,1:03:08.256,,4,DS Virgin Racing,,29.5,40.0,4.82803,316.0
39,37,2,1:10.572,0,94.9,1:05:36.247,2020-11-10 13:10:36.249,José Maria LOPEZ,,,4,DS Virgin Racing,,29.5,40.0,4.82803,322.5
40,37,3,1:03.251,2,105.9,1:06:39.498,2020-11-10 13:11:39.500,José Maria LOPEZ,,,4,DS Virgin Racing,,29.5278,40.2778,4.02336,330.0
41,4,1,1:41.708,0,65.8,1:41.708,2020-11-10 12:06:41.708,Stéphane SARRAZIN,0:00:30.205,,1,Venturi Formula E Team,,30.1111,41.6667,3.21869,22.0
42,4,2,1:07.554,0,99.1,2:49.262,2020-11-10 12:07:49.262,Stéphane SARRAZIN,,,1,Venturi Formula E Team,,,,,
43,4,3,1:04.520,2,103.8,3:53.782,2020-11-10 12:08:53.782,Stéphane SARRAZIN,,,1,Venturi Formula E Team,,,,,
44,47,1,1:56.385,0,57.5,1:56.385,2020-11-10 12:06:56.385,Adam CARROLL,0:00:41.620,,1,Panasonic Jaguar Racing,,30.1111,41.6667,3.21869,22.0
45,47,2,1:07.800,0,98.8,3:04.185,2020-11-10 12:08:04.185,Adam CARROLL,,,1,Panasonic Jaguar Racing,,,,,
46,47,3,1:04.428,2,103.9,4:08.613,2020-11-10 12:09:08.613,Adam CARROLL,,,1,Panasonic Jaguar Racing,,,,,
47,5,1,1:05:00.529,0,1.7,1:05:00.527,2020-11-10 13:10:00.529,Maro ENGEL,1:03:46.182,,4,Venturi Formula E Team,,29.5,40.0,4.82803,316.0
48,5,2,1:10.556,0,94.9,1:06:11.083,2020-11-10 13:11:11.085,Maro ENGEL,,,4,Venturi Formula E Team,,29.5,40.0,4.82803,322.5
49,5,3,1:03.915,2,104.8,1:07:14.998,2020-11-10 13:12:15.000,Maro ENGEL,,,4,Venturi Formula E Team,,29.5278,40.2778,4.02336,330.0
50,6,1,2:03.604,0,54.2,2:03.604,2020-11-10 12:07:03.604,Loïc DUVAL,0:00:48.032,,1,Faraday Future Dragon Racing,,30.1111,41.6667,3.21869,22.0
51,6,2,1:09.037,0,97.0,3:12.641,2020-11-10 12:08:12.641,Loïc DUVAL,,,1,Faraday Future Dragon Racing,,,,,
52,6,3,1:03.637,2,105.2,4:16.278,2020-11-10 12:09:16.278,Loïc DUVAL,,,1,Faraday Future Dragon Racing,,,,,
53,66,1,1:04:22.809,0,1.7,1:04:22.807,2020-11-10 13:09:22.809,Daniel ABT,1:03:05.998,,4,ABT Schaeffler Audi Sport,,29.5556,40.0,4.82803,329.0
54,66,2,1:10.304,0,95.2,1:05:33.111,2020-11-10 13:10:33.113,Daniel ABT,,,4,ABT Schaeffler Audi Sport,,29.518533333333334,40.0,4.82803,324.6666666666667
55,66,3,1:03.615,2,105.3,1:06:36.726,2020-11-10 13:11:36.728,Daniel ABT,,,4,ABT Schaeffler Audi Sport,,29.5278,40.2778,4.02336,330.0
56,7,1,1:04:18.922,0,1.7,1:04:18.920,2020-11-10 13:09:18.922,Jérôme D'AMBROSIO,1:03:07.052,,4,Faraday Future Dragon Racing,,29.5556,40.0,4.82803,329.0
57,7,2,1:09.670,0,96.1,1:05:28.590,2020-11-10 13:10:28.592,Jérôme D'AMBROSIO,,,4,Faraday Future Dragon Racing,,29.518533333333334,40.0,4.82803,324.6666666666667
58,7,3,1:05.166,2,102.8,1:06:33.756,2020-11-10 13:11:33.758,Jérôme D'AMBROSIO,,,4,Faraday Future Dragon Racing,,29.5278,40.2778,4.02336,330.0
59,8,1,1:19.817,0,83.9,1:19.817,2020-11-10 12:06:19.817,Nicolas PROST,0:00:06.338,,1,Renault e.dams,,30.0556,41.1111,3.21869,93.0
60,8,2,1:09.017,0,97.0,2:28.834,2020-11-10 12:07:28.834,Nicolas PROST,,,1,Renault e.dams,,,,,
61,8,3,1:03.759,2,105.0,3:32.593,2020-11-10 12:08:32.593,Nicolas PROST,,,1,Renault e.dams,,,,,
62,88,1,11:27.780,0,9.7,11:27.780,2020-11-10 12:16:27.780,Oliver TURVEY,0:10:11.638,,2,NEXTEV NIO,,30.7222,42.2222,4.82803,59.0
63,88,2,1:10.397,0,95.1,12:38.177,2020-11-10 12:17:38.177,Oliver TURVEY,,,2,NEXTEV NIO,,30.7222,42.2222,4.82803,59.0
64,88,3,7:29.095,0,14.9,20:07.271,2020-11-10 12:25:07.272,Oliver TURVEY,,,2,NEXTEV NIO,,30.5833375,41.944449999999996,3.8221912499999995,159.25
65,88,4,1:16.314,0,87.7,21:23.585,2020-11-10 12:26:23.586,Oliver TURVEY,0:06:08.266,,2,NEXTEV NIO,,30.33335,41.6667,5.632705,323.5
66,88,5,1:03.231,2,105.9,22:26.816,2020-11-10 12:27:26.817,Oliver TURVEY,,,2,NEXTEV NIO,,30.1852,41.6667,4.828033333333333,212.66666666666666
67,9,1,1:04:15.440,0,1.7,1:04:15.438,2020-11-10 13:09:15.440,Sébastien BUEMI,1:03:05.129,,4,Renault e.dams,,29.5556,40.0,4.82803,329.0
68,9,2,1:06.419,0,100.8,1:05:21.857,2020-11-10 13:10:21.859,Sébastien BUEMI,,,4,Renault e.dams,,29.5278,40.0,4.82803,322.5
69,9,3,1:03.317,2,105.8,1:06:25.174,2020-11-10 13:11:25.176,Sébastien BUEMI,,,4,Renault e.dams,,29.518533333333334,40.1852,4.2915833333333335,325.3333333333333
