,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,19,1,3:29.096,0,32.0,3:29.096,2020-11-10 11:51:29.096,Felix Rosenqvist,0:02:17.500,,3,Mahindra Racing,,24.1667,32.7778,2.12187,126.0
1,19,2,1:04.718,2,103.5,4:33.814,2020-11-10 11:52:33.814,Felix Rosenqvist,,,3,Mahindra Racing,,,,,
2,2,1,9:51.928,0,11.3,9:51.928,2020-11-10 11:57:51.928,Sam Bird,0:08:35.416,,2,DS Virgin Racing,,24.1111,32.7778,2.12187,123.0
3,2,2,1:03.595,2,105.3,10:55.523,2020-11-10 11:58:55.523,Sam Bird,,,2,DS Virgin Racing,,24.111099999999997,32.777800000000006,3.485925714285714,130.14285714285714
4,23,1,7:49.127,0,14.3,7:49.127,2020-11-10 11:55:49.127,Nick Heidfeld,0:05:28.294,,3,Mahindra Racing,,24.1667,32.7778,0.0,114.0
5,23,2,1:03.597,2,105.3,8:52.724,2020-11-10 11:56:52.724,Nick Heidfeld,,,3,Mahindra Racing,,24.120366666666666,32.777800000000006,1.7682233333333333,78.16666666666667
6,25,1,5:40.316,0,19.7,5:40.316,2020-11-10 11:53:40.316,Jean-Eric Vergne,0:03:21.436,,3,TECHEETAH,,24.1667,32.7778,2.12187,126.0
7,25,2,1:03.568,3,105.3,6:43.884,2020-11-10 11:54:43.884,Jean-Eric Vergne,,,3,TECHEETAH,,24.180574999999997,32.777800000000006,2.91756875,116.5
8,66,1,1:32.484,0,72.4,1:32.484,2020-11-10 11:49:32.484,Daniel Abt,0:00:11.159,,4,Audi Sport ABT Schaeffler,,24.1667,32.7778,1.06093,114.0
9,66,2,1:03.724,2,105.1,2:36.208,2020-11-10 11:50:36.208,Daniel Abt,,,4,Audi Sport ABT Schaeffler,,,,,
10,19,1,3:19.330,0,33.6,3:19.330,2020-11-10 11:48:19.330,Felix Rosenqvist,0:02:06.895,,2,Mahindra Racing,,23.2778,31.1111,2.12187,10.0
11,19,2,1:02.836,3,106.6,4:22.166,2020-11-10 11:49:22.166,Felix Rosenqvist,,,2,Mahindra Racing,,,,,
12,2,1,1:22.648,0,81.0,1:22.648,2020-11-10 11:46:22.648,Sam Bird,0:00:06.219,,4,DS Virgin Racing,,23.2778,31.1111,1.06093,31.0
13,2,2,1:03.109,2,106.1,2:25.757,2020-11-10 11:47:25.757,Sam Bird,,,4,DS Virgin Racing,,,,,
14,20,1,9:58.048,0,11.2,9:58.048,2020-11-10 11:54:58.048,Mitch Evans,0:07:13.652,,2,Panasonic Jaguar Racing,,23.4444,31.6667,3.1828,27.0
15,20,2,1:02.890,2,106.5,11:00.938,2020-11-10 11:56:00.938,Mitch Evans,,,2,Panasonic Jaguar Racing,,23.4444,31.666699999999995,1.9703057142857137,65.42857142857143
16,4,1,5:23.692,0,20.7,5:23.692,2020-11-10 11:50:23.692,Edoardo Mortara,0:03:14.321,,3,Venturi Formula E Team,,23.2778,31.1111,2.12187,10.0
17,4,2,1:03.108,2,106.1,6:26.800,2020-11-10 11:51:26.800,Edoardo Mortara,,,3,Venturi Formula E Team,,23.277799999999996,31.111099999999997,2.879677142857143,116.71428571428571
18,66,1,7:37.338,0,14.6,7:37.338,2020-11-10 11:52:37.338,Daniel Abt,0:06:13.596,,4,Audi Sport ABT Schaeffler,,23.2778,31.6667,2.12187,28.0
19,66,2,1:03.715,2,105.1,8:41.053,2020-11-10 11:53:41.053,Daniel Abt,,,4,Audi Sport ABT Schaeffler,,23.30951428571429,31.666699999999995,2.2734285714285716,32.285714285714285
