,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,11,1,21:31.412,0,8.3,21:31.412,2020-11-10 12:21:31.412,Lucas DI GRASSI,0:20:09.869,,3,ABT Schaeffler Audi Sport,,18.8889,21.1111,3.21869,22.0
1,11,2,1:28.653,0,120.6,23:00.065,2020-11-10 12:23:00.065,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,,,,,
2,11,3,1:22.081,2,130.3,24:22.146,2020-11-10 12:24:22.146,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,,18.8611,21.1111,4.828035,44.5
3,11,4,3:56.031,0,45.3,28:18.177,2020-11-10 12:28:18.177,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,,19.022219999999997,21.22222,4.828034,37.2
4,11,5,1:37.972,0,109.2,29:56.149,2020-11-10 12:29:56.149,Lucas DI GRASSI,,,3,ABT Schaeffler Audi Sport,,19.1389,21.6667,5.632705,183.0
5,19,1,31:52.382,0,5.6,31:52.382,2020-11-10 12:31:52.382,Felix ROSENQVIST,0:30:15.574,,4,Mahindra Racing,,19.1667,21.6667,4.82803,30.0
6,19,2,1:21.175,2,131.8,33:13.557,2020-11-10 12:33:13.557,Felix ROSENQVIST,,,4,Mahindra Racing,,19.240766666666666,22.03703333333333,5.90093,23.0
7,19,3,2:31.857,0,70.4,35:45.414,2020-11-10 12:35:45.414,Felix ROSENQVIST,,,4,Mahindra Racing,,19.2778,22.2222,6.437376666666666,120.33333333333333
8,2,1,31:41.788,0,5.6,31:41.788,2020-11-10 12:31:41.788,Sam BIRD,0:30:11.560,,4,DS Virgin Racing,,19.1667,21.6667,4.82803,30.0
9,2,2,1:26.029,0,124.3,33:07.817,2020-11-10 12:33:07.817,Sam BIRD,,,4,DS Virgin Racing,,19.240766666666666,22.03703333333333,5.90093,23.0
10,2,3,1:21.392,2,131.4,34:29.209,2020-11-10 12:34:29.209,Sam BIRD,,,4,DS Virgin Racing,,19.2778,22.2222,5.632705,172.0
11,2,4,3:07.654,0,57.0,37:36.863,2020-11-10 12:37:36.863,Sam BIRD,,,4,DS Virgin Racing,,19.2778,22.2222,6.8397125,107.25
12,20,1,11:52.741,0,15.0,11:52.741,2020-11-10 12:11:52.741,Mitch EVANS,0:10:20.475,,2,Panasonic Jaguar Racing,,19.2778,22.2222,4.82803,331.0
13,20,2,1:28.214,0,121.2,13:20.955,2020-11-10 12:13:20.955,Mitch EVANS,,,2,Panasonic Jaguar Racing,,,,,
14,20,3,1:22.355,2,129.9,14:43.310,2020-11-10 12:14:43.310,Mitch EVANS,,,2,Panasonic Jaguar Racing,,,,,
15,20,4,8:48.846,0,20.2,23:32.156,2020-11-10 12:23:32.156,Mitch EVANS,,,2,Panasonic Jaguar Racing,,,,,
16,23,1,11:44.621,0,15.2,11:44.621,2020-11-10 12:11:44.621,Nick HEIDFELD,0:10:14.721,,2,Mahindra Racing,,19.2778,22.2222,4.82803,331.0
17,23,2,1:22.074,2,130.3,13:06.695,2020-11-10 12:13:06.695,Nick HEIDFELD,,,2,Mahindra Racing,,,,,
18,23,3,3:37.583,0,49.2,16:44.278,2020-11-10 12:16:44.278,Nick HEIDFELD,,,2,Mahindra Racing,,,,,
19,23,4,1:46.472,0,100.5,18:30.750,2020-11-10 12:18:30.750,Nick HEIDFELD,,,2,Mahindra Racing,,,,,
20,25,1,22:20.324,0,8.0,22:20.324,2020-11-10 12:22:20.324,Jean-Eric VERGNE,0:20:51.363,,3,TECHEETAH,,18.8333,21.1111,6.43738,67.0
21,25,2,1:25.867,0,124.6,23:46.191,2020-11-10 12:23:46.191,Jean-Eric VERGNE,,,3,TECHEETAH,,18.8333,21.1111,6.43738,67.0
22,25,3,1:20.993,4,132.1,25:07.184,2020-11-10 12:25:07.184,Jean-Eric VERGNE,,,3,TECHEETAH,,18.88886666666667,21.1111,5.364483333333333,50.333333333333336
23,25,4,9:15.326,0,19.3,34:22.510,2020-11-10 12:34:22.510,Jean-Eric VERGNE,,,3,TECHEETAH,,19.15557,21.666669999999993,5.310836999999999,93.7
24,25,5,1:46.548,0,100.4,36:09.058,2020-11-10 12:36:09.058,Jean-Eric VERGNE,,,3,TECHEETAH,,19.2778,22.2222,6.973823333333333,132.33333333333334
25,27,1,32:19.782,0,5.5,32:19.782,2020-11-10 12:32:19.782,Robin FRIJNS,0:30:50.303,,4,Andretti Formula E,,19.2778,22.2222,6.43738,26.0
26,27,2,1:27.945,0,121.6,33:47.727,2020-11-10 12:33:47.727,Robin FRIJNS,,,4,Andretti Formula E,,19.2778,22.2222,6.43738,19.5
27,27,3,1:21.912,2,130.6,35:09.639,2020-11-10 12:35:09.639,Robin FRIJNS,,,4,Andretti Formula E,,19.2778,22.2222,6.437376666666666,120.33333333333333
28,28,1,1:41.463,0,105.4,1:41.463,2020-11-10 12:01:41.463,Antonio Felix DA COSTA,0:00:18.435,,1,Andretti Formula E,,19.2778,23.3333,8.04672,15.0
29,28,2,1:27.018,0,122.9,3:08.481,2020-11-10 12:03:08.481,Antonio Felix DA COSTA,,,1,Andretti Formula E,,,,,
30,28,3,1:22.073,2,130.3,4:30.554,2020-11-10 12:04:30.554,Antonio Felix DA COSTA,,,1,Andretti Formula E,,,,,
31,28,4,3:25.465,0,52.1,7:56.019,2020-11-10 12:07:56.019,Antonio Felix DA COSTA,,,1,Andretti Formula E,,,,,
32,28,5,1:58.539,0,90.2,9:54.558,2020-11-10 12:09:54.558,Antonio Felix DA COSTA,,,1,Andretti Formula E,,,,,
33,3,1,32:10.772,0,5.5,32:10.772,2020-11-10 12:32:10.772,Nelson PIQUET JR,0:30:47.556,,4,NEXTEV NIO,,19.2778,22.2222,6.43738,26.0
34,3,2,1:24.142,0,127.1,33:34.914,2020-11-10 12:33:34.914,Nelson PIQUET JR,,,4,NEXTEV NIO,,19.2778,22.2222,6.43738,19.5
35,3,3,1:21.651,2,131.0,34:56.565,2020-11-10 12:34:56.565,Nelson PIQUET JR,,,4,NEXTEV NIO,,19.2778,22.2222,5.632705,172.0
36,3,4,2:28.718,0,71.9,37:25.283,2020-11-10 12:37:25.283,Nelson PIQUET JR,,,4,NEXTEV NIO,,19.2778,22.2222,6.8397125,107.25
37,33,1,2:00.177,0,89.0,2:00.177,2020-11-10 12:02:00.177, MA Qing Hua,0:00:22.720,,1,TECHEETAH,,19.2778,23.3333,4.82803,26.0
38,33,2,1:23.248,2,128.5,3:23.425,2020-11-10 12:03:23.425, MA Qing Hua,,,1,TECHEETAH,,,,,
39,33,3,1:59.910,0,89.2,5:23.335,2020-11-10 12:05:23.335, MA Qing Hua,,,1,TECHEETAH,,,,,
40,33,4,2:13.511,0,80.1,7:36.846,2020-11-10 12:07:36.846, MA Qing Hua,,,1,TECHEETAH,,,,,
41,37,1,1:44.109,0,102.7,1:44.109,2020-11-10 12:01:44.109,José Maria LOPEZ,0:00:16.134,,1,DS Virgin Racing,,19.2778,23.3333,8.04672,15.0
42,37,2,1:26.462,0,123.7,3:10.571,2020-11-10 12:03:10.571,José Maria LOPEZ,,,1,DS Virgin Racing,,,,,
43,37,3,1:22.133,2,130.2,4:32.704,2020-11-10 12:04:32.704,José Maria LOPEZ,,,1,DS Virgin Racing,,,,,
44,37,4,7:49.331,0,22.8,12:22.035,2020-11-10 12:12:22.035,José Maria LOPEZ,,,1,DS Virgin Racing,,,,,
45,37,5,1:45.828,0,101.1,14:07.863,2020-11-10 12:14:07.863,José Maria LOPEZ,,,1,DS Virgin Racing,,,,,
46,4,1,12:01.339,0,14.8,12:01.339,2020-11-10 12:12:01.339,Stéphane SARRAZIN,0:10:33.876,,2,Venturi Formula E Team,,19.2778,22.2222,6.43738,13.0
47,4,2,1:24.809,0,126.1,13:26.148,2020-11-10 12:13:26.148,Stéphane SARRAZIN,,,2,Venturi Formula E Team,,,,,
