,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,19,1,9:49.184,0,18.2,9:49.184,2020-11-10 12:54:49.184,Felix ROSENQVIST,0:07:12.490,,4,Mahindra Racing,,20.0,25.0,3.21869,65.0
1,19,2,1:21.509,3,131.2,11:10.693,2020-11-10 12:56:10.693,Felix ROSENQVIST,,,4,Mahindra Racing,,,,,
2,19,3,5:08.686,0,34.6,16:19.379,2020-11-10 13:01:19.379,Felix ROSENQVIST,,,4,Mahindra Racing,,20.018533333333334,25.1852,3.7551366666666666,39.5
3,2,1,4:19.166,0,41.3,4:19.166,2020-11-10 12:49:19.166,Sam BIRD,0:02:50.169,,4,DS Virgin Racing,,20.1111,25.5556,6.43738,49.0
4,2,2,1:21.686,2,130.9,5:40.852,2020-11-10 12:50:40.852,Sam BIRD,,,4,DS Virgin Racing,,,,,
5,2,3,5:50.386,0,30.5,11:31.238,2020-11-10 12:56:31.238,Sam BIRD,,,4,DS Virgin Racing,,,,,
6,2,4,2:26.357,0,73.1,13:57.595,2020-11-10 12:58:57.595,Sam BIRD,,,4,DS Virgin Racing,,20.0,25.0,5.364483333333333,45.333333333333336
7,3,1,1:40.045,0,106.9,1:40.045,2020-11-10 12:46:40.045,Nelson PIQUET JR,0:00:19.844,,4,NEXTEV NIO,,20.1111,25.5556,6.43738,46.0
8,3,2,1:23.879,2,127.5,3:03.924,2020-11-10 12:48:03.924,Nelson PIQUET JR,,,4,NEXTEV NIO,,,,,
9,3,3,1:40.657,0,106.3,4:44.581,2020-11-10 12:49:44.581,Nelson PIQUET JR,,,4,NEXTEV NIO,,,,,
10,3,4,6:19.636,0,28.2,11:04.217,2020-11-10 12:56:04.217,Nelson PIQUET JR,,,4,NEXTEV NIO,,,,,
11,9,1,6:54.620,0,25.8,6:54.620,2020-11-10 12:51:54.620,Sébastien BUEMI,0:05:28.661,,2,Renault e.dams,,20.0556,25.5556,0.0,46.0
12,9,2,1:21.546,2,131.2,8:16.166,2020-11-10 12:53:16.166,Sébastien BUEMI,,,2,Renault e.dams,,,,,
13,9,3,6:01.755,0,29.6,14:17.921,2020-11-10 12:59:17.921,Sébastien BUEMI,,,2,Renault e.dams,,20.0,25.0,4.02336,51.0
14,9,4,1:40.197,0,106.7,15:58.118,2020-11-10 13:00:58.118,Sébastien BUEMI,,,2,Renault e.dams,,20.0278,25.2778,0.80467,46.0
