,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,1,1:29.105,0,120.0,1:29.105,2020-11-10 16:05:21.672,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.7222,13.8889,1.06093,332.0
1,1,2,1:25.382,0,125.3,2:54.487,2020-11-10 16:06:47.054,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,,,,
2,1,3,1:24.628,0,126.4,4:19.115,2020-11-10 16:08:11.682,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.7222,13.8889,1.5914,303.0
3,1,4,1:24.220,2,127.0,5:43.335,2020-11-10 16:09:35.902,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.7222,13.8889,2.652335,319.5
4,1,5,1:24.317,0,126.8,7:07.652,2020-11-10 16:11:00.219,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6852,13.8889,2.4755133333333332,315.6666666666667
5,1,6,1:24.448,0,126.7,8:32.100,2020-11-10 16:12:24.667,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6667,13.8889,2.12187,322.0
6,1,7,3:17.835,0,54.1,11:49.935,2020-11-10 16:15:42.502,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6667,13.8889,3.1828025,324.0
7,16,1,1:37.765,0,109.4,1:37.765,2020-11-10 16:05:30.332,Oliver TURVEY,0:00:16.150,,,NIO Formula E Team,,15.7222,13.8889,1.06093,332.0
8,16,2,1:25.147,0,125.6,3:02.912,2020-11-10 16:06:55.479,Oliver TURVEY,,,,NIO Formula E Team,,,,,
9,16,3,1:27.679,0,122.0,4:30.591,2020-11-10 16:08:23.158,Oliver TURVEY,,,,NIO Formula E Team,,15.7222,13.8889,1.5914,303.0
10,16,4,1:24.546,0,126.5,5:55.137,2020-11-10 16:09:47.704,Oliver TURVEY,,,,NIO Formula E Team,,15.7037,13.8889,2.1218666666666666,316.6666666666667
11,16,5,1:24.194,2,127.0,7:19.331,2020-11-10 16:11:11.898,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,1.5914,320.0
12,16,6,1:24.559,0,126.5,8:43.890,2020-11-10 16:12:36.457,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,2.12187,322.0
13,16,7,1:25.231,0,125.5,10:09.121,2020-11-10 16:14:01.688,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,3.890093333333333,321.0
14,16,8,1:24.556,0,126.5,11:33.677,2020-11-10 16:15:26.244,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,1.5914,328.0
15,16,9,1:24.902,0,126.0,12:58.579,2020-11-10 16:16:51.146,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,2.1218649999999997,334.5
16,16,10,1:24.811,0,126.1,14:23.390,2020-11-10 16:18:15.957,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,3.5364466666666665,219.33333333333334
17,16,11,1:25.017,0,125.8,15:48.407,2020-11-10 16:19:40.974,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,2.12187,309.0
18,16,12,1:24.747,0,126.2,17:13.154,2020-11-10 16:21:05.721,Oliver TURVEY,,,,NIO Formula E Team,,15.69445,13.8889,4.774205,324.0
19,16,13,1:24.645,0,126.4,18:37.799,2020-11-10 16:22:30.366,Oliver TURVEY,,,,NIO Formula E Team,,15.6852,13.8889,3.5364466666666665,325.0
20,16,14,1:24.304,0,126.9,20:02.103,2020-11-10 16:23:54.670,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,2.652335,328.5
21,16,15,1:24.605,0,126.4,21:26.708,2020-11-10 16:25:19.275,Oliver TURVEY,,,,NIO Formula E Team,,15.6667,13.8889,4.597383333333333,327.3333333333333
22,16,16,1:25.279,0,125.4,22:51.987,2020-11-10 16:26:44.554,Oliver TURVEY,,,,NIO Formula E Team,,15.6389,13.8889,1.5914,334.0
23,16,17,2:16.755,0,78.2,25:08.742,2020-11-10 16:29:01.309,Oliver TURVEY,,,,NIO Formula E Team,,15.6111,13.8889,3.8900899999999994,350.3333333333333
24,18,1,1:35.273,0,112.3,1:35.273,2020-11-10 16:05:27.840,André LOTTERER,,,,TECHEETAH,,15.7222,13.8889,1.06093,332.0
25,18,2,1:25.771,0,124.7,3:01.044,2020-11-10 16:06:53.611,André LOTTERER,,,,TECHEETAH,,,,,
26,18,3,1:29.016,0,120.2,4:30.060,2020-11-10 16:08:22.627,André LOTTERER,,,,TECHEETAH,,15.7222,13.8889,1.5914,303.0
27,18,4,1:24.737,0,126.2,5:54.797,2020-11-10 16:09:47.364,André LOTTERER,,,,TECHEETAH,,15.7037,13.8889,2.1218666666666666,316.6666666666667
28,18,5,1:25.654,0,124.9,7:20.451,2020-11-10 16:11:13.018,André LOTTERER,,,,TECHEETAH,,15.6667,13.8889,1.5914,320.0
29,18,6,1:24.694,0,126.3,8:45.145,2020-11-10 16:12:37.712,André LOTTERER,,,,TECHEETAH,,15.6667,13.8889,2.12187,322.0
30,18,7,1:24.514,2,126.6,10:09.659,2020-11-10 16:14:02.226,André LOTTERER,,,,TECHEETAH,,15.6667,13.8889,3.890093333333333,321.0
31,18,8,1:25.253,0,125.5,11:34.912,2020-11-10 16:15:27.479,André LOTTERER,,,,TECHEETAH,,15.6667,13.8889,1.5914,328.0
