,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,11,1,1:11.668,0,105.1,1:11.668,2020-11-10 12:01:11.668,Lucas DI GRASSI,0:00:08.675,,1,ABT Schaeffler Audi Sport,,26.3889,21.1111,8.04672,65.0
1,11,2,1:10.952,0,106.2,2:22.620,2020-11-10 12:02:22.620,Lucas DI GRASSI,,,1,ABT Schaeffler Audi Sport,,,,,
2,11,3,1:03.690,2,118.3,3:26.310,2020-11-10 12:03:26.310,Lucas DI GRASSI,,,1,ABT Schaeffler Audi Sport,,26.3889,21.1111,8.04672,117.0
3,11,4,1:25.715,0,87.9,4:52.025,2020-11-10 12:04:52.025,Lucas DI GRASSI,,,1,ABT Schaeffler Audi Sport,,26.3889,21.1111,8.04672,65.0
4,19,1,37:25.827,0,3.4,37:25.826,2020-11-10 12:37:25.827,Felix ROSENQVIST,0:36:16.593,,4,Mahindra Racing,,27.7222,21.6667,8.04672,61.0
5,19,2,1:03.425,2,118.8,38:29.251,2020-11-10 12:38:29.252,Felix ROSENQVIST,,,4,Mahindra Racing,,27.7222,21.6667,8.04672,61.0
6,19,3,1:20.714,0,93.4,39:49.965,2020-11-10 12:39:49.966,Felix ROSENQVIST,,,4,Mahindra Racing,,27.7222,21.6667,8.04672,61.0
7,2,1,1:14.621,0,101.0,1:14.621,2020-11-10 12:01:14.621,Sam BIRD,0:00:11.533,,1,DS Virgin Racing,,26.3889,21.1111,8.04672,65.0
8,2,2,1:13.202,0,102.9,2:27.823,2020-11-10 12:02:27.823,Sam BIRD,,,1,DS Virgin Racing,,,,,
9,2,3,1:03.099,2,119.4,3:30.922,2020-11-10 12:03:30.922,Sam BIRD,,,1,DS Virgin Racing,,26.3889,21.1111,8.04672,117.0
10,2,4,1:23.841,0,89.9,4:54.763,2020-11-10 12:04:54.763,Sam BIRD,,,1,DS Virgin Racing,,26.3889,21.1111,8.04672,65.0
11,20,1,1:52.795,0,66.8,1:52.795,2020-11-10 12:01:52.795,Mitch EVANS,0:00:41.253,,1,Panasonic Jaguar Racing,,26.3889,21.1111,8.04672,169.0
12,20,2,1:10.887,0,106.3,3:03.682,2020-11-10 12:03:03.682,Mitch EVANS,,,1,Panasonic Jaguar Racing,,26.3889,21.1111,8.04672,169.0
13,20,3,1:03.563,2,118.5,4:07.245,2020-11-10 12:04:07.245,Mitch EVANS,,,1,Panasonic Jaguar Racing,,26.3889,21.1111,8.04672,117.0
14,20,4,4:29.722,0,27.9,8:36.967,2020-11-10 12:08:36.967,Mitch EVANS,,,1,Panasonic Jaguar Racing,,26.388900000000003,21.203699999999998,8.04672,84.5
15,23,1,2:01.956,0,61.8,2:01.956,2020-11-10 12:02:01.956,Nick HEIDFELD,0:00:51.041,,1,Mahindra Racing,,26.3889,21.1111,8.04672,169.0
16,23,2,1:08.407,0,110.1,3:10.363,2020-11-10 12:03:10.363,Nick HEIDFELD,,,1,Mahindra Racing,,26.3889,21.1111,8.04672,169.0
17,23,3,1:03.022,2,119.6,4:13.385,2020-11-10 12:04:13.385,Nick HEIDFELD,,,1,Mahindra Racing,,26.3889,21.1111,8.04672,117.0
18,23,4,6:00.026,0,20.9,10:13.411,2020-11-10 12:10:13.411,Nick HEIDFELD,,,1,Mahindra Racing,,26.388900000000003,21.269842857142855,7.357001428571429,75.57142857142857
19,25,1,21:42.385,0,5.8,21:42.385,2020-11-10 12:21:42.385,Jean-Eric VERGNE,0:20:30.641,,3,TECHEETAH,,27.4444,21.6667,8.04672,90.0
20,25,2,1:09.842,0,107.9,22:52.227,2020-11-10 12:22:52.227,Jean-Eric VERGNE,,,3,TECHEETAH,,27.4444,21.6667,8.04672,90.0
21,25,3,2:03.479,0,61.0,24:55.706,2020-11-10 12:24:55.706,Jean-Eric VERGNE,,,3,TECHEETAH,,27.4444,21.666700000000002,8.04672,90.0
22,25,4,6:43.232,0,18.7,31:38.937,2020-11-10 12:31:38.938,Jean-Eric VERGNE,0:05:41.063,,3,TECHEETAH,,27.4444,21.666699999999995,8.04672,128.5
23,25,5,1:02.983,2,119.6,32:41.920,2020-11-10 12:32:41.921,Jean-Eric VERGNE,,,3,TECHEETAH,,27.4444,21.6667,8.04672,134.0
24,25,6,2:29.181,0,50.5,35:11.101,2020-11-10 12:35:11.102,Jean-Eric VERGNE,,,3,TECHEETAH,,27.53703333333333,21.666700000000002,6.437376666666668,89.66666666666667
