,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,25,1,1:18.642,0,95.8,1:18.642,2020-11-10 12:51:18.642,Jean-Eric VERGNE,0:00:03.830,,3,TECHEETAH,,27.5556,22.2222,6.43738,115.0
1,25,2,1:03.202,2,119.2,2:21.844,2020-11-10 12:52:21.844,Jean-Eric VERGNE,,,3,TECHEETAH,,,,,
2,25,3,1:14.795,0,100.7,3:36.639,2020-11-10 12:53:36.639,Jean-Eric VERGNE,,,3,TECHEETAH,,27.5556,22.2222,6.43738,115.0
3,37,1,5:13.202,0,24.1,5:13.202,2020-11-10 12:55:13.202,José Maria LOPEZ,0:04:01.796,,2,DS Virgin Racing,,27.8889,22.2222,4.82803,199.0
4,37,2,1:03.072,2,119.5,6:16.274,2020-11-10 12:56:16.274,José Maria LOPEZ,,,2,DS Virgin Racing,,27.8889,22.2222,5.632705,234.0
5,37,3,1:15.545,0,99.7,7:31.819,2020-11-10 12:57:31.819,José Maria LOPEZ,,,2,DS Virgin Racing,,27.925900000000002,22.2222,10.1925,241.33333333333334
6,5,1,3:16.825,0,38.3,3:16.825,2020-11-10 12:53:16.825,Maro ENGEL,0:02:07.198,,4,Venturi Formula E Team,,27.5556,22.2222,6.43738,115.0
7,5,2,1:03.045,2,119.5,4:19.870,2020-11-10 12:54:19.870,Maro ENGEL,,,4,Venturi Formula E Team,,27.5556,22.2222,6.43738,115.0
8,5,3,1:14.738,0,100.8,5:34.608,2020-11-10 12:55:34.608,Maro ENGEL,,,4,Venturi Formula E Team,,27.7778,22.2222,5.90093,194.33333333333334
9,66,1,7:07.848,0,17.6,7:07.848,2020-11-10 12:57:07.848,Daniel ABT,0:06:04.178,,2,ABT Schaeffler Audi Sport,,27.9444,22.2222,8.04672,237.0
10,66,2,1:02.711,4,120.2,8:10.559,2020-11-10 12:58:10.559,Daniel ABT,,,2,ABT Schaeffler Audi Sport,,27.9444,22.2222,12.07006,227.5
11,66,3,1:17.580,0,97.1,9:28.139,2020-11-10 12:59:28.139,Daniel ABT,,,2,ABT Schaeffler Audi Sport,,27.9074,22.2222,8.046706666666667,162.66666666666666
12,88,1,9:01.091,0,13.9,9:01.091,2020-11-10 12:59:01.091,Oliver TURVEY,0:07:13.800,,2,NEXTEV NIO,,27.8889,22.2222,4.82803,213.0
13,88,2,1:02.867,2,119.9,10:03.958,2020-11-10 13:00:03.958,Oliver TURVEY,,,2,NEXTEV NIO,,27.8889,22.2222,4.02336,135.0
14,88,3,1:28.458,0,85.2,11:32.416,2020-11-10 13:01:32.416,Oliver TURVEY,,,2,NEXTEV NIO,,27.85183333333333,22.2222,3.7551366666666666,68.66666666666667
