,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,1,1:15.923,0,99.2,1:15.923,2020-11-10 16:05:00.475,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.0,41.6667,2.12187,275.0
1,1,2,1:04.527,0,116.8,2:20.450,2020-11-10 16:06:05.002,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.0,41.6667,2.12187,275.0
2,1,3,1:04.730,0,116.4,3:25.180,2020-11-10 16:07:09.732,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.0,41.6667,2.12187,275.0
3,1,4,1:04.964,0,116.0,4:30.144,2020-11-10 16:08:14.696,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.0,41.6667,1.5914,275.0
4,1,5,1:04.723,0,116.4,5:34.867,2020-11-10 16:09:19.419,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.037066666666664,41.6667,1.4145766666666664,328.3333333333333
5,1,6,1:04.116,0,117.5,6:38.983,2020-11-10 16:10:23.535,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.08335,41.6667,0.530465,315.5
6,1,7,1:04.307,0,117.2,7:43.290,2020-11-10 16:11:27.842,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.1389,41.6667,1.060935,269.5
7,1,8,1:04.059,0,117.6,8:47.349,2020-11-10 16:12:31.901,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.22225,41.6667,2.12187,247.5
8,1,9,1:04.000,0,117.7,9:51.349,2020-11-10 16:13:35.901,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.30555,41.6667,2.652335,247.0
9,1,10,1:03.951,0,117.8,10:55.300,2020-11-10 16:14:39.852,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.3333,41.6667,2.1218649999999997,269.5
10,1,11,1:04.248,0,117.3,11:59.548,2020-11-10 16:15:44.100,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.3611,41.6667,2.652335,281.5
11,1,12,1:04.110,0,117.5,13:03.658,2020-11-10 16:16:48.210,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.41665,41.6667,4.24374,283.0
12,1,13,1:04.094,0,117.6,14:07.752,2020-11-10 16:17:52.304,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.4722,41.6667,4.24374,241.5
13,1,14,1:04.192,0,117.4,15:11.944,2020-11-10 16:18:56.496,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.4722,41.6667,3.7132699999999996,204.0
14,1,15,1:04.435,0,116.9,16:16.379,2020-11-10 16:20:00.931,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.4444,41.3889,3.7132699999999996,237.0
15,1,16,1:05.042,0,115.8,17:21.421,2020-11-10 16:21:05.973,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.4722,41.1111,3.7132699999999996,246.0
16,1,17,1:04.124,0,117.5,18:25.545,2020-11-10 16:22:10.097,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,27.5,41.1111,3.1828,208.0
