,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,1,4:13.789,0,47.5,4:13.789,2020-11-10 11:34:13.789,Lucas DI GRASSI,0:02:43.615,,1,Audi Sport ABT Schaeffler,,28.8889,39.4444,5.30467,232.0
1,1,2,1:38.857,0,86.4,5:52.646,2020-11-10 11:35:52.646,Lucas DI GRASSI,,,1,Audi Sport ABT Schaeffler,,,,,
2,1,3,1:14.325,2,114.9,7:06.971,2020-11-10 11:37:06.971,Lucas DI GRASSI,,,1,Audi Sport ABT Schaeffler,,28.91665,39.4444,6.89607,231.5
3,19,1,4:20.316,0,46.3,4:20.316,2020-11-10 11:34:20.316,Felix ROSENQVIST,0:02:42.775,,1,Mahindra Racing,,28.8889,39.4444,5.30467,232.0
4,19,2,1:35.552,0,89.4,5:55.868,2020-11-10 11:35:55.868,Felix ROSENQVIST,,,1,Mahindra Racing,,,,,
5,19,3,1:14.825,2,114.2,7:10.693,2020-11-10 11:37:10.693,Felix ROSENQVIST,,,1,Mahindra Racing,,28.91665,39.4444,6.89607,231.5
6,2,1,4:14.957,0,47.3,4:14.957,2020-11-10 11:34:14.957,Sam BIRD,0:02:44.683,,1,DS Virgin Racing,,28.8889,39.4444,5.30467,232.0
7,2,2,1:38.827,0,86.4,5:53.784,2020-11-10 11:35:53.784,Sam BIRD,,,1,DS Virgin Racing,,,,,
8,2,3,1:14.484,2,114.7,7:08.268,2020-11-10 11:37:08.268,Sam BIRD,,,1,DS Virgin Racing,,28.91665,39.4444,6.89607,231.5
9,25,1,4:25.451,0,45.4,4:25.451,2020-11-10 11:34:25.451,Jean-Eric VERGNE,0:02:58.932,,1,TECHEETAH,,28.8889,39.4444,5.30467,232.0
10,25,2,1:33.529,0,91.3,5:58.980,2020-11-10 11:35:58.980,Jean-Eric VERGNE,,,1,TECHEETAH,,,,,
11,25,3,1:13.890,4,115.6,7:12.870,2020-11-10 11:37:12.870,Jean-Eric VERGNE,,,1,TECHEETAH,,28.91665,39.4444,6.89607,231.5
12,9,1,4:21.754,0,46.1,4:21.754,2020-11-10 11:34:21.754,Sébastien BUEMI,0:02:47.895,,1,Renault e.dams,,28.8889,39.4444,5.30467,232.0
13,9,2,1:36.032,0,89.0,5:57.786,2020-11-10 11:35:57.786,Sébastien BUEMI,,,1,Renault e.dams,,,,,
14,9,3,1:14.178,2,115.2,7:11.964,2020-11-10 11:37:11.964,Sébastien BUEMI,,,1,Renault e.dams,,28.91665,39.4444,6.89607,231.5
15,18,1,3:53.807,0,51.6,3:53.807,2020-11-10 11:43:53.807,André LOTTERER,0:02:13.879,,2,TECHEETAH,,29.1667,40.0,2.12187,131.0
16,18,2,1:32.161,0,92.7,5:25.968,2020-11-10 11:45:25.968,André LOTTERER,,,2,TECHEETAH,,,,,
17,18,3,1:13.927,3,115.6,6:39.895,2020-11-10 11:46:39.895,André LOTTERER,,,2,TECHEETAH,,29.11115,40.0,1.5914,170.5
