,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,0,55.439,0,90.7,55.439,2020-11-10 15:36:00.860,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.7222,45.0,3.1828,205.0
1,1,1,1:20.972,0,105.5,2:16.411,2020-11-10 15:37:21.832,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,,,,
2,1,2,1:19.465,0,107.5,3:35.876,2020-11-10 15:38:41.297,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.69445,45.0,4.7741999999999996,215.0
3,1,3,1:18.965,0,108.2,4:54.841,2020-11-10 15:40:00.262,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.77775,45.0,4.243735,203.0
4,1,4,1:18.945,0,108.2,6:13.786,2020-11-10 15:41:19.207,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.8611,45.0,5.835134999999999,195.0
5,1,5,1:18.352,0,109.0,7:32.138,2020-11-10 15:42:37.559,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.944433333333336,45.0,5.658313333333333,213.33333333333334
6,1,6,1:18.635,0,108.6,8:50.773,2020-11-10 15:43:56.194,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,32.0,45.0,5.30467,228.5
7,1,7,1:18.830,0,108.4,10:09.603,2020-11-10 15:45:15.024,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.9722,45.0,4.24374,223.0
8,1,8,1:18.987,0,108.2,11:28.590,2020-11-10 15:46:34.011,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.9444,45.0,2.652335,225.0
9,1,9,1:18.303,0,109.1,12:46.893,2020-11-10 15:47:52.314,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.9444,45.0,3.8900899999999994,211.0
10,1,10,1:18.828,0,108.4,14:05.721,2020-11-10 15:49:11.142,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.9444,45.0,3.7132699999999996,226.0
11,1,11,1:17.525,0,110.2,15:23.246,2020-11-10 15:50:28.667,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.9444,45.0,2.652335,226.5
12,1,12,1:17.512,0,110.2,16:40.758,2020-11-10 15:51:46.179,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,31.9722,45.0,2.652335,226.5
13,1,13,1:17.888,0,109.7,17:58.646,2020-11-10 15:53:04.067,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,32.01853333333333,45.0,3.5364466666666665,218.33333333333334
