,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,20,1,9:44.408,0,20.6,9:44.408,2020-11-10 12:24:44.408,Mitch EVANS,0:07:53.278,,2,Panasonic Jaguar Racing,,30.0,42.2222,6.3656,232.0
1,20,2,1:14.465,2,114.7,10:58.873,2020-11-10 12:25:58.873,Mitch EVANS,,,2,Panasonic Jaguar Racing,,,,,
2,66,1,12:20.669,0,16.3,12:20.669,2020-11-10 12:27:20.669,Daniel ABT,0:10:38.673,,2,Audi Sport ABT Schaeffler,,30.0,42.2222,6.3656,232.0
3,66,2,1:16.579,2,111.6,13:37.248,2020-11-10 12:28:37.248,Daniel ABT,,,2,Audi Sport ABT Schaeffler,,29.9722,42.2222,7.426534999999999,239.0
4,7,1,6:54.271,0,29.1,6:54.271,2020-11-10 12:21:54.271,Jérôme D'AMBROSIO,0:05:16.382,,3,DRAGON,,29.9444,42.2222,3.1828,251.0
5,7,2,1:15.391,2,113.3,8:09.662,2020-11-10 12:23:09.662,Jérôme D'AMBROSIO,,,3,DRAGON,,,,,
6,8,1,1:45.150,0,114.7,1:45.150,2020-11-10 12:16:45.150,Nicolas PROST,,,4,Renault e.dams,,29.8889,42.2222,4.24374,229.0
7,8,2,1:14.921,2,114.0,3:00.071,2020-11-10 12:18:00.071,Nicolas PROST,,,4,Renault e.dams,,,,,
8,9,1,4:19.318,0,46.5,4:19.318,2020-11-10 12:19:19.318,Sébastien BUEMI,0:01:07.685,,1,Renault e.dams,,29.8889,42.2222,6.3656,235.0
9,9,2,1:13.911,3,115.6,5:33.229,2020-11-10 12:20:33.229,Sébastien BUEMI,,,1,Renault e.dams,,,,,
10,1,1,11:28.279,0,7.3,11:28.279,2020-11-10 11:56:28.279,Lucas DI GRASSI,0:10:00.276,,2,Audi Sport ABT Schaeffler,,22.5,23.3333,3.1828,234.0
11,18,1,6:29.100,0,12.9,6:29.100,2020-11-10 11:51:29.100,André LOTTERER,0:05:03.656,,4,TECHEETAH,,22.6111,23.3333,5.30467,228.0
12,18,2,1:18.013,2,109.5,7:47.113,2020-11-10 11:52:47.113,André LOTTERER,,,4,TECHEETAH,,22.58335,23.3333,4.774205,231.0
13,25,1,1:30.971,0,55.2,1:30.971,2020-11-10 11:46:30.971,Jean-Eric VERGNE,0:00:02.026,,2,TECHEETAH,,22.5,23.3333,3.1828,234.0
14,25,2,1:18.031,2,109.5,2:49.002,2020-11-10 11:47:49.002,Jean-Eric VERGNE,,,2,TECHEETAH,,,,,
15,66,1,4:04.817,0,20.5,4:04.817,2020-11-10 11:49:04.817,Daniel ABT,0:02:31.874,,2,Audi Sport ABT Schaeffler,,22.5556,23.3333,4.24374,238.0
16,66,2,1:18.145,2,109.3,5:22.962,2020-11-10 11:50:22.962,Daniel ABT,,,2,Audi Sport ABT Schaeffler,,,,,
17,9,1,8:59.434,0,9.3,8:59.434,2020-11-10 11:53:59.434,Sébastien BUEMI,0:07:27.580,,2,Renault e.dams,,22.5556,23.3333,4.24374,238.0
18,9,2,1:17.973,3,109.6,10:17.407,2020-11-10 11:55:17.407,Sébastien BUEMI,,,2,Renault e.dams,,22.5278,23.3333,3.182805,242.5
