,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,11,1,4:33.129,0,25.3,4:33.129,2020-11-10 12:04:33.129,Lucas DI GRASSI,0:03:24.442,,1,ABT Schaeffler Audi Sport,ABT,15.0556,22.2222,4.82803,181.0
1,11,2,1:05.219,0,106.0,5:38.348,2020-11-10 12:05:38.348,Lucas DI GRASSI,,,1,ABT Schaeffler Audi Sport,ABT,15.0556,22.2222,4.82803,181.0
2,11,3,1:02.840,2,110.0,6:41.188,2020-11-10 12:06:41.188,Lucas DI GRASSI,,,1,ABT Schaeffler Audi Sport,ABT,15.0556,22.2222,4.82803,181.0
3,19,1,4:00.767,0,28.7,4:00.767,2020-11-10 12:04:00.767,Felix ROSENQVIST,0:02:41.733,,1,Mahindra Racing,MAHINDRA,15.0556,22.7778,17.7028,216.0
4,19,2,1:09.368,0,99.6,5:10.135,2020-11-10 12:05:10.135,Felix ROSENQVIST,,,1,Mahindra Racing,MAHINDRA,,,,
5,19,3,1:02.617,2,110.4,6:12.752,2020-11-10 12:06:12.752,Felix ROSENQVIST,,,1,Mahindra Racing,MAHINDRA,15.0556,22.2222,4.82803,181.0
6,2,1,3:45.862,0,30.6,3:45.862,2020-11-10 12:03:45.862,Sam BIRD,0:02:34.282,,1,DS Virgin Racing,VIRGIN,15.0556,22.7778,17.7028,216.0
7,2,2,1:13.169,0,94.5,4:59.031,2020-11-10 12:04:59.031,Sam BIRD,,,1,DS Virgin Racing,VIRGIN,,,,
8,2,3,1:03.573,2,108.7,6:02.604,2020-11-10 12:06:02.604,Sam BIRD,,,1,DS Virgin Racing,VIRGIN,15.0556,22.2222,4.82803,181.0
9,66,1,4:13.916,0,27.2,4:13.916,2020-11-10 12:04:13.916,Daniel ABT,0:02:58.312,,1,ABT Schaeffler Audi Sport,ABT,15.0556,22.7778,17.7028,216.0
10,66,2,1:12.680,0,95.1,5:26.596,2020-11-10 12:05:26.596,Daniel ABT,,,1,ABT Schaeffler Audi Sport,ABT,,,,
11,66,3,1:03.071,2,109.6,6:29.667,2020-11-10 12:06:29.667,Daniel ABT,,,1,ABT Schaeffler Audi Sport,ABT,15.0556,22.2222,4.82803,181.0
12,9,1,4:04.175,0,28.3,4:04.175,2020-11-10 12:04:04.175,Sébastien BUEMI,0:02:46.498,,1,Renault e.dams,RENAULT,15.0556,22.7778,17.7028,216.0
13,9,2,1:12.301,0,95.6,5:16.476,2020-11-10 12:05:16.476,Sébastien BUEMI,,,1,Renault e.dams,RENAULT,,,,
14,9,3,1:02.171,4,111.2,6:18.647,2020-11-10 12:06:18.647,Sébastien BUEMI,,,1,Renault e.dams,RENAULT,15.0556,22.2222,4.82803,181.0
15,20,1,2:27.747,0,46.8,2:27.747,2020-11-10 12:12:27.747,Mitch EVANS,0:01:07.687,,2,Panasonic Jaguar Racing,JAGUAR,15.0556,23.8889,6.43738,125.0
16,20,2,1:07.670,0,102.1,3:35.417,2020-11-10 12:13:35.417,Mitch EVANS,,,2,Panasonic Jaguar Racing,JAGUAR,,,,
17,20,3,1:02.687,2,110.3,4:38.104,2020-11-10 12:14:38.104,Mitch EVANS,,,2,Panasonic Jaguar Racing,JAGUAR,15.0,23.8889,3.21869,127.0
18,3,1,1:52.358,0,61.5,1:52.358,2020-11-10 12:11:52.358,Nelson PIQUET JR,0:00:39.168,,2,NEXTEV NIO,NEXTEV,15.0556,23.8889,6.43738,125.0
19,3,2,1:06.952,0,103.2,2:59.310,2020-11-10 12:12:59.310,Nelson PIQUET JR,,,2,NEXTEV NIO,NEXTEV,,,,
20,3,3,1:02.810,2,110.0,4:02.120,2020-11-10 12:14:02.120,Nelson PIQUET JR,,,2,NEXTEV NIO,NEXTEV,15.0,23.8889,3.21869,127.0
21,37,1,1:29.240,0,77.5,1:29.240,2020-11-10 12:11:29.240,José Maria LOPEZ,0:00:13.086,,2,DS Virgin Racing,VIRGIN,15.0556,23.8889,6.43738,125.0
22,37,2,1:07.878,0,101.8,2:37.118,2020-11-10 12:12:37.118,José Maria LOPEZ,,,2,DS Virgin Racing,VIRGIN,,,,
23,37,3,1:02.459,3,110.7,3:39.577,2020-11-10 12:13:39.577,José Maria LOPEZ,,,2,DS Virgin Racing,VIRGIN,15.0,23.8889,3.21869,127.0
