,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,1,0,1:00.701,0,91.3,1:00.701,2020-11-10 16:05:35.889,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.5556,22.7778,1.06093,142.0
1,1,1,2:07.780,0,54.1,3:08.481,2020-11-10 16:07:43.669,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,,,,
2,1,2,1:04.960,0,106.4,4:13.441,2020-11-10 16:08:48.629,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6111,22.7778,3.182805,135.0
3,1,3,1:04.103,0,107.8,5:17.544,2020-11-10 16:09:52.732,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.58335,22.7778,1.5914,132.0
4,1,4,1:04.029,0,108.0,6:21.573,2020-11-10 16:10:56.761,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.58335,22.7778,1.06093,179.0
5,1,5,1:03.972,0,108.0,7:25.545,2020-11-10 16:12:00.733,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6111,22.7778,1.5914,232.0
6,1,6,1:03.776,0,108.4,8:29.321,2020-11-10 16:13:04.509,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6389,22.7778,2.652335,238.5
7,1,7,1:03.681,0,108.5,9:33.002,2020-11-10 16:14:08.190,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6667,22.7778,3.7132699999999996,226.0
8,1,8,1:03.806,0,108.3,10:36.808,2020-11-10 16:15:11.996,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.69445,22.7778,3.7132699999999996,234.0
9,1,9,1:03.887,0,108.2,11:40.695,2020-11-10 16:16:15.883,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.7222,22.7778,2.1218649999999997,194.5
10,1,10,1:03.615,0,108.7,12:44.310,2020-11-10 16:17:19.498,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.75,22.7778,2.1218649999999997,169.0
11,1,11,1:03.726,0,108.5,13:48.036,2020-11-10 16:18:23.224,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.75,22.7778,2.652335,211.0
12,1,12,1:03.794,0,108.3,14:51.830,2020-11-10 16:19:27.018,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.7222,22.7778,2.652335,211.0
13,1,13,1:03.781,0,108.4,15:55.611,2020-11-10 16:20:30.799,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.69445,22.7778,4.243735,233.5
14,1,14,1:03.797,0,108.3,16:59.408,2020-11-10 16:21:34.596,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6667,22.7778,3.1828,254.5
15,1,15,1:03.548,0,108.8,18:02.956,2020-11-10 16:22:38.144,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6667,22.7778,1.5914,230.5
16,1,16,1:03.793,0,108.4,19:06.749,2020-11-10 16:23:41.937,Lucas DI GRASSI,,,,Audi Sport ABT Schaeffler,,15.6667,22.7778,3.182805,226.0
