,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,18,1,1:14.428,0,74.5,1:14.428,2020-11-10 12:46:14.428,André LOTTERER,0:00:01.600,,2,TECHEETAH,,15.2778,22.2222,2.12187,240.0
1,18,2,1:01.487,2,112.4,2:15.915,2020-11-10 12:47:15.915,André LOTTERER,,,2,TECHEETAH,,,,,
2,2,1,3:15.614,0,28.3,3:15.614,2020-11-10 12:48:15.614,Sam BIRD,0:01:59.557,,1,DS Virgin Racing,,15.2778,22.2222,3.1828,178.0
3,2,2,1:01.421,2,112.5,4:17.035,2020-11-10 12:49:17.035,Sam BIRD,,,1,DS Virgin Racing,,15.2778,22.2222,3.5364466666666665,211.0
4,25,1,9:34.440,0,9.7,9:34.440,2020-11-10 12:54:34.440,Jean-Eric VERGNE,0:08:17.588,,1,TECHEETAH,,15.1667,22.2222,4.24374,190.0
5,25,2,1:01.144,3,113.0,10:35.584,2020-11-10 12:55:35.584,Jean-Eric VERGNE,,,1,TECHEETAH,,15.1389,22.2222,4.24374,150.5
6,28,1,7:21.853,0,12.5,7:21.853,2020-11-10 12:52:21.853,Antonio Felix DA COSTA,0:06:08.360,,3,Andretti Formula E,,15.1667,22.2222,5.30467,204.0
7,28,2,1:02.805,2,110.1,8:24.658,2020-11-10 12:53:24.658,Antonio Felix DA COSTA,,,3,Andretti Formula E,,15.1667,22.2222,5.30467,204.0
8,5,1,5:17.304,0,17.5,5:17.304,2020-11-10 12:50:17.304,Maro ENGEL,0:04:04.840,,4,Venturi Formula E Team,,15.2222,22.2222,1.06093,248.0
9,5,2,1:01.541,2,112.3,6:18.845,2020-11-10 12:51:18.845,Maro ENGEL,,,4,Venturi Formula E Team,,15.2222,22.2222,1.06093,248.0
