NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
10;0;1;4:11.351;0;;2:41.504;0;36.875;0;52.972;0;49.5;4:11.351;10:34;2:41.504;0:36.875;0:52.972;;Jarno Trulli;0:02:05.222;
10;0;2;1:43.501;0;;36.730;0;33.679;0;33.092;0;120.1;5:54.852;10:35;0:36.730;0:33.679;0:33.092;;Jarno Trulli;;
10;0;3;7:31.988;0;B;53.476;0;59.230;0;5:39.282;0;27.5;13:26.840;10:43;0:53.476;0:59.230;5:39.282;;Jarno Trulli;;
10;0;4;2:24.400;0;;58.051;0;35.711;0;50.638;0;86.1;15:51.240;10:45;0:58.051;0:35.711;0:50.638;;Jarno Trulli;0:05:22.561;
10;0;5;2:23.701;0;;36.405;0;56.671;0;50.625;0;86.5;18:14.941;10:48;0:36.405;0:56.671;0:50.625;;Jarno Trulli;;
10;0;6;1:42.457;2;;36.363;2;33.305;2;32.789;2;121.3;19:57.398;10:49;0:36.363;0:33.305;0:32.789;;Jarno Trulli;;
11;0;1;4:14.758;0;;2:48.431;0;40.127;0;46.200;0;48.8;4:14.758;10:34;2:48.431;0:40.127;0:46.200;;Lucas di Grassi;0:02:10.757;
11;0;2;1:41.676;2;;36.028;2;33.269;2;32.379;4;122.3;5:56.434;10:35;0:36.028;0:33.269;0:32.379;;Lucas di Grassi;;
11;0;3;6:34.659;0;B;40.782;0;39.285;0;5:14.592;0;31.5;12:31.093;10:42;0:40.782;0:39.285;5:14.592;;Lucas di Grassi;;
11;0;4;2:10.947;0;;1:00.328;0;35.340;0;35.279;0;94.9;14:42.040;10:44;1:00.328;0:35.340;0:35.279;;Lucas di Grassi;0:05:04.729;
11;0;5;1:48.411;0;;38.084;0;35.585;0;34.742;0;114.7;16:30.451;10:46;0:38.084;0:35.585;0:34.742;;Lucas di Grassi;;
18;0;1;3:01.301;0;;1:31.559;0;44.091;0;45.651;0;68.6;3:01.301;10:33;1:31.559;0:44.091;0:45.651;;Michela Cerruti;0:00:48.485;
18;0;2;1:53.082;0;;40.249;0;37.091;0;35.742;0;109.9;4:54.383;10:34;0:40.249;0:37.091;0:35.742;;Michela Cerruti;;
18;0;3;1:52.699;0;;39.761;0;37.186;0;35.752;0;110.3;6:47.082;10:36;0:39.761;0:37.186;0:35.752;;Michela Cerruti;;
18;0;4;1:55.419;0;;41.176;0;38.107;0;36.136;0;107.7;8:42.501;10:38;0:41.176;0:38.107;0:36.136;;Michela Cerruti;;
18;0;5;6:02.616;0;B;40.471;0;38.610;0;4:43.535;0;34.3;14:45.117;10:44;0:40.471;0:38.610;4:43.535;;Michela Cerruti;;
18;0;6;2:23.924;0;;1:01.775;0;40.099;0;42.050;0;86.4;17:09.041;10:47;1:01.775;0:40.099;0:42.050;;Michela Cerruti;0:04:30.334;
18;0;7;1:46.842;0;;38.006;0;34.956;0;33.880;0;116.3;18:55.883;10:48;0:38.006;0:34.956;0:33.880;;Michela Cerruti;;
18;0;8;2:41.194;0;;57.562;0;56.009;0;47.623;0;77.1;21:37.077;10:51;0:57.562;0:56.009;0:47.623;;Michela Cerruti;;
18;0;9;1:45.489;2;;37.638;2;34.592;2;33.259;2;117.8;23:22.566;10:53;0:37.638;0:34.592;0:33.259;;Michela Cerruti;;
2;0;1;3:38.690;0;;1:46.691;0;1:00.901;0;51.098;0;56.8;3:38.690;10:33;1:46.691;1:00.901;0:51.098;;Sam Bird;0:00:59.782;
