NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:07.079;0;;1:06.496;0;24.433;0;36.150;0;70.0;2:07.079;08:17;1:06.496;0:24.433;0:36.150;;Jarno Trulli;0:00:30.278;;;Trulli Formula E Team;;
10;0;2;1:26.970;0;;30.169;0;22.779;0;34.022;0;102.2;3:34.049;08:18;0:30.169;0:22.779;0:34.022;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;3;1:25.465;2;;29.469;0;22.458;2;33.538;2;104.0;4:59.514;08:19;0:29.469;0:22.458;0:33.538;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;4;1:27.468;0;;30.266;0;22.887;0;34.315;0;101.7;6:26.982;08:21;0:30.266;0:22.887;0:34.315;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;5;1:26.886;0;;29.734;0;22.672;0;34.480;0;102.3;7:53.868;08:22;0:29.734;0:22.672;0:34.480;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;6;9:28.998;0;B;33.902;0;31.749;0;8:23.347;0;15.6;17:22.866;08:32;0:33.902;0:31.749;8:23.347;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;7;1:31.108;0;;32.537;0;23.398;0;35.173;0;97.6;18:53.974;08:33;0:32.537;0:23.398;0:35.173;;Jarno Trulli;0:07:48.360;;;Trulli Formula E Team;;
10;0;8;1:26.233;0;;29.337;2;22.542;0;34.354;0;103.1;20:20.207;08:35;0:29.337;0:22.542;0:34.354;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;9;15:05.276;0;B;30.349;0;23.320;0;14:11.607;0;9.8;35:25.483;08:50;0:30.349;0:23.320;14:11.607;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;10;1:39.757;0;;36.365;0;24.035;0;39.357;0;89.1;37:05.240;08:52;0:36.365;0:24.035;0:39.357;;Jarno Trulli;0:13:47.215;;;Trulli Formula E Team;;
10;0;11;1:26.578;0;;29.853;0;22.787;0;33.938;0;102.7;38:31.818;08:53;0:29.853;0:22.787;0:33.938;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;12;1:26.181;0;;29.538;0;22.676;0;33.967;0;103.2;39:57.999;08:54;0:29.538;0:22.676;0:33.967;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;13;1:26.466;0;;29.705;0;22.723;0;34.038;0;102.8;41:24.465;08:56;0:29.705;0:22.723;0:34.038;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;14;1:26.652;0;;29.520;0;22.637;0;34.495;0;102.6;42:51.117;08:57;0:29.520;0:22.637;0:34.495;;Jarno Trulli;;;;Trulli Formula E Team;;
