NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:10.628;0;;1:07.589;0;26.117;0;36.922;0;68.1;2:10.628;12:02;1:07.589;0:26.117;0:36.922;;Jarno Trulli;0:00:31.908;;1;Trulli Formula E Team;;
10;0;2;1:34.807;0;;32.141;0;24.632;0;38.034;0;93.8;3:45.435;12:03;0:32.141;0:24.632;0:38.034;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;3;1:21.547;3;;28.123;2;21.711;2;31.713;2;109.0;5:06.982;12:05;0:28.123;0:21.711;0:31.713;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;4;2:12.106;0;;37.343;0;41.579;0;53.184;0;67.3;7:19.088;12:07;0:37.343;0:41.579;0:53.184;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;5;1:39.984;0;;35.152;0;26.200;0;38.632;0;88.9;8:59.072;12:08;0:35.152;0:26.200;0:38.632;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;6;1:22.056;0;;28.139;0;21.968;0;31.949;0;108.4;10:21.128;12:10;0:28.139;0:21.968;0:31.949;;Jarno Trulli;;;1;Trulli Formula E Team;;
11;0;1;31:47.313;0;;30:44.763;0;26.318;0;36.232;0;4.7;31:47.313;12:31;30:44.763;0:26.318;0:36.232;;Lucas di Grassi;0:30:09.169;;3;Audi Sport ABT Formula E Team;;
11;0;2;1:38.689;0;;36.303;0;25.689;0;36.697;0;90.1;33:26.002;12:33;0:36.303;0:25.689;0:36.697;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;3;1:21.623;2;;28.029;0;21.807;2;31.787;2;108.9;34:47.625;12:34;0:28.029;0:21.807;0:31.787;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;4;1:51.627;0;;42.148;0;33.060;0;36.419;0;79.7;36:39.252;12:36;0:42.148;0:33.060;0:36.419;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
