NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:33.708;0;;36.415;0;23.454;0;33.839;0;94.9;1:33.708;16:05;0:36.415;0:23.454;0:33.839;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;2;1:26.910;0;;29.651;0;23.425;0;33.834;0;102.3;3:00.618;16:06;0:29.651;0:23.425;0:33.834;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;3;1:26.770;0;;29.777;0;23.229;0;33.764;0;102.5;4:27.388;16:08;0:29.777;0:23.229;0:33.764;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;4;1:27.016;0;;29.644;0;23.520;0;33.852;0;102.2;5:54.404;16:09;0:29.644;0:23.520;0:33.852;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;5;1:27.195;0;;29.615;0;23.666;0;33.914;0;102.0;7:21.599;16:10;0:29.615;0:23.666;0:33.914;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;6;1:27.866;0;;29.719;0;23.539;0;34.608;0;101.2;8:49.465;16:12;0:29.719;0:23.539;0:34.608;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;7;1:29.923;0;;31.165;0;23.729;0;35.029;0;98.9;10:19.388;16:13;0:31.165;0:23.729;0:35.029;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;8;1:29.833;0;;29.831;0;24.903;0;35.099;0;99.0;11:49.221;16:15;0:29.831;0:24.903;0:35.099;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;9;1:30.252;0;;30.851;0;24.382;0;35.019;0;98.5;13:19.473;16:16;0:30.851;0:24.382;0:35.019;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;10;1:28.048;0;;29.796;0;23.539;0;34.713;0;101.0;14:47.521;16:18;0:29.796;0:23.539;0:34.713;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;11;1:26.921;0;;29.878;0;23.291;0;33.752;0;102.3;16:14.442;16:19;0:29.878;0:23.291;0:33.752;;Jarno Trulli;;;1;Trulli Formula E Team;;
