POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;7;Classified;33;48:26.566;-;-;28;1:25.150;104.4;Dragon Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
2;9;Classified;33;48:28.999;+2.433;+2.433;30;1:25.122;104.5;Team e.dams Renault;;4;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
3;6;Classified;33;48:30.074;+3.508;+1.075;19;1:24.762;104.9;Dragon Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
4;99;Classified;33;48:30.541;+3.975;+0.467;20;1:24.435;105.3;NEXTEV TCR Formula E Team;;1;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
5;23;Classified;33;48:39.612;+13.046;+9.071;24;1:25.439;104.1;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
6;30;Classified;33;48:39.901;+13.335;+0.289;21;1:25.138;104.4;Venturi Formula E Team;;2;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
7;27;Classified;33;48:40.244;+13.678;+0.343;30;1:25.063;104.5;Andretti Autosport Formula E Team;;2;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
8;2;Classified;33;48:40.621;+14.055;+0.377;32;1:25.166;104.4;Virgin Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
9;18;Classified;33;48:42.202;+15.636;+1.581;31;1:25.517;104.0;Trulli Formula E Team;;1;;Spark - Renault SRT_01 E;;Vitantonio;Liuzzi;;ITA;ITA;;
10;8;Classified;33;48:43.168;+16.602;+0.966;24;1:25.342;104.2;Team e.dams Renault;;3;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
11;55;Classified;33;48:43.363;+16.797;+0.195;26;1:24.758;104.9;Amlin Aguri;;1;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
12;3;Classified;33;48:47.160;+20.594;+3.797;27;1:25.029;104.6;Virgin Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
13;28;Classified;33;48:47.715;+21.149;+0.555;31;1:25.204;104.4;Andretti Autosport Formula E Team;;2;;Spark - Renault SRT_01 E;;Scott;Speed;;USA;USA;;
14;66;Classified;33;48:50.254;+23.688;+2.539;19;1:24.909;104.7;Audi Sport ABT Formula E Team;;4;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
15;88;Classified;33;48:52.057;+25.491;+1.803;24;1:25.100;104.5;NEXTEV TCR Formula E Team;;3;;Spark - Renault SRT_01 E;;Charles;Pic;;FRA;FRA;;
16;77;Classified;33;49:10.723;+44.157;+18.666;22;1:25.532;104.0;Amlin Aguri;;2;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
17;21;Classified;33;49:12.823;+46.257;+2.100;27;1:25.203;104.4;Mahindra Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
18;5;Classified;33;49:19.269;+52.703;+6.446;32;1:25.136;104.4;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
19;10;Classified;31;46:10.019;2 Laps;2 Laps;31;1:25.452;104.1;Trulli Formula E Team;;1;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
;11;Excluded;33;48:18.980;;;19;1:25.391;104.1;Audi Sport ABT Formula E Team;;3;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
