NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;49:09.445;0;;48:03.891;0;30.794;2;34.760;2;2.9;49:09.444;12:49;48:03.891;0:30.794;0:34.760;;Jarno Trulli;0:47:47.814;;4;Trulli Formula E Team;;
11;0;1;16:28.060;0;;15:24.195;0;29.041;0;34.824;0;8.8;16:28.060;12:16;15:24.195;0:29.041;0:34.824;;Lucas di Grassi;0:15:07.770;;2;Audi Sport ABT Formula E Team;;
11;0;2;1:09.521;2;;17.363;0;24.195;0;27.963;2;124.6;17:37.581;12:17;0:17.363;0:24.195;0:27.963;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
11;0;3;2:01.237;0;;26.939;0;41.206;0;53.092;0;71.5;19:38.818;12:19;0:26.939;0:41.206;0:53.092;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
11;0;4;1:52.882;0;B;17.161;2;24.088;2;1:11.633;0;76.8;21:31.700;12:21;0:17.161;0:24.088;1:11.633;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
18;0;1;17:27.456;0;;16:20.202;0;31.259;0;35.995;0;8.3;17:27.456;12:17;16:20.202;0:31.259;0:35.995;;Michela Cerruti;0:16:04.169;;2;Trulli Formula E Team;;
18;0;2;1:33.569;0;;18.246;0;32.585;0;42.738;0;92.6;19:01.025;12:19;0:18.246;0:32.585;0:42.738;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;3;1:36.587;0;;23.317;0;32.584;0;40.686;0;89.7;20:37.612;12:20;0:23.317;0:32.584;0:40.686;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;4;1:14.718;0;;18.035;0;24.520;0;32.163;0;116.0;21:52.330;12:21;0:18.035;0:24.520;0:32.163;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;5;4:01.838;0;B;29.387;0;34.310;0;2:58.141;0;35.8;25:54.168;12:25;0:29.387;0:34.310;2:58.141;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;6;2:52.805;0;;1:48.834;0;28.738;0;35.233;0;50.1;28:46.972;12:28;1:48.834;0:28.738;0:35.233;;Michela Cerruti;0:03:55.367;;2;Trulli Formula E Team;;
18;0;7;1:21.319;0;;21.519;0;28.243;0;31.557;0;106.6;30:08.291;12:30;0:21.519;0:28.243;0:31.557;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;8;1:11.785;2;;17.752;2;24.461;2;29.572;2;120.7;31:20.076;12:31;0:17.752;0:24.461;0:29.572;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;9;3:40.560;0;B;25.744;0;33.455;0;2:41.361;0;39.3;35:00.636;12:35;0:25.744;0:33.455;2:41.361;;Michela Cerruti;;;2;Trulli Formula E Team;;
2;0;1;1:28.006;0;;25.324;0;29.070;0;33.612;0;98.5;1:28.006;12:01;0:25.324;0:29.070;0:33.612;;Sam Bird;0:00:09.358;;1;Virgin Racing Formula E Team;;
2;0;2;1:11.275;0;;17.496;0;24.980;0;28.799;0;121.6;2:39.281;12:02;0:17.496;0:24.980;0:28.799;;Sam Bird;;;1;Virgin Racing Formula E Team;;
2;0;3;1:47.406;0;;27.415;0;37.530;0;42.461;0;80.7;4:26.687;12:04;0:27.415;0:37.530;0:42.461;;Sam Bird;;;1;Virgin Racing Formula E Team;;
2;0;4;1:46.539;0;;29.155;0;39.864;0;37.520;0;81.3;6:13.226;12:06;0:29.155;0:39.864;0:37.520;;Sam Bird;;;1;Virgin Racing Formula E Team;;
2;0;5;1:09.388;2;;17.121;2;24.133;2;28.134;2;124.9;7:22.614;12:07;0:17.121;0:24.133;0:28.134;;Sam Bird;;;1;Virgin Racing Formula E Team;;
