NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:32.996;0;;47.512;0;1:06.222;0;39.262;0;68.8;2:32.996;16:06;0:47.512;1:06.222;0:39.262;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;2;1:34.517;0;;25.740;0;35.159;0;33.618;0;111.4;4:07.513;16:07;0:25.740;0:35.159;0:33.618;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;3;1:33.315;0;;25.224;0;34.630;0;33.461;0;112.8;5:40.828;16:09;0:25.224;0:34.630;0:33.461;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;4;1:33.175;0;;25.287;0;34.767;0;33.121;0;113.0;7:14.003;16:10;0:25.287;0:34.767;0:33.121;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;5;1:32.881;0;;25.178;0;34.272;0;33.431;0;113.4;8:46.884;16:12;0:25.178;0:34.272;0:33.431;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;6;1:32.226;0;;24.904;0;34.303;0;33.019;0;114.2;10:19.110;16:13;0:24.904;0:34.303;0:33.019;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;7;1:33.493;0;;24.962;0;34.601;0;33.930;0;112.6;11:52.603;16:15;0:24.962;0:34.601;0:33.930;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;8;1:33.607;0;;25.142;0;34.469;0;33.996;0;112.5;13:26.210;16:16;0:25.142;0:34.469;0:33.996;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;9;1:31.658;0;;25.006;0;34.020;0;32.632;0;114.9;14:57.868;16:18;0:25.006;0:34.020;0:32.632;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;10;1:31.886;0;;24.847;0;34.277;0;32.762;0;114.6;16:29.754;16:19;0:24.847;0:34.277;0:32.762;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;11;1:34.419;0;;25.045;0;35.139;0;34.235;0;111.5;18:04.173;16:21;0:25.045;0:35.139;0:34.235;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;12;1:33.912;0;;25.298;0;35.381;0;33.233;0;112.1;19:38.085;16:23;0:25.298;0:35.381;0:33.233;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;13;1:30.717;0;;24.765;0;33.703;0;32.249;0;116.1;21:08.802;16:24;0:24.765;0:33.703;0:32.249;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;14;1:32.035;0;;24.762;0;33.855;0;33.418;0;114.4;22:40.837;16:26;0:24.762;0:33.855;0:33.418;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;15;2:45.214;0;B;25.856;0;35.604;0;1:43.754;0;63.7;25:26.051;16:28;0:25.856;0:35.604;1:43.754;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;16;1:45.445;0;;35.618;0;35.684;0;34.143;0;99.9;27:11.496;16:30;0:35.618;0:35.684;0:34.143;;Jarno Trulli;0:01:20.810;;3;Trulli Formula E Team;;
10;0;17;1:38.701;0;;25.736;0;36.946;0;36.019;0;106.7;28:50.197;16:32;0:25.736;0:36.946;0:36.019;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;18;1:37.358;0;;27.248;0;35.453;0;34.657;0;108.2;30:27.555;16:33;0:27.248;0:35.453;0:34.657;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;19;2:12.443;0;;25.529;0;52.637;0;54.277;0;79.5;32:39.998;16:36;0:25.529;0:52.637;0:54.277;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;20;2:04.956;0;;42.882;0;46.896;0;35.178;0;84.3;34:44.954;16:38;0:42.882;0:46.896;0:35.178;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;21;1:30.250;2;;24.682;0;33.512;2;32.056;2;116.7;36:15.204;16:39;0:24.682;0:33.512;0:32.056;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;22;1:30.592;0;;24.845;0;33.649;0;32.098;0;116.2;37:45.796;16:41;0:24.845;0:33.649;0:32.098;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;23;1:30.850;0;;24.659;0;33.733;0;32.458;0;115.9;39:16.646;16:42;0:24.659;0:33.733;0:32.458;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;24;1:31.917;0;;24.647;2;33.999;0;33.271;0;114.6;40:48.563;16:44;0:24.647;0:33.999;0:33.271;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;25;1:33.890;0;;24.810;0;34.524;0;34.556;0;112.2;42:22.453;16:45;0:24.810;0:34.524;0:34.556;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;26;1:35.164;0;;25.931;0;35.362;0;33.871;0;110.7;43:57.617;16:47;0:25.931;0:35.362;0:33.871;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;27;1:32.961;0;;25.190;0;34.556;0;33.215;0;113.3;45:30.578;16:49;0:25.190;0:34.556;0:33.215;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;28;1:32.628;0;;24.836;0;34.454;0;33.338;0;113.7;47:03.206;16:50;0:24.836;0:34.454;0:33.338;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;29;1:34.851;0;;24.862;0;34.973;0;35.016;0;111.0;48:38.057;16:52;0:24.862;0:34.973;0:35.016;;Jarno Trulli;;;3;Trulli Formula E Team;;
11;0;1;2:09.495;0;;17.557;0;1:07.753;0;44.185;0;81.3;2:09.495;16:05;0:17.557;1:07.753;0:44.185;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;2;1:31.772;0;;25.073;0;34.045;0;32.654;0;114.7;3:41.267;16:07;0:25.073;0:34.045;0:32.654;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;3;1:32.238;0;;24.716;0;34.199;0;33.323;0;114.2;5:13.505;16:08;0:24.716;0:34.199;0:33.323;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;4;1:30.951;0;;24.876;0;33.829;0;32.246;0;115.8;6:44.456;16:10;0:24.876;0:33.829;0:32.246;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;5;1:30.285;0;;24.438;0;33.643;0;32.204;0;116.6;8:14.741;16:11;0:24.438;0:33.643;0:32.204;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;6;1:29.981;0;;24.500;0;33.440;0;32.041;0;117.0;9:44.722;16:13;0:24.500;0:33.440;0:32.041;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;7;1:31.526;0;;24.378;0;33.670;0;33.478;0;115.0;11:16.248;16:14;0:24.378;0:33.670;0:33.478;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;8;1:30.198;0;;24.520;0;33.543;0;32.135;0;116.7;12:46.446;16:16;0:24.520;0:33.543;0:32.135;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;9;1:30.196;0;;24.382;0;33.498;0;32.316;0;116.7;14:16.642;16:17;0:24.382;0:33.498;0:32.316;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;10;1:29.504;0;;24.397;0;33.141;0;31.966;0;117.6;15:46.146;16:19;0:24.397;0:33.141;0:31.966;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;11;1:29.564;0;;24.192;0;33.533;0;31.839;0;117.6;17:15.710;16:20;0:24.192;0:33.533;0:31.839;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;12;1:29.638;0;;24.237;0;33.342;0;32.059;0;117.5;18:45.348;16:22;0:24.237;0:33.342;0:32.059;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;13;1:30.378;0;;24.499;0;33.797;0;32.082;0;116.5;20:15.726;16:23;0:24.499;0:33.797;0:32.082;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;14;2:38.951;0;B;24.432;0;33.452;0;1:41.067;0;66.2;22:54.677;16:26;0:24.432;0:33.452;1:41.067;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;15;1:39.496;0;;34.399;0;33.375;0;31.722;0;105.8;24:34.173;16:28;0:34.399;0:33.375;0:31.722;;Lucas di Grassi;0:01:19.524;;1;Audi Sport ABT Formula E Team;;
11;0;16;1:29.965;0;;24.459;0;33.178;0;32.328;0;117.0;26:04.138;16:29;0:24.459;0:33.178;0:32.328;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;17;1:30.665;0;;24.552;0;33.651;0;32.462;0;116.1;27:34.803;16:31;0:24.552;0:33.651;0:32.462;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;18;1:58.587;0;;24.934;0;48.487;0;45.166;0;88.8;29:33.390;16:33;0:24.934;0:48.487;0:45.166;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;19;2:51.037;0;;51.812;0;1:02.857;0;56.368;0;61.6;32:24.427;16:35;0:51.812;1:02.857;0:56.368;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;20;2:06.733;0;;39.562;0;50.626;0;36.545;0;83.1;34:31.160;16:38;0:39.562;0:50.626;0:36.545;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;21;1:29.951;0;;24.615;0;33.318;0;32.018;0;117.1;36:01.111;16:39;0:24.615;0:33.318;0:32.018;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;22;1:29.480;0;;24.259;0;33.308;0;31.913;0;117.7;37:30.591;16:41;0:24.259;0:33.308;0:31.913;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;23;1:29.473;0;;24.356;0;33.136;0;31.981;0;117.7;39:00.064;16:42;0:24.356;0:33.136;0:31.981;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;24;1:30.970;0;;24.435;0;33.336;0;33.199;0;115.8;40:31.034;16:44;0:24.435;0:33.336;0:33.199;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;25;1:28.229;3;;24.020;2;32.742;3;31.467;3;119.3;41:59.263;16:45;0:24.020;0:32.742;0:31.467;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
