NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:49.919;0;;1:33.260;0;39.380;0;37.279;0;62.0;2:49.919;08:17;1:33.260;0:39.380;0:37.279;;Jarno Trulli;0:00:58.897;;3;Trulli Formula E Team;;
10;0;2;1:33.283;0;;25.197;0;34.852;0;33.234;0;112.9;4:23.202;08:19;0:25.197;0:34.852;0:33.234;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;3;1:30.902;0;;24.157;0;34.089;0;32.656;0;115.8;5:54.104;08:20;0:24.157;0:34.089;0:32.656;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;4;1:29.850;0;;23.949;0;33.467;0;32.434;0;117.2;7:23.954;08:22;0:23.949;0:33.467;0:32.434;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;5;9:09.121;0;B;44.140;0;38.568;0;7:46.413;0;19.2;16:33.075;08:31;0:44.140;0:38.568;7:46.413;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;6;1:45.849;0;;34.712;0;36.964;0;34.173;0;99.5;18:18.924;08:33;0:34.712;0:36.964;0:34.173;;Jarno Trulli;0:07:21.185;;3;Trulli Formula E Team;;
10;0;7;1:29.282;0;;23.904;0;33.299;0;32.079;0;117.9;19:48.206;08:34;0:23.904;0:33.299;0:32.079;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;8;1:29.191;0;;23.591;2;33.336;0;32.264;0;118.1;21:17.397;08:36;0:23.591;0:33.336;0:32.264;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;9;10:37.047;0;B;23.689;0;35.675;0;9:37.683;0;16.5;31:54.444;08:46;0:23.689;0:35.675;9:37.683;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;10;1:45.577;0;;35.500;0;36.187;0;33.890;0;99.7;33:40.021;08:48;0:35.500;0:36.187;0:33.890;;Jarno Trulli;0:09:01.153;;3;Trulli Formula E Team;;
10;0;11;1:31.303;0;;24.271;0;34.132;0;32.900;0;115.3;35:11.324;08:50;0:24.271;0:34.132;0:32.900;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;12;1:29.774;0;;24.166;0;33.508;0;32.100;0;117.3;36:41.098;08:51;0:24.166;0:33.508;0:32.100;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;13;5:59.277;0;B;24.255;0;33.561;0;5:01.461;0;29.3;42:40.375;08:57;0:24.255;0:33.561;5:01.461;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;14;1:48.107;0;;36.515;0;37.426;0;34.166;0;97.4;44:28.482;08:59;0:36.515;0:37.426;0:34.166;;Jarno Trulli;0:04:36.088;;3;Trulli Formula E Team;;
10;0;15;1:29.095;2;;24.064;0;33.217;2;31.814;2;118.2;45:57.577;09:00;0:24.064;0:33.217;0:31.814;;Jarno Trulli;;;3;Trulli Formula E Team;;
11;0;1;6:24.267;0;;5:13.449;0;36.418;0;34.400;0;27.4;6:24.267;08:21;5:13.449;0:36.418;0:34.400;;Lucas di Grassi;0:04:44.016;;1;Audi Sport ABT Formula E Team;;
11;0;2;1:30.248;0;;24.162;0;33.292;0;32.794;0;116.7;7:54.515;08:22;0:24.162;0:33.292;0:32.794;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;3;9:48.623;0;B;25.036;0;35.864;0;8:47.723;0;17.9;17:43.138;08:32;0:25.036;0:35.864;8:47.723;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
