NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;17:17.293;0;;15:58.962;0;38.332;0;39.999;0;10.2;17:17.293;12:17;15:58.962;0:38.332;0:39.999;;Jarno Trulli;0:15:26.990;;2;Trulli Formula E Team;;
10;0;2;2:45.579;0;;23.558;0;1:43.817;0;38.204;0;63.6;20:02.872;12:20;0:23.558;1:43.817;0:38.204;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;3;1:38.525;0;;27.086;0;36.108;0;35.331;0;106.9;21:41.397;12:21;0:27.086;0:36.108;0:35.331;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;4;1:27.093;2;;23.032;2;32.228;2;31.833;2;120.9;23:08.490;12:23;0:23.032;0:32.228;0:31.833;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;5;1:53.979;0;;27.622;0;43.883;0;42.474;0;92.4;25:02.469;12:25;0:27.622;0:43.883;0:42.474;;Jarno Trulli;;;2;Trulli Formula E Team;;
11;0;1;53:07.217;0;;51:48.756;0;39.514;0;38.947;0;3.3;53:07.216;12:53;51:48.756;0:39.514;0:38.947;;Lucas di Grassi;0:51:17.840;;4;Audi Sport ABT Formula E Team;;
11;0;2;1:40.509;0;;26.243;0;37.317;0;36.949;0;104.8;54:47.725;12:54;0:26.243;0:37.317;0:36.949;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;3;1:41.265;0;;25.526;0;37.460;0;38.279;0;104.0;56:28.990;12:56;0:25.526;0:37.460;0:38.279;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;4;1:33.887;0;;24.303;2;34.348;0;35.236;0;112.2;58:02.877;12:58;0:24.303;0:34.348;0:35.236;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;5;1:52.733;0;;35.955;0;37.849;0;38.929;0;93.4;59:55.610;12:59;0:35.955;0:37.849;0:38.929;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;6;1:32.570;2;;24.546;0;33.838;2;34.186;2;113.8;1:01:28.180;13:01;0:24.546;0:33.838;0:34.186;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
18;0;1;2:12.443;0;;59.929;0;37.121;0;35.393;0;79.5;2:12.443;12:02;0:59.929;0:37.121;0:35.393;;Alex Fontana;0:00:28.293;;1;Trulli Formula E Team;;
18;0;2;1:32.607;0;;24.592;0;34.446;0;33.569;0;113.7;3:45.050;12:03;0:24.592;0:34.446;0:33.569;;Alex Fontana;;;1;Trulli Formula E Team;;
18;0;3;1:27.958;0;;23.821;0;32.697;0;31.440;0;119.7;5:13.008;12:05;0:23.821;0:32.697;0:31.440;;Alex Fontana;;;1;Trulli Formula E Team;;
18;0;4;1:56.841;0;;31.426;0;44.505;0;40.910;0;90.1;7:09.849;12:07;0:31.426;0:44.505;0:40.910;;Alex Fontana;;;1;Trulli Formula E Team;;
18;0;5;1:25.689;2;;22.794;2;32.043;2;30.852;2;122.9;8:35.538;12:08;0:22.794;0:32.043;0:30.852;;Alex Fontana;;;1;Trulli Formula E Team;;
2;0;1;17:11.287;0;;15:52.266;0;36.722;0;42.299;0;10.2;17:11.287;12:17;15:52.266;0:36.722;0:42.299;;Sam Bird;0:15:23.130;;2;Virgin Racing Formula E Team;;
2;0;2;1:48.153;0;;23.954;0;39.812;0;44.387;0;97.4;18:59.440;12:18;0:23.954;0:39.812;0:44.387;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;3;1:24.806;0;;22.509;0;31.597;0;30.700;0;124.2;20:24.246;12:20;0:22.509;0:31.597;0:30.700;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;4;2:12.861;0;;35.862;0;54.564;0;42.435;0;79.3;22:37.107;12:22;0:35.862;0:54.564;0:42.435;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;5;1:24.241;2;;22.186;2;31.540;2;30.515;2;125.0;24:01.348;12:24;0:22.186;0:31.540;0:30.515;;Sam Bird;;;2;Virgin Racing Formula E Team;;
21;0;1;2:04.869;0;;53.992;0;35.722;0;35.155;0;84.3;2:04.869;12:02;0:53.992;0:35.722;0:35.155;;Bruno Senna;0:00:25.437;;1;Mahindra Racing Formula E Team;;
21;0;2;1:38.117;0;;23.642;0;33.959;0;40.516;0;107.3;3:42.986;12:03;0:23.642;0:33.959;0:40.516;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
21;0;3;1:26.448;0;;22.924;0;32.375;0;31.149;0;121.8;5:09.434;12:05;0:22.924;0:32.375;0:31.149;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
21;0;4;1:57.317;0;;33.376;0;44.121;0;39.820;0;89.8;7:06.751;12:07;0:33.376;0:44.121;0:39.820;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
21;0;5;1:24.318;2;;22.458;2;31.567;2;30.293;2;124.9;8:31.069;12:08;0:22.458;0:31.567;0:30.293;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
23;0;1;2:51.227;0;;1:34.853;0;37.455;0;38.919;0;61.5;2:51.227;12:02;1:34.853;0:37.455;0:38.919;;Nick Heidfeld;0:01:05.905;;1;Venturi Formula E Team;;
23;0;2;1:26.818;0;;23.052;0;32.506;0;31.260;0;121.3;4:18.045;12:04;0:23.052;0:32.506;0:31.260;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;3;1:59.841;0;;29.250;0;40.827;0;49.764;0;87.9;6:17.886;12:06;0:29.250;0:40.827;0:49.764;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;4;1:25.494;2;;22.805;2;31.894;2;30.795;2;123.2;7:43.380;12:07;0:22.805;0:31.894;0:30.795;;Nick Heidfeld;;;1;Venturi Formula E Team;;
27;0;1;32:11.785;0;;30:52.777;0;39.107;0;39.901;0;5.5;32:11.785;12:32;30:52.777;0:39.107;0:39.901;;Jean-Eric Vergne;0:30:21.762;;3;Andretti Autosport Formula E Team;;
27;0;2;7:02.564;0;B;25.594;0;36.267;0;6:00.703;0;24.9;39:14.348;12:39;0:25.594;0:36.267;6:00.703;;Jean-Eric Vergne;;;3;Andretti Autosport Formula E Team;;
27;0;3;2:01.860;0;;38.348;0;39.809;0;43.703;0;86.4;41:16.208;12:41;0:38.348;0:39.809;0:43.703;;Jean-Eric Vergne;0:05:25.345;;3;Andretti Autosport Formula E Team;;
27;0;4;1:39.402;0;;25.038;0;36.491;0;37.873;0;105.9;42:55.610;12:42;0:25.038;0:36.491;0:37.873;;Jean-Eric Vergne;;;3;Andretti Autosport Formula E Team;;
27;0;5;1:45.805;0;;27.019;0;39.978;0;38.808;0;99.5;44:41.415;12:44;0:27.019;0:39.978;0:38.808;;Jean-Eric Vergne;;;3;Andretti Autosport Formula E Team;;
27;0;6;1:35.032;2;;24.367;2;35.316;2;35.349;2;110.8;46:16.447;12:46;0:24.367;0:35.316;0:35.349;;Jean-Eric Vergne;;;3;Andretti Autosport Formula E Team;;
28;0;1;53:19.461;0;;51:53.591;0;42.361;0;43.509;0;3.3;53:19.460;12:53;51:53.591;0:42.361;0:43.509;;Simona de Silvestro;0:51:22.462;;4;Andretti Autosport Formula E Team;;
28;0;2;1:40.081;0;;26.243;0;36.868;0;36.970;0;105.2;54:59.541;12:54;0:26.243;0:36.868;0:36.970;;Simona de Silvestro;;;4;Andretti Autosport Formula E Team;;
28;0;3;1:51.850;0;;31.233;0;37.587;0;43.030;0;94.1;56:51.391;12:56;0:31.233;0:37.587;0:43.030;;Simona de Silvestro;;;4;Andretti Autosport Formula E Team;;
28;0;4;1:37.011;0;;25.277;0;35.845;0;35.889;0;108.5;58:28.402;12:58;0:25.277;0:35.845;0:35.889;;Simona de Silvestro;;;4;Andretti Autosport Formula E Team;;
28;0;5;2:12.441;0;;29.319;0;1:03.181;0;39.941;0;79.5;1:00:40.843;13:00;0:29.319;1:03.181;0:39.941;;Simona de Silvestro;;;4;Andretti Autosport Formula E Team;;
28;0;6;1:34.167;2;;23.981;2;34.628;2;35.558;2;111.8;1:02:15.010;13:02;0:23.981;0:34.628;0:35.558;;Simona de Silvestro;;;4;Andretti Autosport Formula E Team;;
3;0;1;32:16.550;0;;30:55.618;0;39.949;0;40.983;0;5.4;32:16.550;12:32;30:55.618;0:39.949;0:40.983;;Fabio Leimer;0:30:24.305;;3;Virgin Racing Formula E Team;;
3;0;2;6:59.440;0;B;25.558;0;37.835;0;5:56.047;0;25.1;39:15.989;12:39;0:25.558;0:37.835;5:56.047;;Fabio Leimer;;;3;Virgin Racing Formula E Team;;
3;0;3;2:03.440;0;;39.820;0;40.746;0;42.874;0;85.3;41:19.429;12:41;0:39.820;0:40.746;0:42.874;;Fabio Leimer;0:05:16.315;;3;Virgin Racing Formula E Team;;
3;0;4;1:40.641;0;;24.859;0;37.909;0;37.873;0;104.6;43:00.070;12:43;0:24.859;0:37.909;0:37.873;;Fabio Leimer;;;3;Virgin Racing Formula E Team;;
3;0;5;1:45.876;0;;28.459;0;39.272;0;38.145;0;99.5;44:45.946;12:44;0:28.459;0:39.272;0:38.145;;Fabio Leimer;;;3;Virgin Racing Formula E Team;;
3;0;6;1:35.543;2;;24.261;2;35.878;2;35.404;2;110.2;46:21.489;12:46;0:24.261;0:35.878;0:35.404;;Fabio Leimer;;;3;Virgin Racing Formula E Team;;
30;0;1;2:25.282;0;;1:11.628;0;39.424;0;34.230;0;72.5;2:25.282;12:02;1:11.628;0:39.424;0:34.230;;Stéphane Sarrazin;0:00:42.676;;1;Venturi Formula E Team;;
30;0;2;1:30.158;0;;24.113;0;33.798;0;32.247;0;116.8;3:55.440;12:03;0:24.113;0:33.798;0:32.247;;Stéphane Sarrazin;;;1;Venturi Formula E Team;;
30;0;3;1:25.018;0;;22.682;0;31.775;0;30.561;0;123.9;5:20.458;12:05;0:22.682;0:31.775;0:30.561;;Stéphane Sarrazin;;;1;Venturi Formula E Team;;
30;0;4;1:59.427;0;;27.697;0;50.017;0;41.713;0;88.2;7:19.885;12:07;0:27.697;0:50.017;0:41.713;;Stéphane Sarrazin;;;1;Venturi Formula E Team;;
30;0;5;1:23.901;3;;22.426;2;31.348;2;30.127;2;125.5;8:43.786;12:08;0:22.426;0:31.348;0:30.127;;Stéphane Sarrazin;;;1;Venturi Formula E Team;;
5;0;1;53:25.862;0;;52:02.857;0;42.106;0;40.899;0;3.3;53:25.861;12:53;52:02.857;0:42.106;0:40.899;;Karun Chandhok;0:51:28.327;;4;Mahindra Racing Formula E Team;;
5;0;2;1:46.556;0;;28.116;0;39.050;0;39.390;0;98.8;55:12.417;12:55;0:28.116;0:39.050;0:39.390;;Karun Chandhok;;;4;Mahindra Racing Formula E Team;;
5;0;3;1:41.232;2;;27.690;0;36.992;2;36.550;2;104.0;56:53.649;12:56;0:27.690;0:36.992;0:36.550;;Karun Chandhok;;;4;Mahindra Racing Formula E Team;;
5;0;4;1:47.849;0;;29.318;0;38.791;0;39.740;0;97.6;58:41.498;12:58;0:29.318;0:38.791;0:39.740;;Karun Chandhok;;;4;Mahindra Racing Formula E Team;;
5;0;5;1:43.562;0;;27.311;0;38.384;0;37.867;0;101.7;1:00:25.060;13:00;0:27.311;0:38.384;0:37.867;;Karun Chandhok;;;4;Mahindra Racing Formula E Team;;
6;0;1;17:08.195;0;;15:48.544;0;38.093;0;41.558;0;10.2;17:08.195;12:17;15:48.544;0:38.093;0:41.558;;Loïc Duval;0:15:19.243;;2;Dragon Racing Formula E Team;;
6;0;2;1:45.360;0;;24.215;0;38.568;0;42.577;0;99.9;18:53.555;12:18;0:24.215;0:38.568;0:42.577;;Loïc Duval;;;2;Dragon Racing Formula E Team;;
6;0;3;1:46.626;0;;28.426;0;39.290;0;38.910;0;98.8;20:40.181;12:20;0:28.426;0:39.290;0:38.910;;Loïc Duval;;;2;Dragon Racing Formula E Team;;
6;0;4;1:25.029;0;;22.285;0;31.762;0;30.982;0;123.8;22:05.210;12:22;0:22.285;0:31.762;0:30.982;;Loïc Duval;;;2;Dragon Racing Formula E Team;;
