POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;2;Classified;29;45:48.792;-;-;24;1:26.790;121.3;Virgin Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
2;7;Classified;29;45:55.765;+6.973;+6.973;18;1:28.155;119.4;Dragon Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
3;6;Classified;29;45:58.222;+9.430;+2.457;11;1:28.052;119.6;Dragon Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
4;21;Classified;29;45:58.939;+10.147;+0.717;26;1:27.912;119.8;Mahindra Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
5;9;Classified;29;45:59.481;+10.689;+0.542;12;1:27.839;119.9;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
6;11;Classified;29;45:59.996;+11.204;+0.515;26;1:28.316;119.2;Audi Sport ABT Formula E Team;;4;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
7;99;Classified;29;46:00.353;+11.561;+0.357;27;1:26.847;121.2;NEXTEV TCR Formula E Team;;3;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
8;77;Classified;29;46:01.194;+12.402;+0.841;25;1:28.362;119.2;Amlin Aguri;;2;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
9;88;Classified;29;46:02.934;+14.142;+1.740;17;1:27.463;120.4;NEXTEV TCR Formula E Team;;4;;Spark - Renault SRT_01 E;;Oliver;Turvey;;GBR;GBR;;
10;8;Classified;29;46:03.327;+14.535;+0.393;22;1:28.287;119.3;Team e.dams Renault;;4;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
11;66;Classified;29;46:11.962;+23.170;+8.635;23;1:28.310;119.2;Audi Sport ABT Formula E Team;;3;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
12;28;Classified;29;46:13.402;+24.610;+1.440;27;1:28.520;119.0;Andretti Autosport Formula E Team;;4;;Spark - Renault SRT_01 E;;Simona;de Silvestro;;CHE;CHE;;
13;5;Classified;29;46:20.293;+31.501;+6.891;22;1:29.234;118.0;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
14;18;Classified;29;46:27.215;+38.423;+6.922;22;1:30.112;116.9;Trulli Formula E Team;;1;;Spark - Renault SRT_01 E;;Alex;Fontana;;CHE;CHE;;
15;30;Classified;29;46:37.472;+48.680;+10.257;27;1:27.752;120.0;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
16;27;Classified;28;44:45.507;1 Lap;1 Lap;28;1:27.139;120.8;Andretti Autosport Formula E Team;;3;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
;23;Not classified;23;40:28.478;;;23;1:27.609;120.2;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
;3;Not classified;17;27:17.360;;;17;1:29.862;117.2;Virgin Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Fabio;Leimer;;CHE;CHE;;
;10;Not classified;14;22:17.848;;;4;1:30.377;116.5;Trulli Formula E Team;;2;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
;55;Not classified;6;9:21.340;;;4;1:30.843;115.9;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Sakon;Yamamoto;;JPN;JPN;;
