NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;16:35.761;0;;15:48.204;0;22.252;0;25.305;0;7.7;16:35.761;12:16;15:48.204;0:22.252;0:25.305;;Jarno Trulli;0:15:38.309;;2;Trulli Formula E Team;;
10;0;2;1:07.397;0;;18.553;0;20.911;0;27.933;0;113.8;17:43.158;12:17;0:18.553;0:20.911;0:27.933;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;3;1:46.831;0;;17.168;0;1:04.834;0;24.829;0;71.8;19:29.989;12:19;0:17.168;1:04.834;0:24.829;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;4;1:02.625;0;;17.930;0;20.776;0;23.919;0;122.5;20:32.614;12:20;0:17.930;0:20.776;0:23.919;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;5;1:18.729;0;;21.025;0;22.057;0;35.647;0;97.4;21:51.343;12:21;0:21.025;0:22.057;0:35.647;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;6;57.417;2;;16.496;2;19.612;2;21.309;2;133.6;22:48.760;12:22;0:16.496;0:19.612;0:21.309;;Jarno Trulli;;;2;Trulli Formula E Team;;
11;0;1;31:18.647;0;;30:25.049;0;27.383;0;26.215;0;4.1;31:18.647;12:31;30:25.049;0:27.383;0:26.215;;Lucas di Grassi;0:30:15.071;;3;Audi Sport ABT Formula E Team;;
11;0;2;1:05.517;0;;19.037;0;22.367;0;24.113;0;117.1;32:24.164;12:32;0:19.037;0:22.367;0:24.113;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;3;57.546;0;;16.790;0;19.454;0;21.302;0;133.3;33:21.710;12:33;0:16.790;0:19.454;0:21.302;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;4;1:21.363;0;;21.684;0;31.770;0;27.909;0;94.3;34:43.073;12:34;0:21.684;0:31.770;0:27.909;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;5;57.083;2;;16.673;2;19.327;2;21.083;2;134.4;35:40.156;12:35;0:16.673;0:19.327;0:21.083;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
18;0;1;46:41.318;0;;45:49.075;0;25.612;0;26.631;0;2.7;46:41.318;12:46;45:49.075;0:25.612;0:26.631;;Vitantonio Liuzzi;0:45:37.696;;4;Trulli Formula E Team;;
18;0;2;1:12.813;2;;22.360;0;25.307;0;25.146;2;105.4;47:54.131;12:47;0:22.360;0:25.307;0:25.146;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
2;0;1;16:17.997;0;;15:26.649;0;23.921;0;27.427;0;7.8;16:17.997;12:16;15:26.649;0:23.921;0:27.427;;Sam Bird;0:15:15.980;;2;Virgin Racing Formula E Team;;
2;0;2;1:04.973;0;;17.905;0;20.853;0;26.215;0;118.1;17:22.970;12:17;0:17.905;0:20.853;0:26.215;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;3;57.413;0;;16.488;0;19.388;2;21.537;0;133.6;18:20.383;12:18;0:16.488;0:19.388;0:21.537;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;4;1:29.015;0;;22.447;0;35.315;0;31.253;0;86.2;19:49.398;12:19;0:22.447;0:35.315;0:31.253;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;5;1:27.764;0;;24.798;0;32.233;0;30.733;0;87.4;21:17.162;12:21;0:24.798;0:32.233;0:30.733;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;6;57.304;2;;16.477;2;19.582;0;21.245;2;133.9;22:14.466;12:22;0:16.477;0:19.582;0:21.245;;Sam Bird;;;2;Virgin Racing Formula E Team;;
21;0;1;16:31.937;0;;15:39.857;0;26.281;0;25.799;0;7.7;16:31.937;12:16;15:39.857;0:26.281;0:25.799;;Bruno Senna;0:15:28.354;;2;Mahindra Racing Formula E Team;;
21;0;2;1:14.645;0;;17.888;0;20.821;0;35.936;0;102.8;17:46.582;12:17;0:17.888;0:20.821;0:35.936;;Bruno Senna;;;2;Mahindra Racing Formula E Team;;
21;0;3;57.631;0;;16.939;0;19.472;0;21.220;2;133.1;18:44.213;12:18;0:16.939;0:19.472;0:21.220;;Bruno Senna;;;2;Mahindra Racing Formula E Team;;
21;0;4;1:27.689;0;;22.868;0;30.273;0;34.548;0;87.5;20:11.902;12:20;0:22.868;0:30.273;0:34.548;;Bruno Senna;;;2;Mahindra Racing Formula E Team;;
21;0;5;1:22.812;0;;25.880;0;30.439;0;26.493;0;92.6;21:34.714;12:21;0:25.880;0:30.439;0:26.493;;Bruno Senna;;;2;Mahindra Racing Formula E Team;;
21;0;6;57.347;2;;16.738;2;19.387;2;21.222;0;133.8;22:32.061;12:22;0:16.738;0:19.387;0:21.222;;Bruno Senna;;;2;Mahindra Racing Formula E Team;;
23;0;1;2:01.959;0;;1:12.695;0;24.037;0;25.227;0;62.9;2:01.959;12:02;1:12.695;0:24.037;0:25.227;;Nick Heidfeld;0:01:02.415;;1;Venturi Formula E Team;;
23;0;2;1:09.902;0;;20.644;0;22.225;0;27.033;0;109.7;3:11.861;12:03;0:20.644;0:22.225;0:27.033;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;3;57.729;0;;16.763;2;19.493;0;21.473;0;132.9;4:09.590;12:04;0:16.763;0:19.493;0:21.473;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;4;1:26.725;0;;23.353;0;30.822;0;32.550;0;88.5;5:36.315;12:05;0:23.353;0:30.822;0:32.550;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;5;1:23.153;0;;24.883;0;28.936;0;29.334;0;92.3;6:59.468;12:06;0:24.883;0:28.936;0:29.334;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;6;57.508;2;;16.767;0;19.398;2;21.343;2;133.4;7:56.976;12:07;0:16.767;0:19.398;0:21.343;;Nick Heidfeld;;;1;Venturi Formula E Team;;
27;0;1;1:15.437;0;;29.484;0;22.575;0;23.378;0;101.7;1:15.437;12:01;0:29.484;0:22.575;0:23.378;;Jean-Eric Vergne;0:00:19.335;;1;Andretti Autosport Formula E Team;;
27;0;2;1:00.375;0;;18.041;0;20.496;0;21.838;0;127.1;2:15.812;12:02;0:18.041;0:20.496;0:21.838;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;3;1:27.888;0;;20.215;0;35.261;0;32.412;0;87.3;3:43.700;12:03;0:20.215;0:35.261;0:32.412;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;4;57.221;0;;16.643;2;19.370;0;21.208;0;134.1;4:40.921;12:04;0:16.643;0:19.370;0:21.208;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;5;1:34.746;0;;22.970;0;35.710;0;36.066;0;81.0;6:15.667;12:06;0:22.970;0:35.710;0:36.066;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;6;1:19.359;0;;23.516;0;28.846;0;26.997;0;96.7;7:35.026;12:07;0:23.516;0:28.846;0:26.997;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;7;57.106;2;;16.645;0;19.317;2;21.144;2;134.3;8:32.132;12:08;0:16.645;0:19.317;0:21.144;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
28;0;1;1:19.604;0;;33.982;0;21.566;0;24.056;0;96.4;1:19.604;12:01;0:33.982;0:21.566;0:24.056;;Scott Speed;0:00:24.487;;1;Andretti Autosport Formula E Team;;
28;0;2;1:00.299;0;;17.875;0;20.488;0;21.936;0;127.2;2:19.903;12:02;0:17.875;0:20.488;0:21.936;;Scott Speed;;;1;Andretti Autosport Formula E Team;;
28;0;3;1:28.670;0;;23.182;0;33.159;0;32.329;0;86.5;3:48.573;12:03;0:23.182;0:33.159;0:32.329;;Scott Speed;;;1;Andretti Autosport Formula E Team;;
28;0;4;1:20.175;0;;23.862;0;26.645;0;29.668;0;95.7;5:08.748;12:05;0:23.862;0:26.645;0:29.668;;Scott Speed;;;1;Andretti Autosport Formula E Team;;
28;0;5;57.400;0;;16.897;0;19.417;0;21.086;2;133.7;6:06.148;12:06;0:16.897;0:19.417;0:21.086;;Scott Speed;;;1;Andretti Autosport Formula E Team;;
28;0;6;1:37.481;0;;22.162;0;35.416;0;39.903;0;78.7;7:43.629;12:07;0:22.162;0:35.416;0:39.903;;Scott Speed;;;1;Andretti Autosport Formula E Team;;
28;0;7;57.156;2;;16.751;2;19.209;2;21.196;0;134.2;8:40.785;12:08;0:16.751;0:19.209;0:21.196;;Scott Speed;;;1;Andretti Autosport Formula E Team;;
3;0;1;1:27.394;0;;38.857;0;23.231;0;25.306;0;87.8;1:27.394;12:01;0:38.857;0:23.231;0:25.306;;Jaime Alguersuari;0:00:28.119;;1;Virgin Racing Formula E Team;;
