NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:10.992;0;;23.068;0;23.034;0;24.890;0;108.1;1:10.992;17:04;0:23.068;0:23.034;0:24.890;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;2;1:02.853;0;;19.204;0;20.948;0;22.701;0;122.1;2:13.845;17:05;0:19.204;0:20.948;0:22.701;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;3;1:01.409;2;;18.316;0;20.576;2;22.517;2;124.9;3:15.254;17:06;0:18.316;0:20.576;0:22.517;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;4;1:11.324;0;;18.463;0;20.647;0;32.214;0;107.6;4:26.578;17:08;0:18.463;0:20.647;0:32.214;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;5;1:57.130;0;;32.914;0;40.713;0;43.503;0;65.5;6:23.708;17:10;0:32.914;0:40.713;0:43.503;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;6;2:16.562;0;;47.698;0;47.768;0;41.096;0;56.2;8:40.270;17:12;0:47.698;0:47.768;0:41.096;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;7;1:51.847;0;;42.433;0;41.824;0;27.590;0;68.6;10:32.117;17:14;0:42.433;0:41.824;0:27.590;;Jarno Trulli;;;2;Trulli Formula E Team;;
11;0;1;1:06.544;0;;20.776;0;22.110;0;23.658;0;115.3;1:06.544;17:04;0:20.776;0:22.110;0:23.658;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;2;1:01.059;0;;18.311;0;20.521;0;22.227;0;125.6;2:07.603;17:05;0:18.311;0:20.521;0:22.227;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;3;1:00.569;0;;18.105;0;20.345;0;22.119;0;126.7;3:08.172;17:06;0:18.105;0:20.345;0:22.119;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;4;1:05.436;0;;17.935;0;20.484;0;27.017;0;117.2;4:13.608;17:07;0:17.935;0:20.484;0:27.017;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;5;1:58.522;0;;33.020;0;42.146;0;43.356;0;64.7;6:12.130;17:09;0:33.020;0:42.146;0:43.356;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;6;2:14.713;0;;48.520;0;46.299;0;39.894;0;56.9;8:26.843;17:12;0:48.520;0:46.299;0:39.894;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;7;2:00.242;0;;44.051;0;46.358;0;29.833;0;63.8;10:27.085;17:14;0:44.051;0:46.358;0:29.833;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;8;1:01.265;0;;18.484;0;20.862;0;21.919;0;125.2;11:28.350;17:15;0:18.484;0:20.862;0:21.919;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;9;1:19.939;0;;17.770;0;21.487;0;40.682;0;96.0;12:48.289;17:16;0:17.770;0:21.487;0:40.682;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;10;2:04.403;0;;30.812;0;38.323;0;55.268;0;61.7;14:52.692;17:18;0:30.812;0:38.323;0:55.268;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;11;1:53.959;0;;41.132;0;41.782;0;31.045;0;67.3;16:46.651;17:20;0:41.132;0:41.782;0:31.045;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;12;1:00.890;0;;18.283;0;20.576;0;22.031;0;126.0;17:47.541;17:21;0:18.283;0:20.576;0:22.031;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;13;1:00.291;0;;17.970;0;20.329;0;21.992;0;127.2;18:47.832;17:22;0:17.970;0:20.329;0:21.992;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;14;1:00.156;0;;17.981;0;20.269;0;21.906;0;127.5;19:47.988;17:23;0:17.981;0:20.269;0:21.906;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;15;59.979;0;;17.902;0;20.196;0;21.881;0;127.9;20:47.967;17:24;0:17.902;0:20.196;0:21.881;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;16;59.834;0;;17.777;0;20.217;0;21.840;0;128.2;21:47.801;17:25;0:17.777;0:20.217;0:21.840;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;17;59.873;0;;17.783;0;20.251;0;21.839;0;128.1;22:47.674;17:26;0:17.783;0:20.251;0:21.839;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;18;1:00.005;0;;17.718;0;20.406;0;21.881;0;127.8;23:47.679;17:27;0:17.718;0:20.406;0:21.881;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;19;1:00.105;0;;17.939;0;20.258;0;21.908;0;127.6;24:47.784;17:28;0:17.939;0:20.258;0:21.908;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;20;1:00.156;0;;17.881;0;20.279;0;21.996;0;127.5;25:47.940;17:29;0:17.881;0:20.279;0:21.996;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;21;1:01.570;0;;17.971;0;20.686;0;22.913;0;124.6;26:49.510;17:30;0:17.971;0:20.686;0:22.913;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;22;1:06.610;0;B;18.071;0;20.425;0;28.114;0;115.2;27:56.120;17:31;0:18.071;0:20.425;0:28.114;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;23;2:08.952;0;;1:26.151;0;20.715;0;22.086;0;59.5;30:05.072;17:33;1:26.151;0:20.715;0:22.086;;Lucas di Grassi;0:01:23.002;;3;Audi Sport ABT Formula E Team;;
11;0;24;59.731;2;;17.776;0;20.124;0;21.831;0;128.4;31:04.803;17:34;0:17.776;0:20.124;0:21.831;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;25;59.961;0;;17.787;0;20.298;0;21.876;0;127.9;32:04.764;17:35;0:17.787;0:20.298;0:21.876;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;26;1:00.140;0;;17.950;0;20.317;0;21.873;0;127.6;33:04.904;17:36;0:17.950;0:20.317;0:21.873;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;27;59.830;0;;17.778;0;20.269;0;21.783;2;128.2;34:04.734;17:37;0:17.778;0:20.269;0:21.783;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;28;1:00.104;0;;17.829;0;20.322;0;21.953;0;127.6;35:04.838;17:38;0:17.829;0:20.322;0:21.953;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;29;1:00.103;0;;17.886;0;20.296;0;21.921;0;127.6;36:04.941;17:39;0:17.886;0:20.296;0:21.921;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;30;1:00.023;0;;17.703;0;20.376;0;21.944;0;127.8;37:04.964;17:40;0:17.703;0:20.376;0:21.944;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;31;59.897;0;;17.707;0;20.277;0;21.913;0;128.1;38:04.861;17:41;0:17.707;0:20.277;0:21.913;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;32;1:00.471;0;;17.682;0;20.420;0;22.369;0;126.9;39:05.332;17:42;0:17.682;0:20.420;0:22.369;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;33;1:00.278;0;;17.727;0;20.366;0;22.185;0;127.3;40:05.610;17:43;0:17.727;0:20.366;0:22.185;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;34;59.856;0;;17.697;0;20.239;0;21.920;0;128.2;41:05.466;17:44;0:17.697;0:20.239;0:21.920;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;35;59.739;0;;17.647;0;20.135;0;21.957;0;128.4;42:05.205;17:45;0:17.647;0:20.135;0:21.957;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;36;59.740;0;;17.747;0;20.067;2;21.926;0;128.4;43:04.945;17:46;0:17.747;0:20.067;0:21.926;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;37;59.814;0;;17.754;0;20.205;0;21.855;0;128.3;44:04.759;17:47;0:17.754;0:20.205;0:21.855;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;38;59.817;0;;17.640;2;20.195;0;21.982;0;128.3;45:04.576;17:48;0:17.640;0:20.195;0:21.982;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;39;1:00.389;0;;17.794;0;20.373;0;22.222;0;127.0;46:04.965;17:49;0:17.794;0:20.373;0:22.222;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
18;0;1;1:12.932;0;;24.783;0;23.439;0;24.710;0;105.2;1:12.932;17:04;0:24.783;0:23.439;0:24.710;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;2;1:04.338;0;;19.461;0;21.870;0;23.007;0;119.2;2:17.270;17:06;0:19.461;0:21.870;0:23.007;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;3;1:02.106;0;;18.671;0;20.923;0;22.512;0;123.5;3:19.376;17:07;0:18.671;0:20.923;0:22.512;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;4;1:12.396;0;;18.899;0;20.849;0;32.648;0;106.0;4:31.772;17:08;0:18.899;0:20.849;0:32.648;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;5;1:56.404;0;;36.006;0;37.848;0;42.550;0;65.9;6:28.176;17:10;0:36.006;0:37.848;0:42.550;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;6;2:17.879;0;;48.449;0;47.684;0;41.746;0;55.6;8:46.055;17:12;0:48.449;0:47.684;0:41.746;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;7;1:48.264;0;;41.785;0;40.475;0;26.004;0;70.9;10:34.319;17:14;0:41.785;0:40.475;0:26.004;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;8;1:02.947;0;;18.535;0;20.648;0;23.764;0;121.9;11:37.266;17:15;0:18.535;0:20.648;0:23.764;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;9;1:30.100;0;;18.413;0;29.794;0;41.893;0;85.1;13:07.366;17:16;0:18.413;0:29.794;0:41.893;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;10;2:04.665;0;;29.422;0;31.258;0;1:03.985;0;61.5;15:12.031;17:18;0:29.422;0:31.258;1:03.985;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
