NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:22.622;0;;1:16.047;0;30.895;0;35.680;0;54.7;2:22.622;12:12;1:16.047;0:30.895;0:35.680;;Jarno Trulli;0:00:53.701;;1;Trulli Formula E Team;;
10;0;2;1:07.958;0;;18.285;2;22.513;0;27.160;0;114.9;3:30.580;12:13;0:18.285;0:22.513;0:27.160;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;3;1:35.796;0;;29.949;0;30.855;0;34.992;0;81.5;5:06.376;12:15;0:29.949;0:30.855;0:34.992;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;4;1:07.163;2;;18.319;0;22.099;2;26.745;2;116.3;6:13.539;12:16;0:18.319;0:22.099;0:26.745;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;5;1:44.315;0;B;27.561;0;31.187;0;45.567;0;74.9;7:57.854;12:17;0:27.561;0:31.187;0:45.567;;Jarno Trulli;;;1;Trulli Formula E Team;;
11;0;1;14:29.029;0;;13:31.981;0;26.047;0;31.001;0;9.0;14:29.029;12:24;13:31.981;0:26.047;0:31.001;;Lucas di Grassi;0:13:14.722;;2;Audi Sport ABT Formula E Team;;
11;0;2;1:19.787;0;;19.017;0;24.738;0;36.032;0;97.9;15:48.816;12:25;0:19.017;0:24.738;0:36.032;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
11;0;3;1:07.151;0;;18.175;0;22.445;0;26.531;0;116.3;16:55.967;12:26;0:18.175;0:22.445;0:26.531;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
11;0;4;1:34.291;0;;23.866;0;35.850;0;34.575;0;82.8;18:30.258;12:28;0:23.866;0:35.850;0:34.575;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
11;0;5;1:06.424;2;;17.971;2;22.019;2;26.434;2;117.6;19:36.682;12:29;0:17.971;0:22.019;0:26.434;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
11;0;6;1:36.370;0;B;24.134;0;31.053;0;41.183;0;81.0;21:13.052;12:31;0:24.134;0:31.053;0:41.183;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
18;0;1;28:05.051;0;;27:01.453;0;30.521;0;33.077;0;4.6;28:05.051;12:38;27:01.453;0:30.521;0:33.077;;Vitantonio Liuzzi;0:26:38.744;;3;Trulli Formula E Team;;
18;0;2;1:13.680;0;;18.373;0;25.182;0;30.125;0;106.0;29:18.731;12:39;0:18.373;0:25.182;0:30.125;;Vitantonio Liuzzi;;;3;Trulli Formula E Team;;
18;0;3;1:26.532;0;;25.139;0;29.411;0;31.982;0;90.2;30:45.263;12:40;0:25.139;0:29.411;0:31.982;;Vitantonio Liuzzi;;;3;Trulli Formula E Team;;
18;0;4;1:06.836;2;;18.026;2;22.503;2;26.307;2;116.8;31:52.099;12:41;0:18.026;0:22.503;0:26.307;;Vitantonio Liuzzi;;;3;Trulli Formula E Team;;
18;0;5;1:41.449;0;B;26.251;0;31.240;0;43.958;0;77.0;33:33.548;12:43;0:26.251;0:31.240;0:43.958;;Vitantonio Liuzzi;;;3;Trulli Formula E Team;;
2;0;1;14:27.768;0;;13:30.866;0;25.708;0;31.194;0;9.0;14:27.768;12:24;13:30.866;0:25.708;0:31.194;;Sam Bird;0:13:12.658;;2;Virgin Racing Formula E Team;;
2;0;2;1:16.412;0;;18.978;0;23.995;0;33.439;0;102.2;15:44.180;12:25;0:18.978;0:23.995;0:33.439;;Sam Bird;;;2;Virgin Racing Formula E Team;;
2;0;3;1:06.835;0;;18.057;0;22.181;0;26.597;0;116.8;16:51.015;12:26;0:18.057;0:22.181;0:26.597;;Sam Bird;;;2;Virgin Racing Formula E Team;;
