POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;8;Classified;39;46:12.349;-;-;26;1:08.916;113.3;Team e.dams Renault;;1;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
2;28;Classified;39;46:12.782;+0.433;+0.433;25;1:08.786;113.5;Andretti Autosport Formula E Team;;2;;Spark - Renault SRT_01 E;;Scott;Speed;;USA;USA;;
3;66;Classified;39;46:17.867;+5.518;+5.085;24;1:08.918;113.3;Audi Sport ABT Formula E Team;;2;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
4;7;Classified;39;46:18.290;+5.941;+0.423;26;1:08.739;113.6;Dragon Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
5;99;Classified;39;46:18.775;+6.426;+0.485;29;1:07.969;114.9;China Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
6;55;Classified;39;46:21.103;+8.754;+2.328;31;1:08.481;114.0;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
7;6;Classified;39;46:21.847;+9.498;+0.744;36;1:08.391;114.2;Dragon Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
8;2;Classified;39;46:32.166;+19.817;+10.319;28;1:08.718;113.6;Virgin Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
9;11;Classified;39;46:32.980;+20.631;+0.814;25;1:09.021;113.1;Audi Sport ABT Formula E Team;;2;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
10;77;Classified;39;46:36.936;+24.587;+3.956;22;1:08.710;113.6;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
11;3;Classified;39;46:56.232;+43.883;+19.296;27;1:08.854;113.4;Virgin Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
12;23;Classified;39;47:00.227;+47.878;+3.995;32;1:08.863;113.4;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
13;9;Classified;39;47:16.936;+1:04.587;+16.709;24;1:08.390;114.2;Team e.dams Renault;;1;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
14;5;Classified;39;47:35.888;+1:23.539;+18.952;32;1:08.765;113.6;Mahindra Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
15;10;Classified;38;46:34.907;1 Lap;1 Lap;20;1:09.511;112.3;Trulli Formula E Team;;1;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
16;18;Classified;38;46:43.800;1 Lap;+8.893;8;1:09.777;111.9;Trulli Formula E Team;;3;;Spark - Renault SRT_01 E;;Vitantonio;Liuzzi;;ITA;ITA;;
17;88;Classified;38;46:59.851;1 Lap;+16.051;33;1:09.264;112.7;China Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Charles;Pic;;FRA;FRA;;
18;27;Classified;37;43:59.249;2 Laps;1 Lap;26;1:08.857;113.4;Andretti Autosport Formula E Team;;3;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
;30;Not classified;31;38:19.360;;;25;1:08.824;113.5;Venturi Formula E Team;;3;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
;21;Not classified;25;30:16.047;;;23;1:08.947;113.3;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
