NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:03.686;0;;;0;;0;30.552;0;122.6;1:03.686;16:06;;;0:30.552;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;2;1:12.443;0;;19.698;0;24.152;0;28.593;0;107.8;2:16.129;16:07;0:19.698;0:24.152;0:28.593;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;3;1:11.553;0;;19.276;0;23.968;0;28.309;0;109.1;3:27.682;16:08;0:19.276;0:23.968;0:28.309;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;4;1:10.978;0;;19.063;0;23.298;0;28.617;0;110.0;4:38.660;16:10;0:19.063;0:23.298;0:28.617;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;5;1:11.660;0;;18.924;0;24.540;0;28.196;0;109.0;5:50.320;16:11;0:18.924;0:24.540;0:28.196;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;6;1:11.304;0;;19.049;0;23.228;0;29.027;0;109.5;7:01.624;16:12;0:19.049;0:23.228;0:29.027;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;7;1:10.102;0;;18.917;0;23.273;0;27.912;0;111.4;8:11.726;16:13;0:18.917;0:23.273;0:27.912;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;8;1:09.686;0;;18.901;0;23.062;2;27.723;0;112.1;9:21.412;16:14;0:18.901;0:23.062;0:27.723;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;9;1:09.783;0;;18.889;0;23.072;0;27.822;0;111.9;10:31.195;16:16;0:18.889;0:23.072;0:27.822;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;10;1:10.123;0;;19.030;0;23.230;0;27.863;0;111.4;11:41.318;16:17;0:19.030;0:23.230;0:27.863;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;11;1:10.386;0;;19.010;0;23.474;0;27.902;0;110.9;12:51.704;16:18;0:19.010;0:23.474;0:27.902;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;12;1:10.517;0;;19.070;0;23.328;0;28.119;0;110.7;14:02.221;16:19;0:19.070;0:23.328;0:28.119;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;13;1:10.345;0;;19.055;0;23.289;0;28.001;0;111.0;15:12.566;16:20;0:19.055;0:23.289;0:28.001;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;14;1:10.703;0;;19.120;0;23.392;0;28.191;0;110.4;16:23.269;16:21;0:19.120;0:23.392;0:28.191;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;15;1:10.305;0;;19.039;0;23.346;0;27.920;0;111.1;17:33.574;16:23;0:19.039;0:23.346;0:27.920;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;16;1:10.310;0;;19.057;0;23.235;0;28.018;0;111.1;18:43.884;16:24;0:19.057;0:23.235;0:28.018;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;17;1:11.056;0;;19.305;0;23.513;0;28.238;0;109.9;19:54.940;16:25;0:19.305;0:23.513;0:28.238;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;18;1:16.548;0;B;19.165;0;23.761;0;33.622;0;102.0;21:11.488;16:26;0:19.165;0:23.761;0:33.622;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;19;2:10.129;0;;1:18.779;0;23.475;0;27.875;0;60.0;23:21.617;16:28;1:18.779;0:23.475;0:27.875;;Jarno Trulli;0:01:05.689;;1;Trulli Formula E Team;;
10;0;20;1:09.511;2;;18.793;2;23.097;0;27.621;2;112.3;24:31.128;16:30;0:18.793;0:23.097;0:27.621;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;21;1:10.575;0;;18.869;0;23.309;0;28.397;0;110.6;25:41.703;16:31;0:18.869;0:23.309;0:28.397;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;22;1:10.364;0;;19.140;0;23.327;0;27.897;0;111.0;26:52.067;16:32;0:19.140;0:23.327;0:27.897;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;23;1:10.635;0;;19.094;0;23.387;0;28.154;0;110.5;28:02.702;16:33;0:19.094;0:23.387;0:28.154;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;24;1:10.293;0;;19.066;0;23.168;0;28.059;0;111.1;29:12.995;16:34;0:19.066;0:23.168;0:28.059;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;25;1:10.166;0;;18.984;0;23.236;0;27.946;0;111.3;30:23.161;16:35;0:18.984;0:23.236;0:27.946;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;26;1:09.989;0;;18.943;0;23.139;0;27.907;0;111.6;31:33.150;16:37;0:18.943;0:23.139;0:27.907;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;27;1:10.114;0;;18.990;0;23.166;0;27.958;0;111.4;32:43.264;16:38;0:18.990;0:23.166;0:27.958;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;28;1:10.227;0;;18.945;0;23.197;0;28.085;0;111.2;33:53.491;16:39;0:18.945;0:23.197;0:28.085;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;29;1:10.069;0;;18.937;0;23.174;0;27.958;0;111.4;35:03.560;16:40;0:18.937;0:23.174;0:27.958;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;30;1:10.027;0;;18.841;0;23.235;0;27.951;0;111.5;36:13.587;16:41;0:18.841;0:23.235;0:27.951;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;31;1:11.275;0;;19.014;0;23.094;0;29.167;0;109.6;37:24.862;16:42;0:19.014;0:23.094;0:29.167;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;32;1:12.619;0;;19.499;0;23.776;0;29.344;0;107.5;38:37.481;16:44;0:19.499;0:23.776;0:29.344;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;33;1:12.389;0;;19.453;0;24.116;0;28.820;0;107.9;39:49.870;16:45;0:19.453;0:24.116;0:28.820;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;34;1:12.628;0;;19.406;0;23.935;0;29.287;0;107.5;41:02.498;16:46;0:19.406;0:23.935;0:29.287;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;35;1:12.798;0;;19.578;0;24.199;0;29.021;0;107.3;42:15.296;16:47;0:19.578;0:24.199;0:29.021;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;36;1:19.343;0;;19.977;0;26.665;0;32.701;0;98.4;43:34.639;16:49;0:19.977;0:26.665;0:32.701;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;37;1:32.259;0;;22.072;0;31.043;0;39.144;0;84.6;45:06.898;16:50;0:22.072;0:31.043;0:39.144;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;38;1:28.009;0;;23.922;0;28.219;0;35.868;0;88.7;46:34.907;16:52;0:23.922;0:28.219;0:35.868;;Jarno Trulli;;;1;Trulli Formula E Team;;
11;0;1;59.044;0;;;0;;0;29.139;0;132.2;59.044;16:06;;;0:29.139;;Lucas di Grassi;;;2;Audi Sport ABT Formula E Team;;
