NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:20.538;0;;1:32.261;0;24.141;0;24.136;0;45.2;2:20.538;08:17;1:32.261;0:24.141;0:24.136;;Jarno Trulli;0:01:00.815;;2;Trulli Formula E Team;;
10;0;2;1:02.542;0;;23.554;0;19.614;0;19.374;0;101.6;3:23.080;08:18;0:23.554;0:19.614;0:19.374;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;3;1:00.021;0;;22.462;0;18.964;0;18.595;0;105.9;4:23.101;08:19;0:22.462;0:18.964;0:18.595;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;4;1:00.214;0;;22.426;0;19.152;0;18.636;0;105.5;5:23.315;08:20;0:22.426;0:19.152;0:18.636;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;5;59.784;0;;22.138;0;19.064;0;18.582;0;106.3;6:23.099;08:21;0:22.138;0:19.064;0:18.582;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;6;1:00.059;0;;22.236;0;18.834;0;18.989;0;105.8;7:23.158;08:22;0:22.236;0:18.834;0:18.989;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;7;59.122;0;;22.083;0;18.630;0;18.409;0;107.5;8:22.280;08:23;0:22.083;0:18.630;0:18.409;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;8;58.798;0;;21.862;0;18.445;0;18.491;0;108.1;9:21.078;08:24;0:21.862;0:18.445;0:18.491;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;9;58.954;0;;22.164;0;18.443;0;18.347;0;107.8;10:20.032;08:25;0:22.164;0:18.443;0:18.347;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;10;58.626;0;;21.920;0;18.375;0;18.331;0;108.4;11:18.658;08:26;0:21.920;0:18.375;0:18.331;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;11;58.306;0;;21.840;0;18.145;0;18.321;0;109.0;12:16.964;08:27;0:21.840;0:18.145;0:18.321;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;12;58.076;0;;21.648;0;18.147;0;18.281;0;109.4;13:15.040;08:28;0:21.648;0:18.147;0:18.281;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;13;1:00.676;0;;22.572;0;19.326;0;18.778;0;104.7;14:15.716;08:29;0:22.572;0:19.326;0:18.778;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;14;58.594;0;;21.808;0;18.429;0;18.357;0;108.4;15:14.310;08:30;0:21.808;0:18.429;0:18.357;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;15;58.458;0;;21.604;0;18.407;0;18.447;0;108.7;16:12.768;08:31;0:21.604;0:18.407;0:18.447;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;16;58.270;0;;21.625;0;18.379;0;18.266;0;109.0;17:11.038;08:32;0:21.625;0:18.379;0:18.266;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;17;6:17.872;0;B;21.864;0;18.342;0;5:37.666;0;16.8;23:28.910;08:38;0:21.864;0:18.342;5:37.666;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;18;1:07.243;0;;27.135;0;20.973;0;19.135;0;94.5;24:36.153;08:39;0:27.135;0:20.973;0:19.135;;Jarno Trulli;0:05:27.987;;2;Trulli Formula E Team;;
10;0;19;1:01.237;0;;22.363;0;20.297;0;18.577;0;103.8;25:37.390;08:40;0:22.363;0:20.297;0:18.577;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;20;57.981;0;;21.570;0;18.138;0;18.273;0;109.6;26:35.371;08:41;0:21.570;0:18.138;0:18.273;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;21;58.090;0;;21.566;0;18.245;0;18.279;0;109.4;27:33.461;08:42;0:21.566;0:18.245;0:18.279;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;22;58.250;0;;21.680;0;18.201;0;18.369;0;109.1;28:31.711;08:43;0:21.680;0:18.201;0:18.369;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;23;58.570;0;;21.763;0;18.322;0;18.485;0;108.5;29:30.281;08:44;0:21.763;0:18.322;0:18.485;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;24;58.662;0;;21.773;0;18.506;0;18.383;0;108.3;30:28.943;08:45;0:21.773;0:18.506;0:18.383;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;25;58.402;0;;21.401;0;17.779;0;19.222;0;108.8;31:27.345;08:46;0:21.401;0:17.779;0:19.222;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;26;57.254;0;;21.250;0;17.774;0;18.230;0;111.0;32:24.599;08:47;0:21.250;0:17.774;0:18.230;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;27;57.100;2;;21.191;2;17.773;2;18.136;2;111.3;33:21.699;08:48;0:21.191;0:17.773;0:18.136;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;28;57.330;0;;21.279;0;17.781;0;18.270;0;110.8;34:19.029;08:49;0:21.279;0:17.781;0:18.270;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;29;6:40.797;0;B;21.388;0;17.922;0;6:01.487;0;15.9;40:59.826;08:55;0:21.388;0:17.922;6:01.487;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;30;1:06.857;0;;26.069;0;20.357;0;20.431;0;95.0;42:06.683;08:57;0:26.069;0:20.357;0:20.431;;Jarno Trulli;0:05:53.241;;2;Trulli Formula E Team;;
10;0;31;58.397;0;;21.804;0;18.257;0;18.336;0;108.8;43:05.080;08:58;0:21.804;0:18.257;0:18.336;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;32;57.832;0;;21.584;0;17.993;0;18.255;0;109.9;44:02.912;08:59;0:21.584;0:17.993;0:18.255;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;33;57.991;0;;21.681;0;18.026;0;18.284;0;109.6;45:00.903;09:00;0:21.681;0:18.026;0:18.284;;Jarno Trulli;;;2;Trulli Formula E Team;;
11;0;1;2:36.884;0;;1:55.583;0;21.612;0;19.689;0;40.5;2:36.884;08:17;1:55.583;0:21.612;0:19.689;;Lucas di Grassi;0:01:25.964;;3;Audi Sport ABT Formula E Team;;
11;0;2;1:06.456;0;;26.014;0;19.571;0;20.871;0;95.6;3:43.340;08:18;0:26.014;0:19.571;0:20.871;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;3;58.931;0;;21.813;0;18.576;0;18.542;0;107.8;4:42.271;08:19;0:21.813;0:18.576;0:18.542;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;4;1:00.537;0;;21.902;0;19.059;0;19.576;0;105.0;5:42.808;08:20;0:21.902;0:19.059;0:19.576;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
