NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;46:28.766;0;;45:47.319;0;20.912;0;20.535;0;2.3;46:28.766;12:46;45:47.319;0:20.912;0:20.535;;Jarno Trulli;0:45:19.280;;4;Trulli Formula E Team;;
10;0;2;1:03.510;0;;23.454;0;19.773;0;20.283;0;100.0;47:32.276;12:47;0:23.454;0:19.773;0:20.283;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;3;1:01.355;0;;21.616;0;18.826;0;20.913;0;103.6;48:33.631;12:48;0:21.616;0:18.826;0:20.913;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;4;3:58.654;0;B;20.266;0;40.903;0;2:57.485;0;26.6;52:32.284;12:52;0:20.266;0:40.903;2:57.485;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;5;1:07.695;0;;27.535;0;20.693;0;19.467;0;93.9;53:39.979;12:53;0:27.535;0:20.693;0:19.467;;Jarno Trulli;0:02:40.413;;4;Trulli Formula E Team;;
10;0;6;1:01.061;0;;21.503;0;19.084;0;20.474;0;104.1;54:41.040;12:54;0:21.503;0:19.084;0:20.474;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;7;54.339;2;;20.289;0;16.725;2;17.325;0;116.9;55:35.379;12:55;0:20.289;0:16.725;0:17.325;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;8;1:12.118;0;;25.922;0;26.449;0;19.747;0;88.1;56:47.497;12:56;0:25.922;0:26.449;0:19.747;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;9;54.406;0;;20.257;2;16.837;0;17.312;2;116.8;57:41.903;12:57;0:20.257;0:16.837;0:17.312;;Jarno Trulli;;;4;Trulli Formula E Team;;
11;0;1;1:19.495;0;;41.015;0;19.295;0;19.185;0;79.9;1:19.495;12:01;0:41.015;0:19.295;0:19.185;;Lucas di Grassi;0:00:15.181;;1;Audi Sport ABT Formula E Team;;
11;0;2;59.075;0;;21.895;0;18.623;0;18.557;0;107.6;2:18.570;12:02;0:21.895;0:18.623;0:18.557;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;3;1:09.050;0;;22.360;0;23.318;0;23.372;0;92.0;3:27.620;12:03;0:22.360;0:23.318;0:23.372;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;4;54.435;0;;20.365;0;16.920;0;17.150;0;116.7;4:22.055;12:04;0:20.365;0:16.920;0:17.150;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;5;1:10.712;0;;25.278;0;23.978;0;21.456;0;89.9;5:32.767;12:05;0:25.278;0:23.978;0:21.456;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;6;1:05.980;0;;23.907;0;24.375;0;17.698;0;96.3;6:38.747;12:06;0:23.907;0:24.375;0:17.698;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
11;0;7;53.669;2;;20.074;2;16.577;2;17.018;2;118.4;7:32.416;12:07;0:20.074;0:16.577;0:17.018;;Lucas di Grassi;;;1;Audi Sport ABT Formula E Team;;
