POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;9;Classified;47;48:05.225;-;-;41;56.100;113.3;Team e.dams Renault;;3;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
2;11;Classified;47;48:07.379;+2.154;+2.154;44;56.056;113.4;Audi Sport ABT Formula E Team;;1;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
3;99;Classified;47;48:09.859;+4.634;+2.480;38;55.657;114.2;NEXTEV TCR Formula E Team;;1;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
4;2;Classified;47;48:10.026;+4.801;+0.167;36;56.286;112.9;Virgin Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
5;7;Classified;47;48:11.106;+5.881;+1.080;42;56.067;113.3;Dragon Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
6;8;Classified;47;48:16.257;+11.032;+5.151;36;56.389;112.7;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
7;30;Classified;47;48:31.697;+26.472;+15.440;31;56.586;112.3;Venturi Formula E Team;;2;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
8;88;Classified;47;48:54.763;+49.538;+23.066;29;56.761;111.9;NEXTEV TCR Formula E Team;;3;;Spark - Renault SRT_01 E;;Charles;Pic;;FRA;FRA;;
9;55;Classified;47;48:57.883;+52.658;+3.120;9;56.972;111.5;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
10;23;Classified;47;48:58.161;+52.936;+0.278;31;56.528;112.4;Venturi Formula E Team;;4;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
11;10;Classified;47;49:04.209;+58.984;+6.048;28;57.214;111.1;Trulli Formula E Team;;4;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
12;28;Classified;47;49:19.363;+1:14.138;+15.154;47;56.091;113.3;Andretti Autosport Formula E Team;;3;;Spark - Renault SRT_01 E;;Scott;Speed;;USA;USA;;
13;5;Classified;46;48:06.168;1 Lap;1 Lap;41;56.531;112.4;Mahindra Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
;18;Not classified;36;48:32.716;;;32;57.218;111.0;Trulli Formula E Team;;4;;Spark - Renault SRT_01 E;;Vitantonio;Liuzzi;;ITA;ITA;;
;27;Not classified;33;39:00.515;;;32;55.157;115.2;Andretti Autosport Formula E Team;;1;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
;77;Not classified;28;32:56.706;;;23;56.426;112.6;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
;6;Not classified;24;29:59.236;;;19;55.891;113.7;Dragon Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
;66;Not classified;14;18:25.493;;;14;56.956;111.6;Audi Sport ABT Formula E Team;;2;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
;3;Not classified;0;;;;0;;;Virgin Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
;21;Not classified;0;;;;0;;;Mahindra Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
