NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:46.297;0;;31.171;0;34.408;0;40.718;0;59.8;1:46.297;16:05;0:31.171;0:34.408;0:40.718;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;2;1:52.920;0;;45.805;0;38.757;0;28.358;0;56.3;3:39.217;16:07;0:45.805;0:38.757;0:28.358;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;3;1:29.010;0;;37.135;0;32.592;0;19.283;0;71.4;5:08.227;16:08;0:37.135;0:32.592;0:19.283;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;4;59.308;0;;22.138;0;18.737;0;18.433;0;107.1;6:07.535;16:09;0:22.138;0:18.737;0:18.433;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;5;59.074;0;;21.768;0;18.721;0;18.585;0;107.6;7:06.609;16:10;0:21.768;0:18.721;0:18.585;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;6;58.544;0;;21.798;0;18.437;0;18.309;0;108.5;8:05.153;16:11;0:21.798;0:18.437;0:18.309;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;7;58.481;0;;21.771;0;18.443;0;18.267;0;108.7;9:03.634;16:12;0:21.771;0:18.443;0:18.267;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;8;58.382;0;;21.664;0;18.455;0;18.263;0;108.8;10:02.016;16:13;0:21.664;0:18.455;0:18.263;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;9;58.790;0;;21.823;0;18.528;0;18.439;0;108.1;11:00.806;16:14;0:21.823;0:18.528;0:18.439;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;10;58.528;0;;21.706;0;18.375;0;18.447;0;108.6;11:59.334;16:15;0:21.706;0:18.375;0:18.447;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;11;59.527;0;;22.752;0;18.484;0;18.291;0;106.7;12:58.861;16:16;0:22.752;0:18.484;0:18.291;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;12;58.158;0;;21.550;0;18.303;0;18.305;0;109.3;13:57.019;16:17;0:21.550;0:18.303;0:18.305;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;13;58.019;0;;21.510;0;18.298;0;18.211;0;109.5;14:55.038;16:18;0:21.510;0:18.298;0:18.211;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;14;58.486;0;;21.675;0;18.253;0;18.558;0;108.6;15:53.524;16:19;0:21.675;0:18.253;0:18.558;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;15;57.857;0;;21.525;0;18.124;0;18.208;0;109.8;16:51.381;16:20;0:21.525;0:18.124;0:18.208;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;16;58.515;0;;21.988;0;18.243;0;18.284;0;108.6;17:49.896;16:21;0:21.988;0:18.243;0:18.284;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;17;57.488;0;;21.303;0;18.078;0;18.107;0;110.5;18:47.384;16:22;0:21.303;0:18.078;0:18.107;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;18;58.465;0;;22.021;0;18.274;0;18.170;0;108.7;19:45.849;16:23;0:22.021;0:18.274;0:18.170;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;19;57.800;0;;21.385;0;18.200;0;18.215;0;109.9;20:43.649;16:24;0:21.385;0:18.200;0:18.215;;Jarno Trulli;;;4;Trulli Formula E Team;;
10;0;20;57.798;0;;21.399;0;18.235;0;18.164;0;109.9;21:41.447;16:25;0:21.399;0:18.235;0:18.164;;Jarno Trulli;;;4;Trulli Formula E Team;;
