NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:12.226;0;;1:17.261;0;27.521;0;27.444;0;62.3;2:12.226;10:32;1:17.261;0:27.521;0:27.444;;Jarno Trulli;0:00:56.550;;;Trulli Formula E Team;;
10;0;2;1:15.008;0;;24.096;0;25.291;0;25.621;0;109.9;3:27.234;10:33;0:24.096;0:25.291;0:25.621;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;3;1:14.439;0;;24.015;0;25.151;0;25.273;0;110.7;4:41.673;10:34;0:24.015;0:25.151;0:25.273;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;4;6:44.226;0;B;27.405;0;32.858;0;5:43.963;0;20.4;11:25.899;10:41;0:27.405;0:32.858;5:43.963;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;5;1:33.036;0;;31.347;0;30.138;0;31.551;0;88.6;12:58.935;10:42;0:31.347;0:30.138;0:31.551;;Jarno Trulli;0:05:20.617;;;Trulli Formula E Team;;
10;0;6;1:11.892;0;;22.808;0;24.250;0;24.834;0;114.7;14:10.827;10:44;0:22.808;0:24.250;0:24.834;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;7;4:59.315;0;B;28.616;0;32.484;0;3:58.215;0;27.5;19:10.142;10:49;0:28.616;0:32.484;3:58.215;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;8;1:26.026;0;;30.955;0;26.569;0;28.502;0;95.8;20:36.168;10:50;0:30.955;0:26.569;0:28.502;;Jarno Trulli;0:03:41.086;;;Trulli Formula E Team;;
10;0;9;1:13.457;0;;23.781;0;24.764;0;24.912;0;112.2;21:49.625;10:51;0:23.781;0:24.764;0:24.912;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;10;1:27.541;0;;23.453;0;31.782;0;32.306;0;94.2;23:17.166;10:53;0:23.453;0:31.782;0:32.306;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;11;1:27.900;0;;27.533;0;29.375;0;30.992;0;93.8;24:45.066;10:54;0:27.533;0:29.375;0:30.992;;Jarno Trulli;;;;Trulli Formula E Team;;
10;0;12;1:10.896;2;;22.472;2;23.899;2;24.525;2;116.3;25:55.962;10:55;0:22.472;0:23.899;0:24.525;;Jarno Trulli;;;;Trulli Formula E Team;;
11;0;1;1:38.298;0;;40.396;0;27.756;0;30.146;0;83.9;1:38.298;10:31;0:40.396;0:27.756;0:30.146;;Lucas di Grassi;0:00:19.673;;;Audi Sport ABT Formula E Team;;
11;0;2;1:19.501;0;;23.694;0;24.645;0;31.162;0;103.7;2:57.799;10:32;0:23.694;0:24.645;0:31.162;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;3;1:13.097;0;;23.371;0;24.591;0;25.135;0;112.8;4:10.896;10:34;0:23.371;0:24.591;0:25.135;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;4;1:12.706;0;;23.414;0;24.463;0;24.829;0;113.4;5:23.602;10:35;0:23.414;0:24.463;0:24.829;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;5;1:42.355;0;B;25.773;0;32.815;0;43.767;0;80.5;7:05.957;10:37;0:25.773;0:32.815;0:43.767;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;6;7:06.546;0;;6:13.065;0;25.822;0;27.659;0;19.3;14:12.503;10:44;6:13.065;0:25.822;0:27.659;;Lucas di Grassi;0:06:01.622;;;Audi Sport ABT Formula E Team;;
11;0;7;1:18.389;0;;24.060;0;25.244;0;29.085;0;105.2;15:30.892;10:45;0:24.060;0:25.244;0:29.085;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;8;1:10.390;2;;22.430;0;23.711;0;24.249;4;117.1;16:41.282;10:46;0:22.430;0:23.711;0:24.249;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;9;1:34.763;0;;32.526;0;29.923;0;32.314;0;87.0;18:16.045;10:48;0:32.526;0:29.923;0:32.314;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
11;0;10;1:25.164;0;B;22.393;2;23.510;2;39.261;0;96.8;19:41.209;10:49;0:22.393;0:23.510;0:39.261;;Lucas di Grassi;;;;Audi Sport ABT Formula E Team;;
