NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;31:55.880;0;;30:52.733;0;31.044;0;32.103;0;4.3;31:55.880;12:31;30:52.733;0:31.044;0:32.103;;Jarno Trulli;0:30:25.087;;3;Trulli Formula E Team;;
10;0;2;1:23.286;0;;26.884;0;25.803;0;30.599;0;99.0;33:19.166;12:33;0:26.884;0:25.803;0:30.599;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;3;1:10.145;2;;22.185;2;23.687;2;24.273;2;117.5;34:29.311;12:34;0:22.185;0:23.687;0:24.273;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;4;1:49.457;0;;32.741;0;39.253;0;37.463;0;75.3;36:18.768;12:36;0:32.741;0:39.253;0:37.463;;Jarno Trulli;;;3;Trulli Formula E Team;;
11;0;1;31:25.266;0;;30:32.104;0;26.616;0;26.546;0;4.4;31:25.266;12:31;30:32.104;0:26.616;0:26.546;;Lucas di Grassi;0:30:10.864;;3;Audi Sport ABT Formula E Team;;
11;0;2;1:19.120;0;;24.286;0;25.453;0;29.381;0;104.2;32:44.386;12:32;0:24.286;0:25.453;0:29.381;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;3;1:09.685;2;;22.312;0;23.360;0;24.013;3;118.3;33:54.071;12:33;0:22.312;0:23.360;0:24.013;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;4;1:41.752;0;;34.969;0;35.368;0;31.415;0;81.0;35:35.823;12:35;0:34.969;0:35.368;0:31.415;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;5;1:09.783;0;;22.297;2;23.357;2;24.129;0;118.1;36:45.606;12:36;0:22.297;0:23.357;0:24.129;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
11;0;6;4:27.993;0;B;34.341;0;30.589;0;3:23.063;0;30.8;41:13.599;12:41;0:34.341;0:30.589;3:23.063;;Lucas di Grassi;;;3;Audi Sport ABT Formula E Team;;
18;0;1;46:50.018;0;;45:52.214;0;29.108;0;28.696;0;2.9;46:50.018;12:46;45:52.214;0:29.108;0:28.696;;Vitantonio Liuzzi;0:45:28.974;;4;Trulli Formula E Team;;
18;0;2;1:22.988;0;;25.529;0;26.843;0;30.616;0;99.3;48:13.006;12:48;0:25.529;0:26.843;0:30.616;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;3;1:11.967;2;;23.428;0;24.071;2;24.468;2;114.6;49:24.973;12:49;0:23.428;0:24.071;0:24.468;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
18;0;4;1:39.517;0;;33.970;0;34.551;0;30.996;0;82.8;51:04.490;12:51;0:33.970;0:34.551;0:30.996;;Vitantonio Liuzzi;;;4;Trulli Formula E Team;;
