POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;99;Classified;35;43:18.867;-;-;6;1:11.942;114.6;NEXTEV TCR Formula E Team;;1;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
2;11;Classified;35;43:20.879;+2.012;+2.012;27;1:11.957;114.6;Audi Sport ABT Formula E Team;;3;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
3;23;Classified;35;43:30.415;+11.548;+9.536;25;1:11.924;114.6;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
4;27;Classified;35;43:31.283;+12.416;+0.868;32;1:12.427;113.8;Andretti Autosport Formula E Team;;3;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
5;66;Classified;35;43:44.493;+25.626;+13.210;22;1:12.895;113.1;Audi Sport ABT Formula E Team;;2;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
6;77;Classified;35;43:47.827;+28.960;+3.334;23;1:12.863;113.1;Amlin Aguri;;4;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
7;55;Classified;35;43:49.396;+30.529;+1.569;31;1:12.327;114.0;Amlin Aguri;;2;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
8;8;Classified;35;43:50.423;+31.556;+1.027;23;1:12.751;113.3;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
9;9;Classified;35;43:58.917;+40.050;+8.494;32;1:11.679;115.0;Team e.dams Renault;;1;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
10;28;Classified;35;44:05.187;+46.320;+6.270;21;1:13.039;112.9;Andretti Autosport Formula E Team;;1;;Spark - Renault SRT_01 E;;Justin;Wilson;;;GBR;;
11;7;Classified;35;44:10.341;+51.474;+5.154;20;1:12.296;114.0;Dragon Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
12;5;Classified;35;44:11.360;+52.493;+1.019;23;1:12.870;113.1;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
13;3;Classified;35;44:14.677;+55.810;+3.317;34;1:12.707;113.4;Virgin Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
14;30;Classified;35;44:15.582;+56.715;+0.905;31;1:11.829;114.8;Venturi Formula E Team;;4;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
15;6;Classified;35;44:37.630;+1:18.763;+22.048;25;1:12.280;114.1;Dragon Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Loïc;Duval;;FRA;FRA;;
16;21;Classified;34;43:38.559;1 Lap;1 Lap;30;1:12.741;113.3;Mahindra Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
17;18;Classified;34;43:39.264;1 Lap;+0.705;22;1:12.871;113.1;Trulli Formula E Team;;4;;Spark - Renault SRT_01 E;;Vitantonio;Liuzzi;;ITA;ITA;;
18;10;Classified;32;40:22.293;3 Laps;2 Laps;20;1:13.204;112.6;Trulli Formula E Team;;3;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
19;88;Classified;32;44:03.985;3 Laps;+3:41.692;20;1:12.419;113.8;NEXTEV TCR Formula E Team;;3;;Spark - Renault SRT_01 E;;Antonio;Garcia;;ESP;ESP;;
;2;Not classified;24;30:41.516;;;21;1:12.342;114.0;Virgin Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
