NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:14.067;0;;18.379;0;28.646;0;27.042;0;111.3;1:14.067;16:04;0:18.379;0:28.646;0:27.042;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;2;1:15.661;0;;23.803;0;26.451;0;25.407;0;109.0;2:29.728;16:06;0:23.803;0:26.451;0:25.407;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;3;1:14.299;0;;23.804;0;25.098;0;25.397;0;111.0;3:44.027;16:07;0:23.804;0:25.098;0:25.397;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;4;1:13.985;0;;23.662;0;24.916;0;25.407;0;111.4;4:58.012;16:08;0:23.662;0:24.916;0:25.407;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;5;1:13.796;0;;23.639;0;24.694;0;25.463;0;111.7;6:11.808;16:09;0:23.639;0:24.694;0:25.463;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;6;1:13.992;0;;23.767;0;24.835;0;25.390;0;111.4;7:25.800;16:11;0:23.767;0:24.835;0:25.390;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;7;1:15.723;0;;23.477;0;25.057;0;27.189;0;108.9;8:41.523;16:12;0:23.477;0:25.057;0:27.189;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;8;1:13.627;0;;23.453;0;24.805;0;25.369;0;112.0;9:55.150;16:13;0:23.453;0:24.805;0:25.369;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;9;1:13.935;0;;23.339;0;24.955;0;25.641;0;111.5;11:09.085;16:14;0:23.339;0:24.955;0:25.641;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;10;1:13.791;0;;23.486;0;24.895;0;25.410;0;111.7;12:22.876;16:16;0:23.486;0:24.895;0:25.410;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;11;1:14.487;0;;23.475;0;24.773;0;26.239;0;110.7;13:37.363;16:17;0:23.475;0:24.773;0:26.239;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;12;1:13.730;0;;23.370;0;24.838;0;25.522;0;111.8;14:51.093;16:18;0:23.370;0:24.838;0:25.522;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;13;1:13.625;0;;23.400;0;24.771;0;25.454;0;112.0;16:04.718;16:19;0:23.400;0:24.771;0:25.454;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;14;1:13.629;0;;23.251;2;24.713;0;25.665;0;112.0;17:18.347;16:20;0:23.251;0:24.713;0:25.665;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;15;1:13.927;0;;23.333;0;24.778;0;25.816;0;111.5;18:32.274;16:22;0:23.333;0:24.778;0:25.816;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;16;1:13.250;0;;23.411;0;24.578;0;25.261;0;112.5;19:45.524;16:23;0:23.411;0:24.578;0:25.261;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;17;2:03.272;0;B;23.327;0;24.574;0;1:15.371;0;66.9;21:48.796;16:25;0:23.327;0:24.574;1:15.371;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;18;1:21.713;0;;30.452;0;25.967;0;25.294;0;100.9;23:10.509;16:26;0:30.452;0:25.967;0:25.294;;Jarno Trulli;0:01:02.979;;3;Trulli Formula E Team;;
10;0;19;1:13.400;0;;23.588;0;24.757;0;25.055;2;112.3;24:23.909;16:28;0:23.588;0:24.757;0:25.055;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;20;1:13.204;2;;23.306;0;24.698;0;25.200;0;112.6;25:37.113;16:29;0:23.306;0:24.698;0:25.200;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;21;1:13.305;0;;23.425;0;24.628;0;25.252;0;112.5;26:50.418;16:30;0:23.425;0:24.628;0:25.252;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;22;1:15.240;0;;23.343;0;26.394;0;25.503;0;109.6;28:05.658;16:31;0:23.343;0:26.394;0:25.503;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;23;1:13.566;0;;23.427;0;24.701;0;25.438;0;112.1;29:19.224;16:33;0:23.427;0:24.701;0:25.438;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;24;1:13.577;0;;23.450;0;24.728;0;25.399;0;112.0;30:32.801;16:34;0:23.450;0:24.728;0:25.399;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;25;1:13.480;0;;23.421;0;24.725;0;25.334;0;112.2;31:46.281;16:35;0:23.421;0:24.725;0:25.334;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;26;1:13.874;0;;23.480;0;24.818;0;25.576;0;111.6;33:00.155;16:36;0:23.480;0:24.818;0:25.576;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;27;1:13.531;0;;23.380;0;24.741;0;25.410;0;112.1;34:13.686;16:37;0:23.380;0:24.741;0:25.410;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;28;1:13.472;0;;23.377;0;24.693;0;25.402;0;112.2;35:27.158;16:39;0:23.377;0:24.693;0:25.402;;Jarno Trulli;;;3;Trulli Formula E Team;;
10;0;29;1:13.686;0;;23.436;0;24.715;0;25.535;0;111.9;36:40.844;16:40;0:23.436;0:24.715;0:25.535;;Jarno Trulli;;;3;Trulli Formula E Team;;
