NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:51.310;0;;1:43.831;0;31.187;0;36.292;0;59.0;2:51.310;10:32;1:43.831;0:31.187;0:36.292;;Jarno Trulli;0:01:25.156;;1;Trulli Formula E Team;;
10;0;2;1:41.431;0;B;22.261;0;26.020;2;53.150;0;99.7;4:32.741;10:34;0:22.261;0:26.020;0:53.150;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;3;7:53.351;0;;6:36.141;0;33.106;0;44.104;0;21.4;12:26.092;10:42;6:36.141;0:33.106;0:44.104;;Jarno Trulli;0:06:12.232;;1;Trulli Formula E Team;;
10;0;4;1:34.242;0;;28.491;0;33.311;0;32.440;0;107.3;14:00.334;10:44;0:28.491;0:33.311;0:32.440;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;5;1:35.823;0;;24.850;0;35.421;0;35.552;0;105.5;15:36.157;10:45;0:24.850;0:35.421;0:35.552;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;6;1:36.669;0;B;22.193;2;27.520;0;46.956;0;104.6;17:12.826;10:47;0:22.193;0:27.520;0:46.956;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;7;10:13.492;0;;9:07.850;0;30.519;0;35.123;0;16.5;27:26.318;10:57;9:07.850;0:30.519;0:35.123;;Jarno Trulli;0:08:50.620;;1;Trulli Formula E Team;;
10;0;8;1:47.256;0;;26.231;0;43.287;0;37.738;0;94.2;29:13.574;10:59;0:26.231;0:43.287;0:37.738;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;9;1:17.660;2;;22.626;0;26.163;0;28.871;2;130.2;30:31.234;11:00;0:22.626;0:26.163;0:28.871;;Jarno Trulli;;;1;Trulli Formula E Team;;
11;0;1;1:43.663;0;;31.062;0;31.707;0;40.894;0;97.5;1:43.663;10:31;0:31.062;0:31.707;0:40.894;;Lucas di Grassi;0:00:10.630;;4;Audi Sport ABT Formula E Team;;
11;0;2;2:46.815;0;B;36.158;0;1:02.443;0;1:08.214;0;60.6;4:30.478;10:34;0:36.158;1:02.443;1:08.214;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;3;6:13.414;0;;5:01.805;0;34.715;0;36.894;0;27.1;10:43.892;10:40;5:01.805;0:34.715;0:36.894;;Lucas di Grassi;0:04:42.906;;4;Audi Sport ABT Formula E Team;;
11;0;4;1:17.405;0;;22.415;0;26.423;0;28.567;0;130.6;12:01.297;10:42;0:22.415;0:26.423;0:28.567;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;5;1:51.184;0;;31.465;0;44.743;0;34.976;0;90.9;13:52.481;10:43;0:31.465;0:44.743;0:34.976;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;6;1:16.075;2;;21.839;2;26.027;2;28.209;3;132.9;15:08.556;10:45;0:21.839;0:26.027;0:28.209;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;7;1:37.508;0;B;27.190;0;30.632;0;39.686;0;103.7;16:46.064;10:46;0:27.190;0:30.632;0:39.686;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;8;5:15.428;0;;4:08.648;0;30.870;0;35.910;0;32.0;22:01.492;10:52;4:08.648;0:30.870;0:35.910;;Lucas di Grassi;0:03:48.797;;4;Audi Sport ABT Formula E Team;;
11;0;9;1:21.562;0;;23.602;0;27.865;0;30.095;0;123.9;23:23.054;10:53;0:23.602;0:27.865;0:30.095;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;10;1:21.905;0;;23.801;0;27.889;0;30.215;0;123.4;24:44.959;10:54;0:23.801;0:27.889;0:30.215;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;11;1:20.962;0;;23.300;0;27.500;0;30.162;0;124.9;26:05.921;10:56;0:23.300;0:27.500;0:30.162;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;12;1:32.287;0;B;25.371;0;30.799;0;36.117;0;109.5;27:38.208;10:57;0:25.371;0:30.799;0:36.117;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
18;0;1;2:32.475;0;;1:18.929;0;35.632;0;37.914;0;66.3;2:32.475;10:32;1:18.929;0:35.632;0:37.914;;Michela Cerruti;0:00:54.685;;4;Trulli Formula E Team;;
18;0;2;1:24.814;0;;23.907;0;28.332;0;32.575;0;119.2;3:57.289;10:33;0:23.907;0:28.332;0:32.575;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;3;2:06.478;0;B;28.609;0;41.221;0;56.648;0;79.9;6:03.767;10:36;0:28.609;0:41.221;0:56.648;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;4;7:09.532;0;;5:54.032;0;35.171;0;40.329;0;23.5;13:13.299;10:43;5:54.032;0:35.171;0:40.329;;Michela Cerruti;0:05:33.901;;4;Trulli Formula E Team;;
18;0;5;1:21.533;0;;23.769;0;27.531;0;30.233;0;124.0;14:34.832;10:44;0:23.769;0:27.531;0:30.233;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;6;2:09.696;0;B;29.965;0;45.516;0;54.215;0;77.9;16:44.528;10:46;0:29.965;0:45.516;0:54.215;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;7;5:32.899;0;;4:22.933;0;33.182;0;36.784;0;30.4;22:17.427;10:52;4:22.933;0:33.182;0:36.784;;Michela Cerruti;0:04:04.183;;4;Trulli Formula E Team;;
18;0;8;1:20.615;2;;23.318;0;27.155;2;30.142;2;125.4;23:38.042;10:53;0:23.318;0:27.155;0:30.142;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;9;1:46.799;0;;28.826;0;35.931;0;42.042;0;94.7;25:24.841;10:55;0:28.826;0:35.931;0:42.042;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;10;1:55.294;0;B;22.971;2;27.647;0;1:04.676;0;87.7;27:20.135;10:57;0:22.971;0:27.647;1:04.676;;Michela Cerruti;;;4;Trulli Formula E Team;;
2;0;1;1:46.169;0;;32.536;0;34.061;0;39.572;0;95.2;1:46.169;10:31;0:32.536;0:34.061;0:39.572;;Sam Bird;0:00:11.531;;3;Virgin Racing Formula E Team;;
2;0;2;1:17.233;2;;22.226;2;26.222;2;28.785;2;130.9;3:03.402;10:33;0:22.226;0:26.222;0:28.785;;Sam Bird;;;3;Virgin Racing Formula E Team;;
2;0;3;2:11.109;0;;29.720;0;46.738;0;54.651;0;77.1;5:14.511;10:35;0:29.720;0:46.738;0:54.651;;Sam Bird;;;3;Virgin Racing Formula E Team;;
2;0;4;1:59.852;0;B;39.563;0;32.355;0;47.934;0;84.3;7:14.363;10:37;0:39.563;0:32.355;0:47.934;;Sam Bird;;;3;Virgin Racing Formula E Team;;
2;0;5;6:07.043;0;;4:51.538;0;35.280;0;40.225;0;27.5;13:21.406;10:43;4:51.538;0:35.280;0:40.225;;Sam Bird;0:04:32.331;;3;Virgin Racing Formula E Team;;
2;0;6;1:19.971;0;;22.852;0;27.203;0;29.916;0;126.4;14:41.377;10:44;0:22.852;0:27.203;0:29.916;;Sam Bird;;;3;Virgin Racing Formula E Team;;
2;0;7;1:58.358;0;B;26.911;0;40.648;0;50.799;0;85.4;16:39.735;10:46;0:26.911;0:40.648;0:50.799;;Sam Bird;;;3;Virgin Racing Formula E Team;;
2;0;8;7:55.667;0;B;6:39.154;0;35.384;0;41.129;0;21.3;24:35.402;10:54;6:39.154;0:35.384;0:41.129;;Sam Bird;0:06:02.483;;3;Virgin Racing Formula E Team;;
2;0;9;1:59.025;0;B;51.968;0;27.875;0;39.182;0;84.9;26:34.427;10:56;0:51.968;0:27.875;0:39.182;;Sam Bird;0:00:20.621;;3;Virgin Racing Formula E Team;;
2;0;10;1:50.187;0;B;48.070;0;27.602;0;34.515;0;91.7;28:24.614;10:58;0:48.070;0:27.602;0:34.515;;Sam Bird;0:00:20.352;;3;Virgin Racing Formula E Team;;
21;0;1;2:13.688;0;;41.153;0;42.143;0;50.392;0;75.6;2:13.688;10:32;0:41.153;0:42.143;0:50.392;;Bruno Senna;0:00:16.146;;3;Mahindra Racing Formula E Team;;
21;0;2;1:18.355;2;;22.610;2;26.511;2;29.234;2;129.0;3:32.043;10:33;0:22.610;0:26.511;0:29.234;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;3;2:10.979;0;B;32.345;0;41.705;0;56.929;0;77.2;5:43.022;10:35;0:32.345;0:41.705;0:56.929;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;4;4:56.584;0;;3:55.619;0;29.409;0;31.556;0;34.1;10:39.606;10:40;3:55.619;0:29.409;0:31.556;;Bruno Senna;0:03:37.781;;3;Mahindra Racing Formula E Team;;
21;0;5;1:20.949;0;;23.618;0;27.412;0;29.919;0;124.9;12:00.555;10:42;0:23.618;0:27.412;0:29.919;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;6;1:26.085;0;B;23.722;0;28.618;0;33.745;0;117.4;13:26.640;10:43;0:23.722;0:28.618;0:33.745;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;7;8:04.666;0;;7:04.846;0;28.785;0;31.035;0;20.9;21:31.306;10:51;7:04.846;0:28.785;0:31.035;;Bruno Senna;0:06:46.698;;3;Mahindra Racing Formula E Team;;
21;0;8;1:20.790;0;;23.528;0;27.343;0;29.919;0;125.1;22:52.096;10:52;0:23.528;0:27.343;0:29.919;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;9;1:19.776;0;;23.170;0;27.125;0;29.481;0;126.7;24:11.872;10:54;0:23.170;0:27.125;0:29.481;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;10;1:24.102;0;;22.814;0;27.301;0;33.987;0;120.2;25:35.974;10:55;0:22.814;0:27.301;0:33.987;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
