NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;2:27.573;0;;1:15.806;0;34.754;0;37.013;0;68.5;2:27.573;12:02;1:15.806;0:34.754;0:37.013;;Jarno Trulli;0:00:51.558;;1;Trulli Formula E Team;;
10;0;2;1:16.803;0;;22.078;0;25.975;0;28.750;0;131.6;3:44.376;12:03;0:22.078;0:25.975;0:28.750;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;3;2:15.657;0;;32.758;0;1:00.249;0;42.650;0;74.5;6:00.033;12:06;0:32.758;1:00.249;0:42.650;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;4;1:16.223;0;;21.919;0;25.797;2;28.507;0;132.6;7:16.256;12:07;0:21.919;0:25.797;0:28.507;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;5;2:12.222;0;;34.373;0;49.097;0;48.752;0;76.5;9:28.478;12:09;0:34.373;0:49.097;0:48.752;;Jarno Trulli;;;1;Trulli Formula E Team;;
10;0;6;1:16.144;2;;21.808;2;25.890;0;28.446;2;132.8;10:44.622;12:10;0:21.808;0:25.890;0:28.446;;Jarno Trulli;;;1;Trulli Formula E Team;;
11;0;1;49:36.233;0;;48:25.789;0;32.803;0;37.641;0;3.4;49:36.232;12:49;48:25.789;0:32.803;0:37.641;;Lucas di Grassi;0:48:05.061;;4;Audi Sport ABT Formula E Team;;
11;0;2;1:16.223;0;;21.916;0;25.983;2;28.324;0;132.6;50:52.455;12:50;0:21.916;0:25.983;0:28.324;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;3;2:05.875;0;;33.032;0;47.375;0;45.468;0;80.3;52:58.330;12:52;0:33.032;0:47.375;0:45.468;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;4;1:16.363;0;;21.791;0;26.287;0;28.285;0;132.4;54:14.693;12:54;0:21.791;0:26.287;0:28.285;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;5;2:08.034;0;;32.771;0;50.463;0;44.800;0;79.0;56:22.727;12:56;0:32.771;0:50.463;0:44.800;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;6;1:16.108;2;;21.789;2;26.067;0;28.252;2;132.8;57:38.835;12:57;0:21.789;0:26.067;0:28.252;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
11;0;7;1:58.005;0;B;32.668;0;38.947;0;46.390;0;85.7;59:36.840;12:59;0:32.668;0:38.947;0:46.390;;Lucas di Grassi;;;4;Audi Sport ABT Formula E Team;;
18;0;1;50:04.744;0;;48:46.823;0;35.841;0;42.080;0;3.4;50:04.743;12:50;48:46.823;0:35.841;0:42.080;;Michela Cerruti;0:48:25.220;;4;Trulli Formula E Team;;
18;0;2;1:20.750;0;;22.945;0;27.707;0;30.098;0;125.2;51:25.493;12:51;0:22.945;0:27.707;0:30.098;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;3;2:03.633;0;;31.999;0;44.831;0;46.803;0;81.8;53:29.126;12:53;0:31.999;0:44.831;0:46.803;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;4;1:20.206;2;;22.888;2;27.013;2;30.305;0;126.0;54:49.332;12:54;0:22.888;0:27.013;0:30.305;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;5;2:04.591;0;;35.092;0;46.904;0;42.595;0;81.1;56:53.923;12:56;0:35.092;0:46.904;0:42.595;;Michela Cerruti;;;4;Trulli Formula E Team;;
18;0;6;1:20.238;0;;22.924;0;27.313;0;30.001;2;126.0;58:14.161;12:58;0:22.924;0:27.313;0:30.001;;Michela Cerruti;;;4;Trulli Formula E Team;;
2;0;1;31:48.304;0;;30:31.427;0;35.000;0;41.877;2;5.3;31:48.304;12:31;30:31.427;0:35.000;0:41.877;;Sam Bird;0:30:07.657;;3;Virgin Racing Formula E Team;;
21;0;1;31:51.311;0;;30:37.067;0;34.517;0;39.727;0;5.3;31:51.311;12:31;30:37.067;0:34.517;0:39.727;;Bruno Senna;0:30:13.040;;3;Mahindra Racing Formula E Team;;
21;0;2;1:16.211;2;;21.851;0;26.060;2;28.300;2;132.6;33:07.522;12:33;0:21.851;0:26.060;0:28.300;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;3;2:10.962;0;B;31.500;0;42.918;0;56.544;0;77.2;35:18.484;12:35;0:31.500;0:42.918;0:56.544;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;4;2:30.978;0;;1:18.128;0;36.351;0;36.499;0;67.0;37:49.461;12:37;1:18.128;0:36.351;0:36.499;;Bruno Senna;0:00:55.576;;3;Mahindra Racing Formula E Team;;
21;0;5;1:16.631;0;;21.942;0;26.175;0;28.514;0;131.9;39:06.092;12:39;0:21.942;0:26.175;0:28.514;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;6;1:53.367;0;;28.981;0;42.231;0;42.155;0;89.2;40:59.459;12:40;0:28.981;0:42.231;0:42.155;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;7;1:29.163;0;;21.760;2;30.434;0;36.969;0;113.4;42:28.622;12:42;0:21.760;0:30.434;0:36.969;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
21;0;8;1:30.971;0;B;21.788;0;26.446;0;42.737;0;111.1;43:59.593;12:43;0:21.788;0:26.446;0:42.737;;Bruno Senna;;;3;Mahindra Racing Formula E Team;;
23;0;1;2:09.507;0;;44.954;0;34.356;0;50.197;0;78.1;2:09.507;12:02;0:44.954;0:34.356;0:50.197;;Nick Heidfeld;0:00:22.548;;1;Venturi Formula E Team;;
23;0;2;1:16.593;0;;21.928;0;26.235;0;28.430;0;132.0;3:26.100;12:03;0:21.928;0:26.235;0:28.430;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;3;2:17.591;0;;30.664;0;52.427;0;54.500;0;73.5;5:43.691;12:05;0:30.664;0:52.427;0:54.500;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;4;1:16.225;2;;21.810;2;25.963;2;28.452;0;132.6;6:59.916;12:06;0:21.810;0:25.963;0:28.452;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;5;2:06.899;0;;31.054;0;51.969;0;43.876;0;79.7;9:06.815;12:09;0:31.054;0:51.969;0:43.876;;Nick Heidfeld;;;1;Venturi Formula E Team;;
23;0;6;1:16.298;0;;21.850;0;26.046;0;28.402;2;132.5;10:23.113;12:10;0:21.850;0:26.046;0:28.402;;Nick Heidfeld;;;1;Venturi Formula E Team;;
27;0;1;1:55.005;0;;34.270;0;37.913;0;42.822;0;87.9;1:55.005;12:01;0:34.270;0:37.913;0:42.822;;Jean-Eric Vergne;0:00:09.924;;1;Andretti Autosport Formula E Team;;
27;0;2;1:16.263;0;;21.635;0;26.303;0;28.325;0;132.6;3:11.268;12:03;0:21.635;0:26.303;0:28.325;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;3;2:12.897;0;;35.845;0;49.312;0;47.740;0;76.1;5:24.165;12:05;0:35.845;0:49.312;0:47.740;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;4;1:16.003;0;;21.746;0;25.792;0;28.465;0;133.0;6:40.168;12:06;0:21.746;0:25.792;0:28.465;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
27;0;5;2:12.784;0;;30.781;0;50.436;0;51.567;0;76.1;8:52.952;12:08;0:30.781;0:50.436;0:51.567;;Jean-Eric Vergne;;;1;Andretti Autosport Formula E Team;;
