POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;9;Classified;31;49:08.990;-;-;27;1:19.055;127.9;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Sébastien;Buemi;;CHE;CHE;;
2;99;Classified;31;49:09.722;+0.732;+0.732;26;1:18.958;128.0;China Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Nelson;Piquet JR;;BRA;BRA;;
3;11;Classified;31;49:11.625;+2.635;+1.903;24;1:18.881;128.2;Audi Sport ABT Formula E Team;;4;;Spark - Renault SRT_01 E;;Lucas;di Grassi;;BRA;BRA;;
4;10;Classified;31;49:13.153;+4.163;+1.528;22;1:20.163;126.1;Trulli Formula E Team;;1;;Spark - Renault SRT_01 E;;Jarno;Trulli;;ITA;ITA;;
5;3;Classified;31;49:13.688;+4.698;+0.535;22;1:20.072;126.2;Virgin Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Jaime;Alguersuari;;ESP;ESP;;
6;21;Classified;31;49:14.187;+5.197;+0.499;21;1:19.365;127.4;Mahindra Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Bruno;Senna;;BRA;BRA;;
7;8;Classified;31;49:15.504;+6.514;+1.317;26;1:19.270;127.5;Team e.dams Renault;;2;;Spark - Renault SRT_01 E;;Nicolas;Prost;;FRA;FRA;;
8;7;Classified;31;49:16.557;+7.567;+1.053;21;1:20.094;126.2;Dragon Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Jérôme;D'Ambrosio ;;BEL;BEL;;
9;6;Classified;31;49:17.636;+8.646;+1.079;24;1:20.509;125.6;Dragon Racing Formula E Team;;4;;Spark - Renault SRT_01 E;;Oriol;Servià;;ESP;ESP;;
10;23;Classified;31;49:19.553;+10.563;+1.917;30;1:19.963;126.4;Venturi Formula E Team;;1;;Spark - Renault SRT_01 E;;Nick;Heidfeld;;DEU;DEU;;
11;88;Classified;31;49:19.584;+10.594;+0.031;8;1:21.364;124.2;China Racing Formula E Team;;2;;Spark - Renault SRT_01 E;;Antonio;Garcia;;ESP;ESP;;
12;18;Classified;31;49:28.607;+19.617;+9.023;21;1:21.684;123.8;Trulli Formula E Team;;4;;Spark - Renault SRT_01 E;;Michela;Cerruti;;ITA;ITA;;
13;5;Classified;31;50:03.165;+54.175;+34.558;26;1:18.847;128.2;Mahindra Racing Formula E Team;;1;;Spark - Renault SRT_01 E;;Karun;Chandhok;;IND;IND;;
14;27;Classified;29;46:27.905;2 Laps;2 Laps;25;1:19.077;127.8;Andretti Autosport Formula E Team;;1;;Spark - Renault SRT_01 E;;Jean-Eric;Vergne;;FRA;FRA;;
15;66;Classified;28;49:26.179;3 Laps;1 Lap;22;1:18.451;128.9;Audi Sport ABT Formula E Team;;1;;Spark - Renault SRT_01 E;;Daniel;Abt;;DEU;DEU;;
16;77;Classified;27;49:27.907;4 Laps;1 Lap;18;1:21.003;124.8;Amlin Aguri;;2;;Spark - Renault SRT_01 E;;Salvador;Duran;;MEX;MEX;;
;28;Not classified;26;40:54.109;;;22;1:19.791;126.7;Andretti Autosport Formula E Team;;2;;Spark - Renault SRT_01 E;;Matthew;Brabham;;USA;USA;;
;30;Not classified;15;22:55.749;;;13;1:19.769;126.7;Venturi Formula E Team;;4;;Spark - Renault SRT_01 E;;Stéphane;Sarrazin;;FRA;FRA;;
;55;Not classified;6;9:55.118;;;3;1:21.505;124.0;Amlin Aguri;;3;;Spark - Renault SRT_01 E;;Antonio Felix;da Costa;;PRT;PRT;;
;2;Not classified;3;4:22.937;;;3;1:21.493;124.0;Virgin Racing Formula E Team;;3;;Spark - Renault SRT_01 E;;Sam;Bird;;GBR;GBR;;
