NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;17:34.175;0;;16:03.471;0;48.934;0;41.770;0;8.7;17:34.175;10:17;16:03.471;0:48.934;0:41.770;;Jarno Trulli;0:15:24.788;;2;Trulli Formula E Team;;
10;0;2;1:23.614;0;;21.091;0;31.428;0;31.095;0;110.2;18:57.789;10:18;0:21.091;0:31.428;0:31.095;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;3;2:11.787;0;;37.344;0;51.539;0;42.904;0;69.9;21:09.576;10:21;0:37.344;0:51.539;0:42.904;;Jarno Trulli;;;2;Trulli Formula E Team;;
10;0;4;1:22.347;2;;20.857;2;30.993;2;30.497;2;111.9;22:31.923;10:22;0:20.857;0:30.993;0:30.497;;Jarno Trulli;;;2;Trulli Formula E Team;;
11;0;1;46:54.043;0;;45:42.650;0;36.635;2;34.758;2;3.3;46:54.043;10:46;45:42.650;0:36.635;0:34.758;;Lucas di Grassi;0:45:14.788;;4;Audi Sport ABT Formula E Team;;
18;0;1;17:36.725;0;;16:05.109;0;48.922;0;42.694;0;8.7;17:36.725;10:17;16:05.109;0:48.922;0:42.694;;Michela Cerruti;0:15:27.247;;2;Trulli Formula E Team;;
18;0;2;1:25.459;0;;21.967;0;32.174;0;31.318;0;107.8;19:02.184;10:19;0:21.967;0:32.174;0:31.318;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;3;2:13.928;0;;36.007;0;51.916;0;46.005;0;68.8;21:16.112;10:21;0:36.007;0:51.916;0:46.005;;Michela Cerruti;;;2;Trulli Formula E Team;;
18;0;4;1:23.857;2;;21.261;2;31.634;2;30.962;2;109.9;22:39.969;10:22;0:21.261;0:31.634;0:30.962;;Michela Cerruti;;;2;Trulli Formula E Team;;
2;0;1;47:02.822;0;;45:43.822;0;39.747;0;39.253;0;3.3;47:02.822;10:47;45:43.822;0:39.747;0:39.253;;Sam Bird;0:45:15.976;;4;Virgin Racing Formula E Team;;
2;0;2;1:24.691;0;;20.666;0;31.455;0;32.570;0;108.8;48:27.513;10:48;0:20.666;0:31.455;0:32.570;;Sam Bird;;;4;Virgin Racing Formula E Team;;
2;0;3;5:43.501;0;B;27.745;0;48.642;0;4:27.114;0;26.8;54:11.013;10:54;0:27.745;0:48.642;4:27.114;;Sam Bird;;;4;Virgin Racing Formula E Team;;
2;0;4;1:52.045;0;;32.395;0;41.235;0;38.415;0;82.3;56:03.058;10:56;0:32.395;0:41.235;0:38.415;;Sam Bird;0:03:46.141;;4;Virgin Racing Formula E Team;;
2;0;5;1:22.235;2;;20.580;2;31.044;2;30.611;0;112.1;57:25.293;10:57;0:20.580;0:31.044;0:30.611;;Sam Bird;;;4;Virgin Racing Formula E Team;;
2;0;6;2:15.955;0;;27.423;0;56.379;0;52.153;0;67.8;59:41.248;10:59;0:27.423;0:56.379;0:52.153;;Sam Bird;;;4;Virgin Racing Formula E Team;;
2;0;7;1:22.330;0;;20.700;0;31.065;0;30.565;2;111.9;1:01:03.578;11:01;0:20.700;0:31.065;0:30.565;;Sam Bird;;;4;Virgin Racing Formula E Team;;
21;0;1;2:34.123;0;;1:04.917;0;49.878;0;39.328;0;59.8;2:34.123;10:02;1:04.917;0:49.878;0:39.328;;Bruno Senna;0:00:26.986;;1;Mahindra Racing Formula E Team;;
21;0;2;1:23.687;0;;20.993;0;32.358;0;30.336;2;110.1;3:57.810;10:03;0:20.993;0:32.358;0:30.336;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
21;0;3;2:05.312;0;;29.926;0;51.390;0;43.996;0;73.5;6:03.122;10:06;0:29.926;0:51.390;0:43.996;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
21;0;4;1:22.816;2;;20.488;3;31.055;2;31.273;0;111.3;7:25.938;10:07;0:20.488;0:31.055;0:31.273;;Bruno Senna;;;1;Mahindra Racing Formula E Team;;
23;0;1;32:47.849;0;;31:20.660;0;41.581;0;45.608;0;4.7;32:47.849;10:32;31:20.660;0:41.581;0:45.608;;Nick Heidfeld;0:30:46.543;;3;Venturi Formula E Team;;
23;0;2;1:23.387;0;;20.984;0;31.376;0;31.027;0;110.5;34:11.236;10:34;0:20.984;0:31.376;0:31.027;;Nick Heidfeld;;;3;Venturi Formula E Team;;
23;0;3;2:16.951;0;;36.386;0;58.422;0;42.143;0;67.3;36:28.187;10:36;0:36.386;0:58.422;0:42.143;;Nick Heidfeld;;;3;Venturi Formula E Team;;
23;0;4;1:22.720;2;;20.954;2;31.011;2;30.755;2;111.4;37:50.907;10:37;0:20.954;0:31.011;0:30.755;;Nick Heidfeld;;;3;Venturi Formula E Team;;
23;0;5;1:54.328;0;;29.528;0;44.249;0;40.551;0;80.6;39:45.235;10:39;0:29.528;0:44.249;0:40.551;;Nick Heidfeld;;;3;Venturi Formula E Team;;
27;0;1;17:10.947;0;;15:55.790;0;37.924;0;37.233;0;8.9;17:10.947;10:17;15:55.790;0:37.924;0:37.233;;Franck Montagny;0:15:09.500;;2;Andretti Autosport Formula E Team;;
27;0;2;1:36.972;0;;26.522;0;39.028;0;31.422;0;95.0;18:47.919;10:18;0:26.522;0:39.028;0:31.422;;Franck Montagny;;;2;Andretti Autosport Formula E Team;;
27;0;3;2:02.771;0;;26.512;0;51.555;0;44.704;0;75.1;20:50.690;10:20;0:26.512;0:51.555;0:44.704;;Franck Montagny;;;2;Andretti Autosport Formula E Team;;
27;0;4;1:23.697;2;;21.538;0;31.393;0;30.766;2;110.1;22:14.387;10:22;0:21.538;0:31.393;0:30.766;;Franck Montagny;;;2;Andretti Autosport Formula E Team;;
27;0;5;2:17.856;0;;32.395;0;56.970;0;48.491;0;66.9;24:32.243;10:24;0:32.395;0:56.970;0:48.491;;Franck Montagny;;;2;Andretti Autosport Formula E Team;;
28;0;1;2:30.012;0;;1:01.890;0;50.417;0;37.705;0;61.4;2:30.012;10:02;1:01.890;0:50.417;0:37.705;;Matthew Brabham;0:00:24.821;;1;Andretti Autosport Formula E Team;;
28;0;2;1:22.941;2;;21.249;0;31.241;2;30.451;2;111.1;3:52.953;10:03;0:21.249;0:31.241;0:30.451;;Matthew Brabham;;;1;Andretti Autosport Formula E Team;;
28;0;3;2:19.555;0;;33.365;0;1:00.685;0;45.505;0;66.0;6:12.508;10:06;0:33.365;1:00.685;0:45.505;;Matthew Brabham;;;1;Andretti Autosport Formula E Team;;
28;0;4;1:23.046;0;;20.815;2;31.359;0;30.872;0;111.0;7:35.554;10:07;0:20.815;0:31.359;0:30.872;;Matthew Brabham;;;1;Andretti Autosport Formula E Team;;
3;0;1;47:12.426;0;;45:51.161;0;41.744;0;39.521;2;3.3;47:12.426;10:47;45:51.161;0:41.744;0:39.521;;Jaime Alguersuari;0:45:18.519;;4;Virgin Racing Formula E Team;;
30;0;1;2:43.312;0;;1:16.696;0;43.595;0;43.021;0;56.4;2:43.312;10:02;1:16.696;0:43.595;0:43.021;;Stéphane Sarrazin;0:00:42.001;;1;Venturi Formula E Team;;
30;0;2;1:23.570;0;;21.322;0;31.460;0;30.788;2;110.3;4:06.882;10:04;0:21.322;0:31.460;0:30.788;;Stéphane Sarrazin;;;1;Venturi Formula E Team;;
30;0;3;2:34.879;0;;38.362;0;1:06.608;0;49.909;0;59.5;6:41.761;10:06;0:38.362;1:06.608;0:49.909;;Stéphane Sarrazin;;;1;Venturi Formula E Team;;
