NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:22.375;0;;1:08.008;0;37.898;0;36.469;0;87.0;2:22.375;12:02;1:08.008;0:37.898;0:36.469;;Nelson PIQUET JR;0:00:36.572;;1;NEXTEV TCR Formula E Team;;
1;0;2;1:46.375;0;;34.372;0;38.034;0;33.969;0;116.4;4:08.750;12:04;0:34.372;0:38.034;0:33.969;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;3;1:40.638;2;;33.237;2;34.838;2;32.563;2;123.0;5:49.388;12:05;0:33.237;0:34.838;0:32.563;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
11;0;1;10:09.138;0;B;;0;;0;;0;20.3;10:09.138;12:10;;;;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;2;2:13.782;0;;53.606;0;40.991;0;39.185;0;92.5;12:22.920;12:12;0:53.606;0:40.991;0:39.185;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:47.492;0;;35.079;0;36.099;0;36.314;0;115.2;14:10.412;12:14;0:35.079;0:36.099;0:36.314;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;4;1:38.519;2;;32.259;2;34.262;2;31.998;2;125.7;15:48.931;12:15;0:32.259;0:34.262;0:31.998;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
12;0;1;20:29.671;0;B;;0;;0;;0;10.1;20:29.671;12:20;;;;;Jacques VILLENEUVE;;;3;Venturi Formula E Team;;
12;0;2;2:09.364;0;;50.426;0;39.729;0;39.209;0;95.7;22:39.035;12:22;0:50.426;0:39.729;0:39.209;;Jacques VILLENEUVE;;;3;Venturi Formula E Team;;
12;0;3;1:43.760;0;;34.496;0;35.938;0;33.326;0;119.3;24:22.795;12:24;0:34.496;0:35.938;0:33.326;;Jacques VILLENEUVE;;;3;Venturi Formula E Team;;
12;0;4;1:39.665;2;;32.502;2;34.632;2;32.531;2;124.2;26:02.460;12:26;0:32.502;0:34.632;0:32.531;;Jacques VILLENEUVE;;;3;Venturi Formula E Team;;
2;0;1;30:14.801;0;B;;0;;0;;0;6.8;30:14.801;12:30;;;;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;2;2:19.198;0;;58.411;0;40.161;0;40.626;0;88.9;32:33.999;12:32;0:58.411;0:40.161;0:40.626;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;3;1:50.456;0;;33.482;0;39.351;0;37.623;0;112.1;34:24.455;12:34;0:33.482;0:39.351;0:37.623;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;4;1:38.884;2;;32.205;2;34.400;2;32.279;2;125.2;36:03.339;12:36;0:32.205;0:34.400;0:32.279;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
21;0;1;10:25.055;0;B;;0;;0;;0;19.8;10:25.055;12:10;;;;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
21;0;2;2:27.763;0;;55.971;0;48.991;0;42.801;0;83.8;12:52.818;12:12;0:55.971;0:48.991;0:42.801;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
21;0;3;1:44.613;0;;34.100;0;36.214;0;34.299;0;118.3;14:37.431;12:14;0:34.100;0:36.214;0:34.299;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
21;0;4;1:38.761;2;;32.349;2;34.255;2;32.157;2;125.4;16:16.192;12:16;0:32.349;0:34.255;0:32.157;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
23;0;1;10:22.265;0;B;;0;;0;;0;19.9;10:22.265;12:10;;;;;Nick HEIDFELD;;;2;Mahindra Racing Formula E Team;;
