NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;2:17.880;0;;1:02.040;0;38.876;0;36.964;0;89.8;2:17.880;12:47;1:02.040;0:38.876;0:36.964;;Lucas DI GRASSI;0:00:26.029;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:39.539;2;;32.947;2;34.080;2;32.512;2;124.4;3:57.419;12:48;0:32.947;0:34.080;0:32.512;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
23;0;1;3:54.528;0;B;;0;;0;;0;52.8;3:54.528;12:48;;;;;Nick HEIDFELD;;;2;Mahindra Racing Formula E Team;;
23;0;2;2:14.011;0;;53.674;0;40.906;0;39.431;0;92.4;6:08.539;12:51;0:53.674;0:40.906;0:39.431;;Nick HEIDFELD;;;2;Mahindra Racing Formula E Team;;
23;0;3;1:38.339;2;;32.222;2;34.208;2;31.909;2;125.9;7:46.878;12:52;0:32.222;0:34.208;0:31.909;;Nick HEIDFELD;;;2;Mahindra Racing Formula E Team;;
25;0;1;11:24.565;0;B;;0;;0;;0;18.1;11:24.565;12:56;;;;;Jean-Eric VERGNE;;;3;DS Virgin Racing Formula E Team;;
25;0;2;2:37.941;0;;1:05.534;0;51.941;0;40.466;0;78.4;14:02.506;12:59;1:05.534;0:51.941;0:40.466;;Jean-Eric VERGNE;;;3;DS Virgin Racing Formula E Team;;
25;0;3;2:21.284;2;;1:03.759;0;39.804;0;37.721;2;87.6;16:23.790;13:01;1:03.759;0:39.804;0:37.721;;Jean-Eric VERGNE;;;3;DS Virgin Racing Formula E Team;;
8;0;1;7:45.890;0;B;;0;;0;;0;26.6;7:45.890;12:52;;;;;Nicolas PROST;;;2;Renault e.Dams;;
8;0;2;2:01.394;0;;51.550;0;35.649;0;34.195;0;102.0;9:47.284;12:54;0:51.550;0:35.649;0:34.195;;Nicolas PROST;;;2;Renault e.Dams;;
8;0;3;1:37.581;2;;32.044;2;33.728;3;31.809;2;126.9;11:24.865;12:56;0:32.044;0:33.728;0:31.809;;Nicolas PROST;;;2;Renault e.Dams;;
9;0;1;16:19.871;0;B;;0;;0;;0;12.6;16:19.871;13:01;;;;;Sébastien BUEMI;;;3;Renault e.Dams;;
9;0;2;2:06.937;0;;52.716;0;39.837;0;34.384;0;97.5;18:26.808;13:03;0:52.716;0:39.837;0:34.384;;Sébastien BUEMI;;;3;Renault e.Dams;;
9;0;3;1:37.297;3;;31.831;3;34.049;2;31.417;3;127.2;20:04.105;13:05;0:31.831;0:34.049;0:31.417;;Sébastien BUEMI;;;3;Renault e.Dams;;
