POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;9;Classified;26;50:08.835;-;-;24;1:39.993;123.8;Renault e.Dams;;3;;Renault Z.E 15;;Sébastien;BUEMI;;;CHE;;
2;11;Classified;26;50:19.841;+11.006;+11.006;21;1:41.721;121.7;ABT Schaeffler Audi Sport;;2;;ABT Schaeffler FE01;;Lucas;DI GRASSI;;;BRA;;
3;23;Classified;26;50:24.516;+15.681;+4.675;10;1:41.859;121.5;Mahindra Racing Formula E Team;;2;;Mahindra M2ELECTRO;;Nick;HEIDFELD;;;DEU;;
4;6;Classified;26;50:24.844;+16.009;+0.328;19;1:40.860;122.7;Dragon Racing;;4;;Venturi VM200-FE-01;;Loïc;DUVAL;;;FRA;;
5;7;Classified;26;50:25.349;+16.514;+0.505;20;1:40.860;122.7;Dragon Racing;;4;;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;;BEL;;
6;88;Classified;26;50:48.301;+39.466;+22.952;19;1:42.427;120.9;NEXTEV TCR Formula E Team;;4;;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;;GBR;;
7;2;Classified;26;50:56.366;+47.531;+8.065;25;1:41.201;122.3;DS Virgin Racing Formula E Team;;4;;Virgin Racing Engineering DSV-01;;Sam;BIRD;;;GBR;;
8;77;Classified;26;51:07.455;+58.620;+11.089;25;1:42.327;121.0;Team Aguri;;3;;SRT01-e;;Nathanaël;BERTHON;;;FRA;;
9;4;Classified;26;51:16.649;+1:07.814;+9.194;25;1:42.858;120.4;Venturi Formula E Team;;2;;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;;FRA;;
10;27;Classified;26;51:18.095;+1:09.260;+1.446;22;1:42.242;121.1;Andretti Formula E Race Team;;4;;SRT01-e;;Robin;FRIJNS;;;NED;;
11;66;Classified;26;51:22.186;+1:13.351;+4.091;24;1:42.539;120.7;ABT Schaeffler Audi Sport;;1;;ABT Schaeffler FE01;;Daniel;ABT;;;DEU;;
12;25;Classified;26;51:39.875;+1:31.040;+17.689;22;1:42.844;120.4;DS Virgin Racing Formula E Team;;3;;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;;FRA;;
13;21;Classified;26;51:59.668;+1:50.833;+19.793;20;1:42.217;121.1;Mahindra Racing Formula E Team;;2;;Mahindra M2ELECTRO;;Bruno;SENNA;;;BRA;;
14;12;Classified;25;50:17.307;1 Lap;1 Lap;24;1:42.521;120.8;Venturi Formula E Team;;3;;Venturi VM200-FE-01;;Jacques;VILLENEUVE;;;CAN;;
15;1;Classified;24;48:52.632;2 Laps;1 Lap;20;1:41.500;122.0;NEXTEV TCR Formula E Team;;1;;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;;BRA;;
;8;Not classified;22;43:28.289;;;7;1:41.082;122.5;Renault e.Dams;;2;;Renault Z.E 15;;Nicolas;PROST;;;FRA;;
;55;Not classified;13;26:52.142;;;9;1:42.672;120.6;Team Aguri;;1;;SRT01-e;;Antonio Felix;DA COSTA;;;PRT;;
;28;Not classified;2;3:45.313;;;2;1:46.289;116.5;Andretti Formula E Race Team;;1;;SRT01-e;;Simona;DE SILVESTRO;;;CHE;;
