NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:03.700;0;;48.757;0;40.157;0;34.786;0;100.1;2:03.700;16:05;0:48.757;0:40.157;0:34.786;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;2;1:47.050;0;;35.156;0;37.312;0;34.582;0;115.7;3:50.750;16:07;0:35.156;0:37.312;0:34.582;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;3;1:52.485;0;;34.674;0;36.624;0;41.187;0;110.1;5:43.235;16:09;0:34.674;0:36.624;0:41.187;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;4;4:11.448;0;;1:25.239;0;1:23.396;0;1:22.813;0;49.2;9:54.683;16:13;1:25.239;1:23.396;1:22.813;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;5;1:57.129;0;;47.033;0;36.273;0;33.823;0;105.7;11:51.812;16:15;0:47.033;0:36.273;0:33.823;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;6;1:45.021;0;;34.321;0;35.928;0;34.772;0;117.9;13:36.833;16:17;0:34.321;0:35.928;0:34.772;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;7;1:45.451;0;;34.649;0;36.203;0;34.599;0;117.4;15:22.284;16:19;0:34.649;0:36.203;0:34.599;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;8;1:45.495;0;;35.090;0;35.858;0;34.547;0;117.4;17:07.779;16:21;0:35.090;0:35.858;0:34.547;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;9;1:49.011;0;;35.479;0;39.129;0;34.403;0;113.6;18:56.790;16:22;0:35.479;0:39.129;0:34.403;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;10;1:42.964;0;;33.700;0;35.478;0;33.786;0;120.2;20:39.754;16:24;0:33.700;0:35.478;0:33.786;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
