NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;21:17.058;0;;20:34.260;0;26.110;0;16.688;0;5.4;21:17.058;12:21;20:34.260;0:26.110;0:16.688;;Nelson PIQUET JR;0:20:11.488;;3;NEXTEV TCR Formula E Team;;
1;0;2;1:02.842;0;;20.156;0;24.596;0;18.090;0;110.4;22:19.900;12:22;0:20.156;0:24.596;0:18.090;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;3;58.026;2;;18.581;2;23.872;2;15.573;2;119.6;23:17.926;12:23;0:18.581;0:23.872;0:15.573;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
11;0;1;1:14.142;0;;30.620;0;26.566;0;16.956;0;93.6;1:14.142;12:01;0:30.620;0:26.566;0:16.956;;Lucas DI GRASSI;0:00:08.080;;1;ABT Schaeffler Audi Sport;;
11;0;2;1:02.862;0;;19.854;0;25.109;0;17.899;0;110.4;2:17.004;12:02;0:19.854;0:25.109;0:17.899;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;;
11;0;3;58.183;2;;18.361;2;24.196;2;15.626;2;119.2;3:15.187;12:03;0:18.361;0:24.196;0:15.626;;Lucas DI GRASSI;;;1;ABT Schaeffler Audi Sport;;
12;0;1;21:56.633;0;;21:11.355;0;27.180;0;18.098;0;5.3;21:56.633;12:21;21:11.355;0:27.180;0:18.098;;Mike CONWAY;0:20:49.693;;3;Venturi Formula E Team;;
12;0;2;1:02.019;0;;19.641;0;24.910;0;17.468;0;111.9;22:58.652;12:22;0:19.641;0:24.910;0:17.468;;Mike CONWAY;;;3;Venturi Formula E Team;;
12;0;3;58.687;2;;18.743;2;24.449;2;15.495;2;118.2;23:57.339;12:23;0:18.743;0:24.449;0:15.495;;Mike CONWAY;;;3;Venturi Formula E Team;;
2;0;1;11:21.187;0;;10:36.377;0;27.878;0;16.932;0;10.2;11:21.187;12:11;10:36.377;0:27.878;0:16.932;;Sam BIRD;0:10:11.600;;2;DS Virgin Racing Formula E Team;;
2;0;2;1:07.039;0;;19.993;0;27.259;0;19.787;0;103.5;12:28.226;12:12;0:19.993;0:27.259;0:19.787;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
2;0;3;57.838;2;;18.281;2;23.958;2;15.599;2;119.9;13:26.064;12:13;0:18.281;0:23.958;0:15.599;;Sam BIRD;;;2;DS Virgin Racing Formula E Team;;
21;0;1;31:21.759;0;;30:37.724;0;26.967;0;17.068;0;3.7;31:21.759;12:31;30:37.724;0:26.967;0:17.068;;Bruno SENNA;0:30:14.911;;4;Mahindra Racing Formula E Team;;
21;0;2;1:03.627;0;;18.920;0;27.309;0;17.398;0;109.0;32:25.386;12:32;0:18.920;0:27.309;0:17.398;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
21;0;3;57.591;2;;18.206;2;23.932;2;15.453;2;120.5;33:22.977;12:33;0:18.206;0:23.932;0:15.453;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
23;0;1;21:32.018;0;;20:43.591;0;30.363;0;18.064;0;5.4;21:32.018;12:21;20:43.591;0:30.363;0:18.064;;Nick HEIDFELD;0:20:16.982;;3;Mahindra Racing Formula E Team;;
23;0;2;1:03.286;0;;19.509;0;26.071;0;17.706;0;109.6;22:35.304;12:22;0:19.509;0:26.071;0:17.706;;Nick HEIDFELD;;;3;Mahindra Racing Formula E Team;;
23;0;3;57.736;2;;18.271;2;23.959;2;15.506;2;120.2;23:33.040;12:23;0:18.271;0:23.959;0:15.506;;Nick HEIDFELD;;;3;Mahindra Racing Formula E Team;;
25;0;1;11:27.520;0;;10:39.827;0;27.863;0;19.830;0;10.1;11:27.520;12:11;10:39.827;0:27.863;0:19.830;;Jean-Eric VERGNE;0:10:12.796;;2;DS Virgin Racing Formula E Team;;
25;0;2;1:05.674;0;;19.282;0;25.217;0;21.175;0;105.6;12:33.194;12:12;0:19.282;0:25.217;0:21.175;;Jean-Eric VERGNE;;;2;DS Virgin Racing Formula E Team;;
25;0;3;57.603;2;;18.362;2;23.680;4;15.561;2;120.4;13:30.797;12:13;0:18.362;0:23.680;0:15.561;;Jean-Eric VERGNE;;;2;DS Virgin Racing Formula E Team;;
27;0;1;1:41.360;0;;55.684;0;28.247;0;17.429;0;68.4;1:41.360;12:01;0:55.684;0:28.247;0:17.429;;Robin FRIJNS;0:00:32.700;;1;Andretti Formula E Race Team;;
27;0;2;1:03.205;0;;20.493;0;26.019;0;16.693;0;109.8;2:44.565;12:02;0:20.493;0:26.019;0:16.693;;Robin FRIJNS;;;1;Andretti Formula E Race Team;;
27;0;3;58.742;2;;18.745;2;24.252;2;15.745;2;118.1;3:43.307;12:03;0:18.745;0:24.252;0:15.745;;Robin FRIJNS;;;1;Andretti Formula E Race Team;;
28;0;1;21:52.335;0;;21:07.136;0;27.126;0;18.073;0;5.3;21:52.335;12:21;21:07.136;0:27.126;0:18.073;;Simona DE SILVESTRO;0:20:43.602;;3;Andretti Formula E Race Team;;
28;0;2;1:01.610;0;;20.046;0;24.945;0;16.619;0;112.6;22:53.945;12:22;0:20.046;0:24.945;0:16.619;;Simona DE SILVESTRO;;;3;Andretti Formula E Race Team;;
28;0;3;58.654;2;;18.822;2;24.136;2;15.696;2;118.3;23:52.599;12:23;0:18.822;0:24.136;0:15.696;;Simona DE SILVESTRO;;;3;Andretti Formula E Race Team;;
4;0;1;3:18.135;0;;2:29.767;0;26.615;0;21.753;0;35.0;3:18.135;12:03;2:29.767;0:26.615;0:21.753;;Stéphane SARRAZIN;0:02:07.487;;1;Venturi Formula E Team;;
