NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
21;0;1;7:42.692;0;;6:54.739;0;29.644;0;18.309;0;15.0;7:42.692;12:52;6:54.739;0:29.644;0:18.309;;Bruno SENNA;0:06:26.741;;4;Mahindra Racing Formula E Team;;
21;0;2;58.303;2;;18.413;2;24.361;2;15.529;2;119.0;8:40.995;12:53;0:18.413;0:24.361;0:15.529;;Bruno SENNA;;;4;Mahindra Racing Formula E Team;;
23;0;1;3:17.631;0;;2:28.481;0;29.647;0;19.503;0;35.1;3:17.631;12:48;2:28.481;0:29.647;0:19.503;;Nick HEIDFELD;0:02:00.888;;3;Mahindra Racing Formula E Team;;
23;0;2;59.085;2;;18.256;3;25.155;2;15.674;2;117.4;4:16.716;12:49;0:18.256;0:25.155;0:15.674;;Nick HEIDFELD;;;3;Mahindra Racing Formula E Team;;
25;0;1;5:31.908;0;;4:40.469;0;29.853;0;21.586;0;20.9;5:31.908;12:50;4:40.469;0:29.853;0:21.586;;Jean-Eric VERGNE;0:04:07.200;;2;DS Virgin Racing Formula E Team;;
25;0;2;57.811;3;;18.295;2;23.942;3;15.574;2;120.0;6:29.719;12:51;0:18.295;0:23.942;0:15.574;;Jean-Eric VERGNE;;;2;DS Virgin Racing Formula E Team;;
66;0;1;1:13.204;0;;25.923;0;27.966;0;19.315;0;94.8;1:13.204;12:46;0:25.923;0:27.966;0:19.315;;Daniel ABT;0:00:02.169;;2;ABT Schaeffler Audi Sport;;
66;0;2;57.852;2;;18.273;2;24.034;2;15.545;2;119.9;2:11.056;12:47;0:18.273;0:24.034;0:15.545;;Daniel ABT;;;2;ABT Schaeffler Audi Sport;;
9;0;1;9:33.939;0;;8:51.074;0;25.767;0;17.098;0;12.1;9:33.939;12:54;8:51.074;0:25.767;0:17.098;;Sébastien BUEMI;0:08:28.621;;4;Renault e.Dams;;
9;0;2;57.827;2;;18.357;2;23.965;2;15.505;3;120.0;10:31.766;12:55;0:18.357;0:23.965;0:15.505;;Sébastien BUEMI;;;4;Renault e.Dams;;
