POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;9;Classified;48;53:46.086;-;-;39;59.209;117.2;Renault e.Dams;;4;1090;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
2;66;Classified;48;53:47.853;+1.767;+1.767;37;59.950;115.7;ABT Schaeffler Audi Sport;;2;1080;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
3;11;Classified;48;53:48.467;+2.381;+0.614;30;59.793;116.0;ABT Schaeffler Audi Sport;;1;1098;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
4;8;Classified;48;53:49.414;+3.328;+0.947;32;1:00.007;115.6;Renault e.Dams;;2;2032;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
5;25;Classified;48;53:51.013;+4.927;+1.599;48;1:00.045;115.5;DS Virgin Racing Formula E Team;;2;1086;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
6;27;Classified;48;53:52.587;+6.501;+1.574;48;1:00.208;115.2;Andretti Formula E Race Team;;1;9093;SRT01-e;;Robin;FRIJNS;;NED;NED;;
7;23;Classified;48;53:53.786;+7.700;+1.199;34;1:00.607;114.5;Mahindra Racing Formula E Team;;3;1099;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
8;12;Classified;48;53:54.391;+8.305;+0.605;38;59.901;115.8;Venturi Formula E Team;;3;3399;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
9;28;Classified;48;53:58.559;+12.473;+4.168;35;1:00.582;114.5;Andretti Formula E Race Team;;3;9091;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
10;4;Classified;48;53:59.327;+13.241;+0.768;35;1:00.496;114.7;Venturi Formula E Team;;1;1113;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
11;2;Classified;47;53:55.648;1 Lap;1 Lap;40;1:00.229;115.2;DS Virgin Racing Formula E Team;;2;1087;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
12;88;Classified;47;53:56.703;1 Lap;+1.055;20;59.898;115.8;NEXTEV TCR Formula E Team;;1;9092;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
13;1;Classified;47;53:57.324;1 Lap;+0.621;19;1:00.567;114.5;NEXTEV TCR Formula E Team;;3;9069;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
14;77;Classified;47;54:05.697;1 Lap;+8.373;13;1:01.957;112.0;Team Aguri;;4;8001;SRT01-e;;Qing Hua;MA;;CHN;CHN;;
15;21;Classified;46;54:20.903;2 Laps;1 Lap;39;59.067;117.4;Mahindra Racing Formula E Team;;4;1115;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
16;7;Classified;45;54:19.524;3 Laps;1 Lap;38;59.070;117.4;Dragon Racing;;3;1084;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
;55;Not classified;42;53:59.745;;;27;59.357;116.9;Team Aguri;;2;8002;SRT01-e;;René;RAST;;DEU;DEU;;
;6;Not classified;39;43:26.398;;;33;1:00.108;115.4;Dragon Racing;;4;9082;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
