NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:35.870;0;;1:37.343;0;27.736;0;30.791;0;57.3;2:35.870;08:17;1:37.343;0:27.736;0:30.791;;Nelson PIQUET JR;0:01:17.860;;;NEXTEV TCR Formula E Team;;
1;0;2;1:14.169;0;;19.703;0;25.213;0;29.253;0;120.4;3:50.039;08:18;0:19.703;0:25.213;0:29.253;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;3;1:12.833;0;;19.096;0;24.769;0;28.968;0;122.6;5:02.872;08:20;0:19.096;0:24.769;0:28.968;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;4;1:45.212;0;B;18.850;0;27.611;0;58.751;0;84.9;6:48.084;08:21;0:18.850;0:27.611;0:58.751;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;5;14:40.808;0;;13:44.557;0;27.060;0;29.191;0;10.1;21:28.892;08:36;13:44.557;0:27.060;0:29.191;;Nelson PIQUET JR;0:13:35.649;;;NEXTEV TCR Formula E Team;;
1;0;6;1:16.831;0;;18.764;0;28.803;0;29.264;0;116.2;22:45.723;08:37;0:18.764;0:28.803;0:29.264;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;7;1:12.236;0;;18.782;0;24.653;0;28.801;0;123.6;23:57.959;08:38;0:18.782;0:24.653;0:28.801;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;8;1:20.654;0;;19.090;0;31.887;0;29.677;0;110.7;25:18.613;08:40;0:19.090;0:31.887;0:29.677;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;9;1:11.654;0;;18.546;0;24.426;0;28.682;0;124.6;26:30.267;08:41;0:18.546;0:24.426;0:28.682;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;10;1:11.692;0;;18.493;0;24.359;0;28.840;0;124.5;27:41.959;08:42;0:18.493;0:24.359;0:28.840;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
