NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;21:36.204;0;;20:35.782;0;29.161;0;31.261;0;6.9;21:36.204;12:21;20:35.782;0:29.161;0:31.261;;Nelson PIQUET JR;0:20:20.412;;3;NEXTEV TCR Formula E Team;;
1;0;2;1:16.224;0;;18.638;0;28.206;0;29.380;0;117.1;22:52.428;12:22;0:18.638;0:28.206;0:29.380;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;3;1:09.931;2;;17.925;2;24.220;2;27.786;2;127.7;24:02.359;12:24;0:17.925;0:24.220;0:27.786;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
1;0;4;2:15.368;0;B;20.501;0;51.554;0;1:03.313;0;66.0;26:17.726;12:26;0:20.501;0:51.554;1:03.313;;Nelson PIQUET JR;;;3;NEXTEV TCR Formula E Team;;
11;0;1;33:24.679;0;;32:29.499;0;25.955;0;29.225;0;4.5;33:24.678;12:33;32:29.499;0:25.955;0:29.225;;Lucas DI GRASSI;0:32:15.752;;4;ABT Schaeffler Audi Sport;;
11;0;2;1:15.163;0;;18.620;0;24.566;0;31.977;0;118.8;34:39.841;12:34;0:18.620;0:24.566;0:31.977;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
11;0;3;1:09.677;2;;17.828;2;24.029;2;27.820;2;128.1;35:49.518;12:35;0:17.828;0:24.029;0:27.820;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
11;0;4;1:31.648;0;B;24.313;0;30.566;0;36.769;0;97.4;37:21.166;12:37;0:24.313;0:30.566;0:36.769;;Lucas DI GRASSI;;;4;ABT Schaeffler Audi Sport;;
12;0;1;2:06.713;0;;1:07.091;0;25.821;0;33.801;0;70.5;2:06.713;12:02;1:07.091;0:25.821;0:33.801;;Mike CONWAY;0:00:53.858;;1;Venturi Formula E Team;;
12;0;2;1:14.610;0;;18.614;0;24.668;0;31.328;0;119.7;3:21.323;12:03;0:18.614;0:24.668;0:31.328;;Mike CONWAY;;;1;Venturi Formula E Team;;
12;0;3;1:09.602;2;;17.760;2;23.667;2;28.175;2;128.3;4:30.925;12:04;0:17.760;0:23.667;0:28.175;;Mike CONWAY;;;1;Venturi Formula E Team;;
