NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;0;1;1:14.374;0;;18.586;0;25.927;0;29.861;0;120.0;1:14.374;12:46;0:18.586;0:25.927;0:29.861;;Mike CONWAY;0:00:03.421;;1;Venturi Formula E Team;;
12;0;2;1:12.391;2;;18.916;2;24.172;2;29.303;2;123.3;2:26.765;12:47;0:18.916;0:24.172;0:29.303;;Mike CONWAY;;;1;Venturi Formula E Team;;
12;0;3;1:19.467;0;B;19.875;0;25.162;0;34.430;0;112.3;3:46.232;12:48;0:19.875;0:25.162;0:34.430;;Mike CONWAY;;;1;Venturi Formula E Team;;
2;0;1;3:16.669;0;;2:16.078;0;29.008;0;31.583;0;45.4;3:16.669;12:48;2:16.078;0:29.008;0:31.583;;Sam BIRD;0:01:58.652;;1;DS Virgin Racing Formula E Team;;
2;0;2;1:09.420;3;;17.804;3;23.807;2;27.809;3;128.6;4:26.089;12:49;0:17.804;0:23.807;0:27.809;;Sam BIRD;;;1;DS Virgin Racing Formula E Team;;
2;0;3;1:22.485;0;B;22.428;0;25.263;0;34.794;0;108.2;5:48.574;12:50;0:22.428;0:25.263;0:34.794;;Sam BIRD;;;1;DS Virgin Racing Formula E Team;;
4;0;1;9:34.273;0;;8:38.889;0;25.578;0;29.806;0;15.5;9:34.273;12:54;8:38.889;0:25.578;0:29.806;;Stéphane SARRAZIN;0:08:25.192;;1;Venturi Formula E Team;;
4;0;2;1:10.298;2;;17.918;2;24.461;2;27.919;2;127.0;10:44.571;12:55;0:17.918;0:24.461;0:27.919;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
4;0;3;1:29.607;0;B;23.134;0;29.401;0;37.072;0;99.6;12:14.178;12:57;0:23.134;0:29.401;0:37.072;;Stéphane SARRAZIN;;;1;Venturi Formula E Team;;
55;0;1;7:40.362;0;;6:42.707;0;28.298;0;29.357;0;19.4;7:40.362;12:52;6:42.707;0:28.298;0:29.357;;Antonio Felix DA COSTA;0:06:26.241;;4;Team Aguri;;
55;0;2;1:09.761;2;;17.962;2;23.939;2;27.860;2;128.0;8:50.123;12:53;0:17.962;0:23.939;0:27.860;;Antonio Felix DA COSTA;;;4;Team Aguri;;
55;0;3;1:25.839;0;B;21.770;0;26.828;0;37.241;0;104.0;10:15.962;12:55;0:21.770;0:26.828;0:37.241;;Antonio Felix DA COSTA;;;4;Team Aguri;;
8;0;1;5:18.794;0;;4:17.249;0;30.912;0;30.633;0;28.0;5:18.794;12:50;4:17.249;0:30.912;0:30.633;;Nicolas PROST;0:04:00.696;;2;Renault e.Dams;;
8;0;2;1:09.751;2;;18.037;2;23.779;3;27.935;2;128.0;6:28.545;12:51;0:18.037;0:23.779;0:27.935;;Nicolas PROST;;;2;Renault e.Dams;;
8;0;3;1:32.985;0;B;25.186;0;29.566;0;38.233;0;96.0;8:01.530;12:53;0:25.186;0:29.566;0:38.233;;Nicolas PROST;;;2;Renault e.Dams;;
