POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;2;Classified;35;45:28.385;-;-;33;1:11.368;125.1;DS Virgin Racing Formula E Team;;;;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
2;9;Classified;35;45:29.101;+0.716;+0.716;25;1:11.288;125.2;Renault e.Dams;;;;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
3;11;Classified;35;45:35.910;+7.525;+6.809;32;1:11.264;125.3;ABT Schaeffler Audi Sport;;;;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
4;4;Classified;35;45:37.800;+9.415;+1.890;31;1:11.610;124.7;Venturi Formula E Team;;;;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
5;8;Classified;35;45:39.701;+11.316;+1.901;33;1:11.495;124.9;Renault e.Dams;;;;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
6;6;Classified;35;45:44.045;+15.660;+4.344;32;1:11.532;124.8;Dragon Racing;;;;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
7;23;Classified;35;45:44.829;+16.444;+0.784;32;1:11.560;124.8;Mahindra Racing Formula E Team;;;;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
8;27;Classified;35;45:47.070;+18.685;+2.241;28;1:11.563;124.8;Andretti Formula E Race Team;;;;SRT01-e;;Robin;FRIJNS;;NED;NED;;
9;88;Classified;35;45:50.392;+22.007;+3.322;32;1:11.746;124.4;NEXTEV TCR Formula E Team;;;;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
10;21;Classified;35;45:50.841;+22.456;+0.449;29;1:11.715;124.5;Mahindra Racing Formula E Team;;;;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
11;25;Classified;35;45:52.867;+24.482;+2.026;32;1:11.779;124.4;DS Virgin Racing Formula E Team;;;;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
12;1;Classified;35;45:53.026;+24.641;+0.159;31;1:11.650;124.6;NEXTEV TCR Formula E Team;;;;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
13;66;Classified;35;45:56.383;+27.998;+3.357;30;1:11.722;124.5;ABT Schaeffler Audi Sport;;;;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
14;28;Classified;35;46:04.556;+36.171;+8.173;27;1:12.875;122.5;Andretti Formula E Race Team;;;;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
15;12;Classified;35;46:07.966;+39.581;+3.410;30;1:12.216;123.6;Venturi Formula E Team;;;;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
16;7;Classified;34;46:32.229;1 Lap;1 Lap;29;1:10.285;127.0;Dragon Racing;;;;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
;55;Not classified;17;20:34.184;;;12;1:12.671;122.9;Team Aguri;;;;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
;77;Not classified;14;17:29.096;;;12;1:12.852;122.5;Team Aguri;;;;SRT01-e;;Salvador;DURAN;;MEX;MEX;;
