NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:09.180;0;;10.327;0;27.451;0;31.402;0;129.1;1:09.180;16:05;0:10.327;0:27.451;0:31.402;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;2;1:16.151;0;;19.497;0;26.776;0;29.878;0;117.2;2:25.331;16:06;0:19.497;0:26.776;0:29.878;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;3;1:14.711;0;;19.228;0;25.833;0;29.650;0;119.5;3:40.042;16:07;0:19.228;0:25.833;0:29.650;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;4;1:15.948;0;;19.002;0;26.247;0;30.699;0;117.6;4:55.990;16:08;0:19.002;0:26.247;0:30.699;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;5;1:17.735;0;;19.523;0;26.749;0;31.463;0;114.9;6:13.725;16:10;0:19.523;0:26.749;0:31.463;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;6;1:14.845;0;;19.626;0;25.790;0;29.429;0;119.3;7:28.570;16:11;0:19.626;0:25.790;0:29.429;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;7;1:14.515;0;;19.489;0;25.559;0;29.467;0;119.8;8:43.085;16:12;0:19.489;0:25.559;0:29.467;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;8;1:14.257;0;;19.415;0;25.639;0;29.203;0;120.2;9:57.342;16:13;0:19.415;0:25.639;0:29.203;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;9;1:14.157;0;;19.333;0;25.289;0;29.535;0;120.4;11:11.499;16:15;0:19.333;0:25.289;0:29.535;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;10;1:14.340;0;;19.427;0;25.389;0;29.524;0;120.1;12:25.839;16:16;0:19.427;0:25.389;0:29.524;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;11;1:14.371;0;;19.408;0;25.540;0;29.423;0;120.0;13:40.210;16:17;0:19.408;0:25.540;0:29.423;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;12;1:14.285;0;;19.507;0;25.708;0;29.070;0;120.2;14:54.495;16:18;0:19.507;0:25.708;0:29.070;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
