NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;8:15.793;0;;7:07.312;0;37.490;0;30.991;0;21.2;8:15.793;08:23;7:07.312;0:37.490;0:30.991;;Nelson PIQUET JR;0:06:33.804;;;NEXTEV TCR Formula E Team;;
1;0;2;1:29.995;0;;28.642;0;33.240;0;28.113;0;117.0;9:45.788;08:24;0:28.642;0:33.240;0:28.113;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;3;11:20.787;0;B;2:35.026;0;1:16.091;0;7:29.670;0;15.5;21:06.575;08:36;2:35.026;1:16.091;7:29.670;;Nelson PIQUET JR;0:06:27.564;;;NEXTEV TCR Formula E Team;;
1;0;4;1:46.099;0;;27.059;0;49.468;0;29.572;0;99.2;22:52.674;08:37;0:27.059;0:49.468;0:29.572;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;5;1:27.107;0;;27.109;0;32.098;0;27.900;0;120.9;24:19.781;08:39;0:27.109;0:32.098;0:27.900;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;6;1:26.355;0;;26.710;0;31.833;0;27.812;0;121.9;25:46.136;08:40;0:26.710;0:31.833;0:27.812;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;7;1:48.183;0;;26.782;0;35.087;0;46.314;0;97.3;27:34.319;08:42;0:26.782;0:35.087;0:46.314;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;8;2:53.518;0;B;33.813;0;37.915;0;1:41.790;0;60.7;30:27.837;08:45;0:33.813;0:37.915;1:41.790;;Nelson PIQUET JR;0:01:09.857;;;NEXTEV TCR Formula E Team;;
1;0;9;1:42.153;0;;25.975;2;38.080;0;38.098;0;103.1;32:09.990;08:47;0:25.975;0:38.080;0:38.098;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;10;1:26.530;0;;26.927;0;31.851;0;27.752;0;121.7;33:36.520;08:48;0:26.927;0:31.851;0:27.752;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;11;1:26.466;0;;26.797;0;31.993;0;27.676;0;121.8;35:02.986;08:50;0:26.797;0:31.993;0:27.676;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;12;6:04.521;0;B;27.976;0;35.070;0;5:01.475;0;28.9;41:07.507;08:56;0:27.976;0:35.070;5:01.475;;Nelson PIQUET JR;0:04:25.288;;;NEXTEV TCR Formula E Team;;
1;0;13;1:35.358;0;;29.120;0;36.381;0;29.857;0;110.4;42:42.865;08:57;0:29.120;0:36.381;0:29.857;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;14;1:27.325;0;;27.087;0;31.680;0;28.558;0;120.6;44:10.190;08:59;0:27.087;0:31.680;0:28.558;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;15;1:25.582;2;;26.692;0;31.315;2;27.575;2;123.0;45:35.772;09:00;0:26.692;0:31.315;0:27.575;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
11;0;1;1:58.611;0;;50.871;0;36.362;0;31.378;0;88.8;1:58.611;08:16;0:50.871;0:36.362;0:31.378;;Lucas DI GRASSI;0:00:18.669;;;ABT Schaeffler Audi Sport;;
11;0;2;1:32.433;0;;28.758;0;34.196;0;29.479;0;113.9;3:31.044;08:18;0:28.758;0:34.196;0:29.479;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:30.142;0;;28.090;0;33.005;0;29.047;0;116.8;5:01.186;08:20;0:28.090;0:33.005;0:29.047;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:28.971;0;;27.688;0;32.711;0;28.572;0;118.4;6:30.157;08:21;0:27.688;0:32.711;0:28.572;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:26.841;0;;27.598;0;31.687;0;27.556;0;121.3;7:56.998;08:22;0:27.598;0:31.687;0:27.556;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:25.787;0;;26.437;0;31.292;0;28.058;0;122.7;9:22.785;08:24;0:26.437;0:31.292;0:28.058;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;11:40.751;0;B;27.422;0;39.400;0;10:33.929;0;15.0;21:03.536;08:36;0:27.422;0:39.400;10:33.929;;Lucas DI GRASSI;0:09:33.682;;;ABT Schaeffler Audi Sport;;
11;0;8;1:29.816;0;;27.254;0;34.277;0;28.285;0;117.2;22:33.352;08:37;0:27.254;0:34.277;0:28.285;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;1:28.974;0;;28.829;0;32.441;0;27.704;0;118.3;24:02.326;08:39;0:28.829;0:32.441;0:27.704;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:25.876;0;;26.839;0;31.364;0;27.673;0;122.6;25:28.202;08:40;0:26.839;0:31.364;0:27.673;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;1:26.411;0;;26.990;0;31.762;0;27.659;0;121.9;26:54.613;08:41;0:26.990;0:31.762;0:27.659;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;1:25.894;0;;26.663;0;31.524;0;27.707;0;122.6;28:20.507;08:43;0:26.663;0:31.524;0:27.707;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:37.106;0;;27.183;0;33.333;0;36.590;0;108.4;29:57.613;08:44;0:27.183;0:33.333;0:36.590;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;14;1:25.469;0;;26.557;0;31.195;0;27.717;0;123.2;31:23.082;08:46;0:26.557;0:31.195;0:27.717;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;15;5:58.316;0;B;28.069;0;32.716;0;4:57.531;0;29.4;37:21.398;08:52;0:28.069;0:32.716;4:57.531;;Lucas DI GRASSI;0:04:30.150;;;ABT Schaeffler Audi Sport;;
11;0;16;1:27.204;0;;26.308;2;33.033;0;27.863;0;120.8;38:48.602;08:53;0:26.308;0:33.033;0:27.863;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
