NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;4:26.590;0;;3:25.422;0;32.775;0;28.393;0;39.5;4:26.590;12:49;3:25.422;0:32.775;0:28.393;;Lucas DI GRASSI;0:02:58.139;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:22.975;2;;25.940;2;30.297;2;26.738;2;126.9;5:49.565;12:50;0:25.940;0:30.297;0:26.738;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
23;0;1;1:43.806;0;;34.312;0;36.407;0;33.087;0;101.4;1:43.806;12:46;0:34.312;0:36.407;0:33.087;;Nick HEIDFELD;0:00:03.885;;3;Mahindra Racing Formula E Team;;
23;0;2;1:24.827;2;;26.524;2;30.896;2;27.407;2;124.1;3:08.633;12:48;0:26.524;0:30.896;0:27.407;;Nick HEIDFELD;;;3;Mahindra Racing Formula E Team;;
8;0;1;9:46.169;0;;8:44.471;0;32.682;0;29.016;0;18.0;9:46.169;12:54;8:44.471;0:32.682;0:29.016;;Nicolas PROST;0:08:15.245;;1;Renault e.Dams;;
8;0;2;1:22.948;2;;25.647;2;30.397;2;26.904;2;126.9;11:09.117;12:56;0:25.647;0:30.397;0:26.904;;Nicolas PROST;;;1;Renault e.Dams;;
88;0;1;7:12.936;0;;6:09.554;0;34.928;0;28.454;0;24.3;7:12.936;12:52;6:09.554;0:34.928;0:28.454;;Oliver TURVEY;0:05:28.377;;4;NEXTEV TCR Formula E Team;;
88;0;2;1:23.685;2;;25.799;2;30.765;2;27.121;2;125.8;8:36.621;12:53;0:25.799;0:30.765;0:27.121;;Oliver TURVEY;;;4;NEXTEV TCR Formula E Team;;
9;0;1;12:14.635;0;;11:13.734;0;33.190;0;27.711;0;14.3;12:14.635;12:57;11:13.734;0:33.190;0:27.711;;Sébastien BUEMI;0:10:46.358;;3;Renault e.Dams;;
9;0;2;1:22.033;4;;25.609;4;29.971;4;26.453;3;128.4;13:36.668;12:58;0:25.609;0:29.971;0:26.453;;Sébastien BUEMI;;;3;Renault e.Dams;;
