POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;8;Classified;33;56:32.648;-;-;27;1:27.096;120.9;Renault e.Dams;;;2032;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
2;66;Classified;33;56:40.281;+7.633;+7.633;26;1:27.224;120.7;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
3;7;Classified;33;56:55.172;+22.524;+14.891;22;1:27.488;120.4;Dragon Racing;;;1084;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
4;6;Classified;33;56:55.938;+23.290;+0.766;22;1:27.301;120.6;Dragon Racing;;;9082;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
5;4;Classified;33;56:57.632;+24.984;+1.694;28;1:27.038;121.0;Venturi Formula E Team;;;1113;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
6;21;Classified;33;56:59.822;+27.174;+2.190;28;1:26.892;121.2;Mahindra Racing Formula E Team;;;1115;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
7;23;Classified;33;57:40.192;+1:07.544;+40.370;29;1:27.691;120.1;Mahindra Racing Formula E Team;;;1099;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
8;25;Classified;33;57:40.650;+1:08.002;+0.458;25;1:27.214;120.7;DS Virgin Racing Formula E Team;;;1086;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
9;1;Classified;33;57:46.918;+1:14.270;+6.268;32;1:27.415;120.5;NEXTEV TCR Formula E Team;;;9069;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
10;88;Classified;33;57:54.864;+1:22.216;+7.946;26;1:27.989;119.7;NEXTEV TCR Formula E Team;;;9092;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
11;55;Classified;33;58:30.972;+1:58.324;+36.108;30;1:27.626;120.2;Team Aguri;;;3177;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
12;77;Classified;32;56:38.193;1 Lap;1 Lap;16;1:28.432;119.1;Team Aguri;;;8001;SRT01-e;;Qing Hua;MA;;CHN;CHN;;
13;12;Classified;32;58:02.119;1 Lap;+1:23.926;30;1:26.983;121.1;Venturi Formula E Team;;;3399;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
;11;Not classified;18;52:32.736;;;18;1:24.633;124.4;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
;9;Not classified;16;54:14.582;;;16;1:24.150;125.1;Renault e.Dams;;;1090;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
;27;Not classified;11;20:39.744;;;11;1:28.917;118.4;Andretti Formula E Race Team;;;9093;SRT01-e;;Robin;FRIJNS;;NED;NED;;
;28;Not classified;9;17:44.286;;;5;1:30.475;116.4;Andretti Formula E Race Team;;;9091;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
;2;Not classified;6;11:12.526;;;5;1:28.374;119.2;DS Virgin Racing Formula E Team;;;1087;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
