NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:39.568;0;;24.592;0;53.053;0;1:21.923;0;66.0;2:39.568;16:06;0:24.592;0:53.053;1:21.923;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;2;2:38.594;0;;41.511;0;1:09.861;0;47.222;0;66.4;5:18.162;16:08;0:41.511;1:09.861;0:47.222;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;3;1:30.596;0;;16.563;0;33.220;0;40.813;0;116.2;6:48.758;16:10;0:16.563;0:33.220;0:40.813;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;4;1:30.102;0;;16.305;0;33.213;0;40.584;0;116.9;8:18.860;16:11;0:16.305;0:33.213;0:40.584;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;5;1:29.777;0;;16.492;0;32.893;0;40.392;0;117.3;9:48.637;16:13;0:16.492;0:32.893;0:40.392;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;6;1:29.341;0;;16.295;0;32.397;0;40.649;0;117.9;11:17.978;16:14;0:16.295;0:32.397;0:40.649;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;7;1:29.613;0;;16.199;0;32.669;0;40.745;0;117.5;12:47.591;16:16;0:16.199;0:32.669;0:40.745;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;8;2:13.461;0;;16.152;0;40.415;0;1:16.894;0;78.9;15:01.052;16:18;0:16.152;0:40.415;1:16.894;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;9;2:36.578;0;;40.847;0;1:08.863;0;46.868;0;67.3;17:37.630;16:21;0:40.847;1:08.863;0:46.868;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;10;1:28.757;0;;16.076;0;32.486;0;40.195;0;118.6;19:06.387;16:22;0:16.076;0:32.486;0:40.195;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;11;1:29.074;0;;16.363;0;32.563;0;40.148;0;118.2;20:35.461;16:24;0:16.363;0:32.563;0:40.148;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;12;1:28.938;0;;15.952;0;32.687;0;40.299;0;118.4;22:04.399;16:25;0:15.952;0:32.687;0:40.299;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;13;3:03.058;0;;18.576;0;1:09.197;0;1:35.285;0;57.5;25:07.457;16:28;0:18.576;1:09.197;1:35.285;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;14;2:27.666;0;;44.398;0;57.298;0;45.970;0;71.3;27:35.123;16:31;0:44.398;0:57.298;0:45.970;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;15;1:28.615;0;;16.012;0;32.810;0;39.793;0;118.8;29:03.738;16:32;0:16.012;0:32.810;0:39.793;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;16;1:28.905;0;;16.024;0;32.740;0;40.141;0;118.4;30:32.643;16:34;0:16.024;0:32.740;0:40.141;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;17;1:31.019;0;;16.234;0;32.714;0;42.071;0;115.7;32:03.662;16:35;0:16.234;0:32.714;0:42.071;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;18;2:40.214;0;;15.763;0;32.863;0;1:51.588;0;65.7;34:43.876;16:38;0:15.763;0:32.863;1:51.588;;Nelson PIQUET JR;0:01:12.227;;;NEXTEV TCR Formula E Team;;
1;0;19;1:31.083;0;;16.728;0;33.485;0;40.870;0;115.6;36:14.959;16:39;0:16.728;0:33.485;0:40.870;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;20;1:29.464;0;;16.098;0;32.508;0;40.858;0;117.7;37:44.423;16:41;0:16.098;0:32.508;0:40.858;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;21;1:30.991;0;;17.365;0;32.839;0;40.787;0;115.7;39:15.414;16:42;0:17.365;0:32.839;0:40.787;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;22;1:29.389;0;;16.126;0;32.804;0;40.459;0;117.8;40:44.803;16:44;0:16.126;0:32.804;0:40.459;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;23;1:28.839;0;;16.289;0;32.376;0;40.174;0;118.5;42:13.642;16:45;0:16.289;0:32.376;0:40.174;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;24;1:28.851;0;;16.037;0;32.748;0;40.066;0;118.5;43:42.493;16:47;0:16.037;0:32.748;0:40.066;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;25;1:30.023;0;;16.055;0;33.065;0;40.903;0;117.0;45:12.516;16:48;0:16.055;0:33.065;0:40.903;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;26;1:35.474;0;;18.072;0;34.362;0;43.040;0;110.3;46:47.990;16:50;0:18.072;0:34.362;0:43.040;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;27;1:35.233;0;;17.042;0;35.117;0;43.074;0;110.6;48:23.223;16:51;0:17.042;0:35.117;0:43.074;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;28;1:36.001;0;;17.162;0;35.740;0;43.099;0;109.7;49:59.224;16:53;0:17.162;0:35.740;0:43.099;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;29;1:35.521;0;;17.513;0;35.289;0;42.719;0;110.2;51:34.745;16:55;0:17.513;0:35.289;0:42.719;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;30;1:33.138;0;;16.678;0;34.568;0;41.892;0;113.1;53:07.883;16:56;0:16.678;0:34.568;0:41.892;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;31;1:27.676;0;;15.900;0;32.018;0;39.758;2;120.1;54:35.559;16:58;0:15.900;0:32.018;0:39.758;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;32;1:27.415;2;;15.520;2;31.561;2;40.334;0;120.5;56:02.974;16:59;0:15.520;0:31.561;0:40.334;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;33;1:43.944;0;;15.981;0;36.393;0;51.570;0;101.3;57:46.918;17:01;0:15.981;0:36.393;0:51.570;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
11;0;1;5:40.311;0;;51.949;0;46.880;0;4:01.482;0;30.9;5:40.311;16:09;0:51.949;0:46.880;4:01.482;;Lucas DI GRASSI;0:02:59.660;;;ABT Schaeffler Audi Sport;;
11;0;2;1:34.933;0;;18.553;0;34.394;0;41.986;0;110.9;7:15.244;16:10;0:18.553;0:34.394;0:41.986;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:33.574;0;;17.464;0;34.662;0;41.448;0;112.5;8:48.818;16:12;0:17.464;0:34.662;0:41.448;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:29.916;0;;16.857;0;33.310;0;39.749;0;117.1;10:18.734;16:13;0:16.857;0:33.310;0:39.749;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:27.037;0;;15.410;0;32.019;0;39.608;0;121.0;11:45.771;16:15;0:15.410;0:32.019;0:39.608;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;1:28.079;0;;15.348;0;31.050;0;41.681;0;119.6;13:13.850;16:16;0:15.348;0:31.050;0:41.681;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;16:14.630;0;;23.521;0;44.034;0;15:07.075;0;10.8;29:28.480;16:33;0:23.521;0:44.034;15:07.075;;Lucas DI GRASSI;0:14:19.473;;;ABT Schaeffler Audi Sport;;
11;0;8;1:37.462;0;;16.393;0;35.011;0;46.058;0;108.0;31:05.942;16:34;0:16.393;0:35.011;0:46.058;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;2:22.747;0;;17.827;0;39.584;0;1:25.336;0;73.8;33:28.689;16:37;0:17.827;0:39.584;1:25.336;;Lucas DI GRASSI;0:00:43.471;;;ABT Schaeffler Audi Sport;;
11;0;10;2:54.120;0;;17.975;0;39.037;0;1:57.108;0;60.5;36:22.809;16:39;0:17.975;0:39.037;1:57.108;;Lucas DI GRASSI;0:01:14.074;;;ABT Schaeffler Audi Sport;;
11;0;11;1:39.631;0;;18.782;0;41.656;0;39.193;0;105.7;38:02.440;16:41;0:18.782;0:41.656;0:39.193;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;12;1:28.440;0;;15.312;0;31.213;0;41.915;0;119.1;39:30.880;16:43;0:15.312;0:31.213;0:41.915;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;13;1:50.358;0;;23.428;0;41.272;0;45.658;0;95.4;41:21.238;16:44;0:23.428;0:41.272;0:45.658;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;14;1:24.934;0;;15.380;0;30.963;0;38.591;0;124.0;42:46.172;16:46;0:15.380;0:30.963;0:38.591;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;15;4:15.283;0;;19.513;0;42.284;0;3:13.486;0;41.2;47:01.455;16:50;0:19.513;0:42.284;3:13.486;;Lucas DI GRASSI;0:02:27.077;;;ABT Schaeffler Audi Sport;;
11;0;16;1:42.013;0;;20.127;0;38.814;0;43.072;0;103.2;48:43.468;16:52;0:20.127;0:38.814;0:43.072;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;17;1:34.635;0;;15.499;0;36.477;0;42.659;0;111.3;50:18.103;16:53;0:15.499;0:36.477;0:42.659;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;18;1:24.633;2;;15.237;2;30.823;2;38.573;2;124.4;51:42.736;16:55;0:15.237;0:30.823;0:38.573;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
12;0;1;2:40.431;0;;25.124;0;53.443;0;1:21.864;0;65.6;2:40.431;16:06;0:25.124;0:53.443;1:21.864;;Mike CONWAY;;;;Venturi Formula E Team;;
12;0;2;2:38.134;0;;41.699;0;1:09.787;0;46.648;0;66.6;5:18.565;16:08;0:41.699;1:09.787;0:46.648;;Mike CONWAY;;;;Venturi Formula E Team;;
12;0;3;1:30.541;0;;16.546;0;33.127;0;40.868;0;116.3;6:49.106;16:10;0:16.546;0:33.127;0:40.868;;Mike CONWAY;;;;Venturi Formula E Team;;
12;0;4;1:30.237;0;;16.475;0;33.024;0;40.738;0;116.7;8:19.343;16:11;0:16.475;0:33.024;0:40.738;;Mike CONWAY;;;;Venturi Formula E Team;;
12;0;5;1:29.776;0;;16.398;0;32.818;0;40.560;0;117.3;9:49.119;16:13;0:16.398;0:32.818;0:40.560;;Mike CONWAY;;;;Venturi Formula E Team;;
