NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;50:04.502;0;;48:49.808;0;39.543;0;35.151;0;3.5;50:04.500;13:00;48:49.808;0:39.543;0:35.151;;Nelson PIQUET JR;0:48:16.639;;4;NEXTEV TCR Formula E Team;;
1;0;2;1:38.922;2;;31.002;0;35.854;2;32.066;2;106.4;51:43.422;13:01;0:31.002;0:35.854;0:32.066;;Nelson PIQUET JR;;;4;NEXTEV TCR Formula E Team;;
11;0;1;40:50.212;0;;39:29.127;0;43.161;0;37.924;0;4.3;40:50.210;12:50;39:29.127;0:43.161;0:37.924;;Lucas DI GRASSI;0:38:55.096;;3;ABT Schaeffler Audi Sport;;
11;0;2;1:42.890;0;;31.444;0;36.981;0;34.465;0;102.3;42:33.100;12:52;0:31.444;0:36.981;0:34.465;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;;
11;0;3;1:35.711;2;;29.748;2;35.164;2;30.799;2;110.0;44:08.811;12:54;0:29.748;0:35.164;0:30.799;;Lucas DI GRASSI;;;3;ABT Schaeffler Audi Sport;;
12;0;1;49:44.220;0;;48:35.074;0;36.887;0;32.259;0;3.5;49:44.218;12:59;48:35.074;0:36.887;0:32.259;;Mike CONWAY;0:48:05.153;;4;Venturi Formula E Team;;
12;0;2;1:37.562;2;;30.173;0;35.379;2;32.010;2;107.9;51:21.780;13:01;0:30.173;0:35.379;0:32.010;;Mike CONWAY;;;4;Venturi Formula E Team;;
2;0;1;50:46.271;0;;49:32.458;0;40.285;0;33.528;0;3.5;50:46.269;13:00;49:32.458;0:40.285;0:33.528;;Sam BIRD;0:48:59.262;;4;DS Virgin Racing Formula E Team;;
2;0;2;1:47.969;0;;36.267;0;37.859;0;33.843;0;97.5;52:34.238;13:02;0:36.267;0:37.859;0:33.843;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;3;3:58.400;0;B;1:00.494;0;1:15.280;0;1:42.626;0;44.2;56:32.638;13:06;1:00.494;1:15.280;1:42.626;;Sam BIRD;0:00:40.759;;4;DS Virgin Racing Formula E Team;;
2;0;4;1:36.368;0;;29.626;0;35.960;0;30.782;0;109.3;58:09.006;13:08;0:29.626;0:35.960;0:30.782;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
2;0;5;1:30.453;2;;28.089;2;32.845;2;29.519;2;116.4;59:39.459;13:09;0:28.089;0:32.845;0:29.519;;Sam BIRD;;;4;DS Virgin Racing Formula E Team;;
21;0;1;19:14.692;0;;18:03.998;0;35.809;0;34.885;0;9.1;19:14.691;12:29;18:03.998;0:35.809;0:34.885;;Bruno SENNA;0:17:33.480;;2;Mahindra Racing Formula E Team;;
21;0;2;1:27.190;0;;27.255;0;31.971;0;27.964;0;120.8;20:41.881;12:30;0:27.255;0:31.971;0:27.964;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
21;0;3;1:24.279;2;;26.421;2;30.784;2;27.074;2;124.9;22:06.160;12:32;0:26.421;0:30.784;0:27.074;;Bruno SENNA;;;2;Mahindra Racing Formula E Team;;
