POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;
1;8;Classified;33;53:56.653;-;-;28;1:27.571;120.2;Renault e.Dams;;;2032;Renault Z.E 15;;Nicolas;PROST;;FRA;FRA;;
2;21;Classified;33;54:01.897;+5.244;+5.244;15;1:27.868;119.8;Mahindra Racing Formula E Team;;;1115;Mahindra M2ELECTRO;;Bruno;SENNA;;BRA;BRA;;
3;25;Classified;33;54:04.848;+8.195;+2.951;27;1:28.361;119.2;DS Virgin Racing Formula E Team;;;1086;Virgin Racing Engineering DSV-01;;Jean-Eric;VERGNE;;FRA;FRA;;
4;11;Classified;33;54:05.567;+8.914;+0.719;27;1:27.669;120.1;ABT Schaeffler Audi Sport;;;1098;ABT Schaeffler FE01;;Lucas;DI GRASSI;;BRA;BRA;;
5;9;Classified;33;54:06.705;+10.052;+1.138;27;1:27.798;119.9;Renault e.Dams;;;1090;Renault Z.E 15;;Sébastien;BUEMI;;CHE;CHE;;
6;55;Classified;33;54:07.561;+10.908;+0.856;27;1:28.136;119.5;Team Aguri;;;3177;SRT01-e;;Antonio Felix;DA COSTA;;PRT;PRT;;
7;2;Classified;33;54:07.639;+10.986;+0.078;28;1:27.656;120.1;DS Virgin Racing Formula E Team;;;1087;Virgin Racing Engineering DSV-01;;Sam;BIRD;;GBR;GBR;;
8;7;Classified;33;54:08.759;+12.106;+1.120;25;1:28.247;119.3;Dragon Racing;;;1084;Venturi VM200-FE-01;;Jérôme;D'AMBROSIO;;BEL;BEL;;
9;12;Classified;33;54:09.109;+12.456;+0.350;30;1:27.592;120.2;Venturi Formula E Team;;;3399;Venturi VM200-FE-01;;Mike;CONWAY;;GBR;GBR;;
10;4;Classified;33;54:12.571;+15.918;+3.462;28;1:27.052;121.0;Venturi Formula E Team;;;1113;Venturi VM200-FE-01;;Stéphane;SARRAZIN;;FRA;FRA;;
11;77;Classified;33;54:35.053;+38.400;+22.482;28;1:29.774;117.3;Team Aguri;;;8001;SRT01-e;;Qing Hua;MA;;CHN;CHN;;
12;1;Classified;33;54:48.681;+52.028;+13.628;29;1:25.783;122.8;NEXTEV TCR Formula E Team;;;9069;NEXTEV TCR FormulaE 001;;Nelson;PIQUET JR;;BRA;BRA;;
13;23;Classified;33;54:57.917;+1:01.264;+9.236;27;1:28.169;119.4;Mahindra Racing Formula E Team;;;1099;Mahindra M2ELECTRO;;Nick;HEIDFELD;;DEU;DEU;;
14;28;Classified;33;54:59.732;+1:03.079;+1.815;28;1:27.949;119.7;Andretti Formula E Race Team;;;9091;SRT01-e;;Simona;DE SILVESTRO;;CHE;CHE;;
15;88;Classified;30;49:36.457;3 Laps;3 Laps;25;1:28.576;118.9;NEXTEV TCR Formula E Team;;;9092;NEXTEV TCR FormulaE 001;;Oliver;TURVEY;;GBR;GBR;;
;6;Not classified;23;39:17.734;;;6;1:29.439;117.7;Dragon Racing;;;9082;Venturi VM200-FE-01;;Loïc;DUVAL;;FRA;FRA;;
;27;Not classified;19;29:54.995;;;5;1:29.304;117.9;Andretti Formula E Race Team;;;9093;SRT01-e;;Robin;FRIJNS;;NED;NED;;
;66;Not classified;19;29:55.277;;;13;1:29.098;118.2;ABT Schaeffler Audi Sport;;;1080;ABT Schaeffler FE01;;Daniel;ABT;;DEU;DEU;;
