NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:48.993;0;;29.500;0;36.888;0;42.605;0;96.6;1:48.993;16:05;0:29.500;0:36.888;0:42.605;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;2;1:33.239;0;;16.910;0;34.367;0;41.962;0;112.9;3:22.232;16:06;0:16.910;0:34.367;0:41.962;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;3;1:34.170;0;;16.840;0;34.639;0;42.691;0;111.8;4:56.402;16:08;0:16.840;0:34.639;0:42.691;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;4;1:32.874;0;;16.539;0;34.164;0;42.171;0;113.4;6:29.276;16:10;0:16.539;0:34.164;0:42.171;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;5;1:34.004;0;;17.064;0;34.519;0;42.421;0;112.0;8:03.280;16:11;0:17.064;0:34.519;0:42.421;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;6;1:32.404;0;;16.713;0;34.105;0;41.586;0;114.0;9:35.684;16:13;0:16.713;0:34.105;0:41.586;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;7;1:31.747;0;;16.762;0;34.014;0;40.971;0;114.8;11:07.431;16:14;0:16.762;0:34.014;0:40.971;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;8;1:31.243;0;;16.795;0;33.465;0;40.983;0;115.4;12:38.674;16:16;0:16.795;0:33.465;0:40.983;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;9;1:31.497;0;;16.775;0;33.714;0;41.008;0;115.1;14:10.171;16:17;0:16.775;0:33.714;0:41.008;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;10;1:30.577;0;;16.397;0;33.038;0;41.142;0;116.3;15:40.748;16:19;0:16.397;0:33.038;0:41.142;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;11;1:30.107;0;;16.341;0;32.868;0;40.898;0;116.9;17:10.855;16:20;0:16.341;0:32.868;0:40.898;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;12;1:30.207;0;;16.425;0;32.897;0;40.885;0;116.7;18:41.062;16:22;0:16.425;0:32.897;0:40.885;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;13;1:30.581;0;;16.603;0;33.168;0;40.810;0;116.2;20:11.643;16:23;0:16.603;0:33.168;0:40.810;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;14;1:30.454;0;;16.603;0;33.134;0;40.717;0;116.4;21:42.097;16:25;0:16.603;0:33.134;0:40.717;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;15;1:30.690;0;;16.367;0;33.474;0;40.849;0;116.1;23:12.787;16:26;0:16.367;0:33.474;0:40.849;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;16;1:31.801;0;;16.520;0;33.761;0;41.520;0;114.7;24:44.588;16:28;0:16.520;0:33.761;0:41.520;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;17;2:43.933;0;;16.521;0;33.642;0;1:53.770;0;64.2;27:28.521;16:31;0:16.521;0:33.642;1:53.770;;Nelson PIQUET JR;0:01:13.334;;;NEXTEV TCR Formula E Team;;
1;0;18;1:31.216;0;;17.245;0;33.821;0;40.150;0;115.4;28:59.737;16:32;0:17.245;0:33.821;0:40.150;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
