NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:37.883;0;;51.492;0;22.515;0;23.876;0;78.4;1:37.883;10:31;0:51.492;0:22.515;0:23.876;;Nelson PIQUET JR;0:00:39.766;;;NEXTEV TCR Formula E Team;;
1;0;2;1:03.119;0;;20.012;0;20.306;0;22.801;0;121.5;2:41.002;10:32;0:20.012;0:20.306;0:22.801;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;3;1:02.008;0;;19.506;0;20.037;0;22.465;0;123.7;3:43.010;10:33;0:19.506;0:20.037;0:22.465;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;4;1:00.925;0;;19.122;0;19.761;0;22.042;0;125.9;4:43.935;10:34;0:19.122;0:19.761;0:22.042;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;5;1:01.045;0;;19.065;0;19.692;0;22.288;0;125.7;5:44.980;10:35;0:19.065;0:19.692;0:22.288;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;6;1:00.837;0;;18.990;0;19.695;0;22.152;0;126.1;6:45.817;10:36;0:18.990;0:19.695;0:22.152;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;7;1:00.685;0;;18.861;0;19.757;0;22.067;0;126.4;7:46.502;10:37;0:18.861;0:19.757;0:22.067;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;8;1:01.086;0;;19.217;0;19.774;0;22.095;0;125.6;8:47.588;10:38;0:19.217;0:19.774;0:22.095;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;9;1:00.817;0;;18.800;0;19.903;0;22.114;0;126.1;9:48.405;10:39;0:18.800;0:19.903;0:22.114;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;10;1:01.985;0;;19.005;0;19.801;0;23.179;0;123.8;10:50.390;10:40;0:19.005;0:19.801;0:23.179;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;11;1:25.329;0;;43.235;0;20.247;0;21.847;0;89.9;12:15.719;10:42;0:43.235;0:20.247;0:21.847;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;12;59.587;0;;18.451;0;19.597;0;21.539;0;128.7;13:15.306;10:43;0:18.451;0:19.597;0:21.539;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;13;1:05.827;0;B;18.661;0;19.563;0;27.603;0;116.5;14:21.133;10:44;0:18.661;0:19.563;0:27.603;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;14;6:05.243;0;;5:21.543;0;21.350;0;22.350;0;21.0;20:26.376;10:50;5:21.543;0:21.350;0:22.350;;Nelson PIQUET JR;0:05:17.029;;;NEXTEV TCR Formula E Team;;
1;0;15;1:01.030;0;;18.722;0;20.146;0;22.162;0;125.7;21:27.406;10:51;0:18.722;0:20.146;0:22.162;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;16;57.802;2;;17.835;2;18.978;2;20.989;2;132.7;22:25.208;10:52;0:17.835;0:18.978;0:20.989;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;17;1:01.403;0;;19.875;0;19.877;0;21.651;0;124.9;23:26.611;10:53;0:19.875;0:19.877;0:21.651;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;18;58.937;0;;18.313;0;19.387;0;21.237;0;130.2;24:25.548;10:54;0:18.313;0:19.387;0:21.237;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;19;58.938;0;;18.183;0;19.386;0;21.369;0;130.2;25:24.486;10:55;0:18.183;0:19.386;0:21.369;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
1;0;20;1:05.745;0;B;18.396;0;19.758;0;27.591;0;116.7;26:30.231;10:56;0:18.396;0:19.758;0:27.591;;Nelson PIQUET JR;;;;NEXTEV TCR Formula E Team;;
11;0;1;2:53.110;0;;2:07.266;0;21.471;0;24.373;0;44.3;2:53.110;10:32;2:07.266;0:21.471;0:24.373;;Lucas DI GRASSI;0:01:57.435;;;ABT Schaeffler Audi Sport;;
11;0;2;1:02.083;0;;19.228;0;20.069;0;22.786;0;123.6;3:55.193;10:33;0:19.228;0:20.069;0:22.786;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;3;1:01.314;0;;19.201;0;19.877;0;22.236;0;125.1;4:56.507;10:34;0:19.201;0:19.877;0:22.236;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;4;1:00.936;0;;19.093;0;19.808;0;22.035;0;125.9;5:57.443;10:35;0:19.093;0:19.808;0:22.035;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;5;1:04.784;0;;19.664;0;21.925;0;23.195;0;118.4;7:02.227;10:37;0:19.664;0:21.925;0:23.195;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;6;59.509;0;;18.407;0;19.490;0;21.612;0;128.9;8:01.736;10:38;0:18.407;0:19.490;0:21.612;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;7;58.603;0;;18.069;0;19.332;0;21.202;0;130.9;9:00.339;10:39;0:18.069;0:19.332;0:21.202;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;8;58.596;0;;17.945;0;19.524;0;21.127;0;130.9;9:58.935;10:39;0:17.945;0:19.524;0:21.127;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;9;58.967;0;;17.945;0;19.356;0;21.666;0;130.1;10:57.902;10:40;0:17.945;0:19.356;0:21.666;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;10;1:08.115;0;B;19.953;0;20.040;0;28.122;0;112.6;12:06.017;10:42;0:19.953;0:20.040;0:28.122;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
11;0;11;4:36.147;0;;3:53.354;0;20.580;0;22.213;0;27.8;16:42.164;10:46;3:53.354;0:20.580;0:22.213;;Lucas DI GRASSI;0:03:49.704;;;ABT Schaeffler Audi Sport;;
11;0;12;1:01.199;0;;18.457;0;19.610;0;23.132;0;125.4;17:43.363;10:47;0:18.457;0:19.610;0:23.132;;Lucas DI GRASSI;;;;ABT Schaeffler Audi Sport;;
